target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_50m,0.8617342873620099,0.8617342873620099,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_30m,0.8589546151187671,0.8589546151187671,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_70m,0.8537605464225281,0.8537605464225281,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_30m,0.2803694808745293,0.2803694808745293,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_30m,0.23941161760001803,0.23941161760001803,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_70m,0.19318004860662177,0.19318004860662177,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_50m,0.16515847593354624,0.16515847593354624,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_50m,0.04437571917359924,-0.04437571917359924,3.155282042265324e-24,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_10m,0.04033421687034438,0.04033421687034438,2.7280327527458515e-20,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_10m,0.028040857766122463,-0.028040857766122463,1.4094481934172194e-10,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_70m,0.023238152250855584,-0.023238152250855584,1.0617086442397795e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_temperature_10m,0.022907002297069677,0.022907002297069677,1.6052414935024132e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_density_10m,0.012167272769714743,-0.012167272769714743,0.005385119859096979,**
obs_wind_speed_10m,Wind Speed (10m),obs_humidity_10m,0.010942682282538117,-0.010942682282538117,0.012317165329615375,*
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_50m,0.9800673030976004,0.9800673030976004,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_70m,0.9647686904497813,0.9647686904497813,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_10m,0.8589546151187671,0.8589546151187671,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_30m,0.1705382180006269,0.1705382180006269,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_30m,0.15691316081206108,0.15691316081206108,1.3843748797506059e-285,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_50m,0.12004401281441751,-0.12004401281441751,3.688670736861522e-167,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_70m,0.10587086973964936,-0.10587086973964936,2.933103281438509e-130,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_70m,0.1035686645460201,0.1035686645460201,1.0353671600437453e-124,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_10m,0.06146090360756496,-0.06146090360756496,5.736442441486723e-45,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_50m,0.05516210693137007,0.05516210693137007,1.5085640631601007e-36,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_10m,0.050161061680857946,0.050161061680857946,1.658061631287064e-30,***
obs_wind_speed_30m,Wind Speed (30m),obs_density_10m,0.02382656856077596,-0.02382656856077596,5.0236028636950925e-08,***
obs_wind_speed_30m,Wind Speed (30m),obs_temperature_10m,0.023211811035459617,0.023211811035459617,1.0974255038610368e-07,***
obs_wind_speed_30m,Wind Speed (30m),obs_humidity_10m,0.021763805817151358,-0.021763805817151358,6.408346713851241e-07,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_70m,0.9811258258571987,0.9811258258571987,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_30m,0.9800673030976004,0.9800673030976004,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_10m,0.8617342873620099,0.8617342873620099,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_30m,0.19146895734468675,0.19146895734468675,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_50m,0.16389080492588015,-0.16389080492588015,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_30m,0.15587339057369745,0.15587339057369745,8.538008770205812e-282,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_70m,0.14792120219522306,-0.14792120219522306,1.1134823317074987e-253,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_70m,0.1261327343922501,0.1261327343922501,1.8018179827714384e-184,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_10m,0.08168208251138971,-0.08168208251138971,3.8142750886653216e-78,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_50m,0.0654620863869682,0.0654620863869682,8.690386207735849e-51,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_10m,0.0580364478976437,0.0580364478976437,2.8095517771150653e-40,***
obs_wind_speed_50m,Wind Speed (50m),obs_temperature_10m,0.025196303006541014,0.025196303006541014,8.21897261772832e-09,***
obs_wind_speed_50m,Wind Speed (50m),obs_density_10m,0.02334537790109514,-0.02334537790109514,9.275841182085748e-08,***
obs_wind_speed_50m,Wind Speed (50m),obs_humidity_10m,0.013326547461176685,-0.013326547461176685,0.0023019237465622465,**
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_50m,0.9811258258571987,0.9811258258571987,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_30m,0.9647686904497813,0.9647686904497813,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_10m,0.8537605464225281,0.8537605464225281,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_70m,0.17261020354040296,-0.17261020354040296,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_50m,0.16971706442662046,-0.16971706442662046,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_30m,0.1509048345354961,0.1509048345354961,4.767021328804996e-264,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_30m,0.10524259439305537,0.10524259439305537,9.854848354687222e-129,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_10m,0.0897654606846135,-0.0897654606846135,4.78854669940427e-94,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_70m,0.07490427700038325,0.07490427700038325,5.621687630153468e-66,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_10m,0.05143595566164101,0.05143595566164101,5.415426867130108e-32,***
obs_wind_speed_70m,Wind Speed (70m),obs_humidity_10m,0.017821904506508435,0.017821904506508435,4.5696164735089106e-05,***
obs_wind_speed_70m,Wind Speed (70m),obs_density_10m,0.013686272479236367,0.013686272479236367,0.001744967836465691,**
obs_wind_speed_70m,Wind Speed (70m),obs_temperature_10m,0.011447141165107004,-0.011447141165107004,0.008836454825319168,**
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_50m,0.010617922432824492,0.010617922432824492,0.015155646111046226,*
obs_temperature_10m,Temperature (10m),obs_density_10m,0.9723648303329138,-0.9723648303329138,0.0,***
obs_temperature_10m,Temperature (10m),obs_humidity_10m,0.47806412724880065,-0.47806412724880065,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_10m,0.2541316884149359,0.2541316884149359,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_50m,0.25009916954116546,0.25009916954116546,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_70m,0.20369419477952153,0.20369419477952153,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_70m,0.18062593558835005,0.18062593558835005,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_30m,0.17246681923871404,0.17246681923871404,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_50m,0.11638924814082871,0.11638924814082871,3.433527772145533e-157,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_30m,0.0790645877776882,0.0790645877776882,2.548854420746597e-73,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_10m,0.06552663809845122,0.06552663809845122,6.952571499714244e-51,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_50m,0.025196303006541014,0.025196303006541014,8.21897261772832e-09,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_30m,0.023211811035459617,0.023211811035459617,1.0974255038610327e-07,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_10m,0.022907002297069677,0.022907002297069677,1.6052414935024132e-07,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_70m,0.011447141165107004,-0.011447141165107004,0.008836454825319168,**
obs_humidity_10m,Humidity (10m),obs_temperature_10m,0.47806412724880065,-0.47806412724880065,0.0,***
obs_humidity_10m,Humidity (10m),obs_density_10m,0.40387791504656667,0.40387791504656667,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_50m,0.20646785135459753,-0.20646785135459753,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_70m,0.19875727586948527,-0.19875727586948527,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_10m,0.13793739978467492,-0.13793739978467492,1.496511345681522e-220,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_10m,0.12618096397179387,-0.12618096397179387,1.3033743510692977e-184,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_30m,0.09854121814871004,-0.09854121814871004,4.9970067041878413e-113,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_30m,0.07402673438583998,-0.07402673438583998,1.7697524914163236e-64,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_70m,0.06384708749236431,-0.06384708749236431,2.1484204832115463e-48,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_30m,0.021763805817151358,-0.021763805817151358,6.408346713851274e-07,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_70m,0.017821904506508435,0.017821904506508435,4.569616473508894e-05,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_50m,0.013326547461176685,-0.013326547461176685,0.0023019237465622465,**
obs_humidity_10m,Humidity (10m),obs_wind_speed_10m,0.010942682282538117,-0.010942682282538117,0.012317165329615357,*
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_50m,0.0001998381865024289,-0.0001998381865024289,0.9635432134745084,ns
obs_density_10m,Air Density (10m),obs_temperature_10m,0.9723648303329138,-0.9723648303329138,0.0,***
obs_density_10m,Air Density (10m),obs_humidity_10m,0.40387791504656667,0.40387791504656667,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_10m,0.2554934471999647,-0.2554934471999647,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_50m,0.20983304664793337,-0.20983304664793337,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_70m,0.1804732582035842,-0.1804732582035842,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_70m,0.16064996142968713,-0.16064996142968713,2.0030758439666695e-299,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_30m,0.14562238036519387,-0.14562238036519387,7.728121035224028e-246,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_50m,0.1236560940358792,-0.1236560940358792,2.5317863770330604e-177,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_30m,0.05154464513733833,-0.05154464513733833,4.0293837944621707e-32,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_10m,0.05121411936874831,-0.05121411936874831,9.882172696431293e-32,***
obs_density_10m,Air Density (10m),obs_wind_speed_30m,0.02382656856077596,-0.02382656856077596,5.023602863695093e-08,***
