,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,0.0,0.0,0.0,0.0,1.6052414935024132e-07,0.012317165329615357,0.005385119859096979,0.0,2.7280327527459496e-20,1.4094481934172194e-10,0.0,0.0,0.0,3.155282042265324e-24,0.0,1.0617086442397873e-07
obs_wind_speed_30m,0.0,0.0,0.0,0.0,1.0974255038610327e-07,6.408346713851274e-07,5.023602863695093e-08,0.0,1.658061631287064e-30,5.736442441486723e-45,0.0,1.3843748797506059e-285,1.5085640631601007e-36,3.688670736861522e-167,1.0353671600437453e-124,2.933103281438509e-130
obs_wind_speed_50m,0.0,0.0,0.0,0.0,8.21897261772832e-09,0.0023019237465622465,9.275841182085697e-08,0.0,2.8095517771150653e-40,3.8142750886653216e-78,0.0,8.538008770205812e-282,8.690386207735849e-51,0.0,1.8018179827714384e-184,1.1134823317074987e-253
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.008836454825319168,4.569616473508894e-05,0.001744967836465691,0.0,5.415426867130108e-32,4.78854669940468e-94,4.76702132880825e-264,9.854848354687222e-129,0.015155646111046257,0.0,5.621687630153468e-66,0.0
obs_temperature_10m,1.6052414935024132e-07,1.0974255038610368e-07,8.21897261772832e-09,0.008836454825319168,0.0,0.0,0.0,5.481825750959966e-06,0.0,6.952571499714244e-51,2.548854420746597e-73,0.0,0.0,3.433527772145533e-157,0.0,0.0
obs_humidity_10m,0.012317165329615375,6.408346713851241e-07,0.0023019237465622465,4.5696164735089106e-05,0.0,0.0,0.0,0.4213473042136314,1.496511345681522e-220,1.3033743510692977e-184,1.7697524914163236e-64,4.9970067041878413e-113,0.0,0.9635432134745084,0.0,2.1484204832116076e-48
obs_density_10m,0.005385119859096979,5.0236028636950925e-08,9.275841182085748e-08,0.001744967836465691,0.0,0.0,0.0,0.2492912770532685,0.0,9.882172696431293e-32,4.02938379446217e-32,7.728121035226667e-246,0.0,2.531786377032628e-177,2.0030758439666695e-299,0.0
power,0.0,0.0,0.0,0.0,5.481825750959966e-06,0.4213473042136314,0.24929127705326842,0.0,1.0306223984353488e-16,3.443164965530271e-39,0.0,0.0,1.1651802174535676e-127,1.0348726345414915e-36,2.098633605289035e-211,1.948759202272161e-30
obs_wind_dir_sin_10m,2.7280327527458515e-20,1.658061631287064e-30,2.8095517771150653e-40,5.415426867130108e-32,0.0,1.496511345681522e-220,0.0,1.0306223984353488e-16,0.0,1.3570312930812758e-58,3.88052220705504e-74,1.561622740091057e-71,1.3683856662054477e-145,0.29974286256156507,1.1587687698702848e-143,1.23380615317169e-07
obs_wind_dir_cos_10m,1.4094481934172194e-10,5.736442441486723e-45,3.8142750886653216e-78,4.78854669940427e-94,6.952571499714244e-51,1.3033743510692977e-184,9.882172696431293e-32,3.443164965530271e-39,1.3570312930812758e-58,0.0,3.816671684789967e-05,0.0,1.032007756731018e-218,0.0,0.0006271521928614575,0.0
obs_wind_dir_sin_30m,0.0,0.0,0.0,4.767021328804996e-264,2.548854420746597e-73,1.7697524914163236e-64,4.0293837944621707e-32,0.0,3.88052220705504e-74,3.816671684789967e-05,0.0,0.0,0.0,5.831427112415706e-124,0.0,0.0011556895432071035
obs_wind_dir_cos_30m,0.0,1.3843748797506059e-285,8.538008770205812e-282,9.854848354687222e-129,0.0,4.9970067041878413e-113,7.728121035224028e-246,0.0,1.561622740091057e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_sin_50m,0.0,1.5085640631601007e-36,8.690386207735849e-51,0.015155646111046226,0.0,0.0,0.0,1.1651802174535676e-127,1.3683856662054477e-145,1.032007756731018e-218,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_cos_50m,3.155282042265324e-24,3.688670736861522e-167,0.0,0.0,3.433527772145533e-157,0.9635432134745084,2.5317863770330604e-177,1.0348726345414915e-36,0.29974286256156507,0.0,5.831427112415706e-124,0.0,0.0,0.0,7.642992881363196e-193,0.0
obs_wind_dir_sin_70m,0.0,1.0353671600437453e-124,1.8018179827714384e-184,5.621687630153468e-66,0.0,0.0,2.0030758439666695e-299,2.098633605289035e-211,1.1587687698702848e-143,0.0006271521928614575,0.0,0.0,0.0,7.642992881363196e-193,0.0,2.845662756102274e-05
obs_wind_dir_cos_70m,1.0617086442397795e-07,2.933103281438509e-130,1.1134823317074987e-253,0.0,0.0,2.1484204832115463e-48,0.0,1.9487592022722172e-30,1.23380615317169e-07,0.0,0.0011556895432071035,0.0,0.0,0.0,2.845662756102274e-05,0.0
