target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_cos_50m,0.9644226361065714,0.9644226361065714,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_cos_30m,0.5092547017905373,0.5092547017905373,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_cos_10m,0.4153793564695314,0.4153793564695314,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_sin_50m,0.30902353684920253,0.30902353684920253,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_temperature_10m,0.18062593558835005,0.18062593558835005,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_density_10m,0.1804732582035842,-0.1804732582035842,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_speed_70m,0.17261020354040296,-0.17261020354040296,0.0,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_speed_50m,0.14792120219522306,-0.14792120219522306,1.1134823317074987e-253,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_speed_30m,0.10587086973964936,-0.10587086973964936,2.933103281438509e-130,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_humidity_10m,0.06384708749236431,-0.06384708749236431,2.1484204832116076e-48,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_speed_10m,0.023238152250855584,-0.023238152250855584,1.0617086442397873e-07,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_sin_10m,0.023118330621301333,0.023118330621301333,1.23380615317169e-07,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_sin_70m,0.01829775031401556,0.01829775031401556,2.845662756102274e-05,***
obs_wind_dir_cos_70m,Wind Dir Cos (70m),obs_wind_dir_sin_30m,0.014206806071157794,-0.014206806071157794,0.0011556895432071035,**
