target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_density_10m,0.2554934471999647,-0.2554934471999647,0.0,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_temperature_10m,0.2541316884149359,0.2541316884149359,0.0,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_humidity_10m,0.13793739978467492,-0.13793739978467492,1.496511345681522e-220,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_sin_50m,0.11198243536705098,0.11198243536705098,1.3683856662054477e-145,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_sin_70m,0.1112327904604139,0.1112327904604139,1.1587687698702848e-143,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_sin_30m,0.07951415737793811,0.07951415737793811,3.88052220705504e-74,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_cos_30m,0.07807260184397968,0.07807260184397968,1.561622740091057e-71,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_cos_10m,0.0704734393276091,0.0704734393276091,1.3570312930812758e-58,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_speed_50m,0.0580364478976437,0.0580364478976437,2.8095517771150653e-40,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_speed_70m,0.05143595566164101,0.05143595566164101,5.415426867130108e-32,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_speed_30m,0.050161061680857946,0.050161061680857946,1.658061631287064e-30,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_speed_10m,0.04033421687034438,0.04033421687034438,2.7280327527459496e-20,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_cos_70m,0.023118330621301333,0.023118330621301333,1.23380615317169e-07,***
obs_wind_dir_sin_10m,Wind Dir Sin (10m),obs_wind_dir_cos_50m,0.004533766926006236,-0.004533766926006236,0.29974286256156507,ns
