,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,1.0,0.8728171515677858,0.8736295840202393,0.8590265198419775,0.02109151667493372,-0.0067242785850781485,0.02417962638745634,0.7963071273024094,-0.0353875352474967,0.04604289706210515,0.22336920899845553,0.20886346440027684,-0.055090341844700276,0.1609568628102505,-0.04628777756904859,0.18328400512427118
obs_wind_speed_30m,0.8728171515677858,1.0,0.9798237921803165,0.9613930198114015,0.037129552222937075,-0.011793707073409392,0.011076137060685205,0.743184666334116,-0.057857129297428936,0.053471629139367274,0.12151104788155621,0.16227167158339223,-0.12443996723530146,0.0737445986382227,-0.11955266572077554,0.11059578856651693
obs_wind_speed_50m,0.8736295840202393,0.9798237921803165,1.0,0.9773622356829956,0.03344129985874834,-0.009005202311370452,0.00925534870598611,0.7566851562425686,-0.08125790874917788,0.06001027323896608,0.09451283144894052,0.17328992623958991,-0.16110078960926863,0.07750000201252434,-0.15616548410944334,0.12369706831122614
obs_wind_speed_70m,0.8590265198419775,0.9613930198114015,0.9773622356829956,1.0,-0.016372466473920492,0.02846739780625816,-0.00033601945745558547,0.763581973509466,-0.0965851163655571,0.05146200988173311,0.07903194837583086,0.14328651750899057,-0.19859796270889662,0.03401668722801235,-0.19484169119299924,0.08852310964992612
obs_temperature_10m,0.02109151667493372,0.037129552222937075,0.03344129985874834,-0.016372466473920492,1.0,-0.4546191602770917,0.24949830898770523,-0.037087767808156584,0.06170082692970425,0.278819723063693,0.1329292947180886,0.05283953376914424,0.2002695790292717,0.17980304429616337,0.20677515200426835,0.1322196189166074
obs_humidity_10m,-0.0067242785850781485,-0.011793707073409392,-0.009005202311370452,0.02846739780625816,-0.4546191602770917,1.0,-0.038756995684071045,0.00889522742316426,-0.08144078225727623,-0.07685492469626896,-0.05688719351059544,-0.04191908810620142,-0.05013248388601918,-0.14874675661116465,-0.057544742154928386,-0.13881344102129792
obs_density_10m,0.02417962638745634,0.011076137060685205,0.00925534870598611,-0.00033601945745558547,0.24949830898770523,-0.038756995684071045,1.0,0.025156659001471904,0.0167686433220231,-0.0514722123916849,-0.0016348946933032811,0.0008601444825074105,0.015475868603196666,0.022006216396420843,0.016274891784627037,0.01861468596839139
power,0.7963071273024094,0.743184666334116,0.7566851562425686,0.763581973509466,-0.037087767808156584,0.00889522742316426,0.025156659001471904,1.0,-0.07110488588431704,0.031969511030041003,0.1456741817964193,0.15841209902878478,-0.09713334541718485,0.09598542797188853,-0.0911754813744905,0.1266807202415268
obs_wind_dir_sin_10m,-0.0353875352474967,-0.057857129297428936,-0.08125790874917788,-0.0965851163655571,0.06170082692970425,-0.08144078225727623,0.0167686433220231,-0.07110488588431704,1.0,0.0004605714140374213,0.26138629170722266,0.004278638342476491,0.4498412604895611,0.12378151204951793,0.4507798902134669,0.015026692552384799
obs_wind_dir_cos_10m,0.04604289706210515,0.053471629139367274,0.06001027323896608,0.05146200988173311,0.278819723063693,-0.07685492469626896,-0.0514722123916849,0.031969511030041003,0.0004605714140374213,1.0,0.11271481310703894,0.11427781181168503,0.03178853048492376,0.1486500619038505,0.03955246361359094,0.14397796794045833
obs_wind_dir_sin_30m,0.22336920899845553,0.12151104788155621,0.09451283144894052,0.07903194837583086,0.1329292947180886,-0.05688719351059544,-0.0016348946933032811,0.1456741817964193,0.26138629170722266,0.11271481310703894,1.0,0.4388472878047577,0.5039661715225077,0.5064712898495459,0.5259567289344808,0.3987587227751844
obs_wind_dir_cos_30m,0.20886346440027684,0.16227167158339223,0.17328992623958991,0.14328651750899057,0.05283953376914424,-0.04191908810620142,0.0008601444825074105,0.15841209902878478,0.004278638342476491,0.11427781181168503,0.4388472878047577,1.0,-0.0431842053955852,0.5977177932701359,-0.013585891768938051,0.6250691281365754
obs_wind_dir_sin_50m,-0.055090341844700276,-0.12443996723530146,-0.16110078960926863,-0.19859796270889662,0.2002695790292717,-0.05013248388601918,0.015475868603196666,-0.09713334541718485,0.4498412604895611,0.03178853048492376,0.5039661715225077,-0.0431842053955852,1.0,0.2253720978209575,0.99849962801042,-0.017281341084672917
obs_wind_dir_cos_50m,0.1609568628102505,0.0737445986382227,0.07750000201252434,0.03401668722801235,0.17980304429616337,-0.14874675661116465,0.022006216396420843,0.09598542797188853,0.12378151204951793,0.1486500619038505,0.5064712898495459,0.5977177932701359,0.2253720978209575,1.0,0.2754056943771168,0.969912176019114
obs_wind_dir_sin_70m,-0.04628777756904859,-0.11955266572077554,-0.15616548410944334,-0.19484169119299924,0.20677515200426835,-0.057544742154928386,0.016274891784627037,-0.0911754813744905,0.4507798902134669,0.03955246361359094,0.5259567289344808,-0.013585891768938051,0.99849962801042,0.2754056943771168,1.0,0.03444395091488575
obs_wind_dir_cos_70m,0.18328400512427118,0.11059578856651693,0.12369706831122614,0.08852310964992612,0.1322196189166074,-0.13881344102129792,0.01861468596839139,0.1266807202415268,0.015026692552384799,0.14397796794045833,0.3987587227751844,0.6250691281365754,-0.017281341084672917,0.969912176019114,0.03444395091488575,1.0
