,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,1.0,0.858954604524127,0.8617343249749211,0.8537605557578724,0.022907030444082266,-0.010942745444243989,0.024606850035440175,0.8283619394727687,-0.02804285198566825,0.04033334174153781,0.280368289359027,0.23941249284057806,-0.044377692256385874,0.16515469127469107,-0.02324177992005928,0.1931780836517456
obs_wind_speed_30m,0.858954604524127,1.0,0.9800673485151681,0.9647686904497813,0.023211825058927705,-0.021763823566391255,0.01499831800027668,0.78106396634303,-0.061461847275874996,0.05015999207938697,0.15691172509496926,0.17053651543456244,-0.12004504654536148,0.055154674150230336,-0.10587357153704774,0.10356143512189159
obs_wind_speed_50m,0.8617343249749211,0.9800673485151681,1.0,0.9811258726290455,0.025196386757013498,-0.013326711750116509,0.016685934078966246,0.7889035088346157,-0.08168312234379305,0.05803511341341488,0.15587055173250652,0.1914671879177712,-0.16389229252764728,0.065453505647588,-0.1479245328406384,0.12612386895005795
obs_wind_speed_70m,0.8537605557578724,0.9647686904497813,0.9811258726290455,1.0,-0.01144712091625627,0.017821885113880317,0.00821401383926575,0.7885444412020086,-0.08976542974121447,0.05143444197733427,0.10524134965158717,0.15090317304523237,-0.16971586539268677,0.010608737496843,-0.1726107948756623,0.07489276532179225
obs_temperature_10m,0.022907030444082266,0.023211825058927705,0.025196386757013498,-0.01144712091625627,1.0,-0.4780641159400777,0.13905495074670918,0.019871159441387332,0.06551681125364689,0.2541331345987939,0.17246467645285657,0.0790660549838543,0.11638069712315761,0.250102703769746,0.18061757199779943,0.2037065625243074
obs_humidity_10m,-0.010942745444243989,-0.021763823566391255,-0.013326711750116509,0.017821885113880317,-0.4780641159400777,1.0,0.020730949470286003,-0.003515545618460323,-0.12617170475240663,-0.13793883727723596,-0.09853873098974482,-0.07402647494089491,-0.0001915581704187677,-0.20646487658819426,-0.06383935741934232,-0.19876304756908536
obs_density_10m,0.024606850035440175,0.01499831800027668,0.016685934078966246,0.00821401383926575,0.13905495074670918,0.020730949470286003,1.0,0.09566063210090887,0.0055911766608715985,-0.07666029033334071,-0.00644698251155748,-0.010125243980971147,0.01014719391108413,-0.0033749958111021763,0.010148809155677087,-0.007732474254555865
power,0.8283619394727687,0.78106396634303,0.7889035088346157,0.7885444412020086,0.019871159441387332,-0.003515545618460323,0.09566063210090887,1.0,-0.05721439455509225,0.03628126315461645,0.20452515011173558,0.1881653883009236,-0.05529156012676078,0.10479530573942662,-0.05010127003060953,0.1350426064070946
obs_wind_dir_sin_10m,-0.02804285198566825,-0.061461847275874996,-0.08168312234379305,-0.08976542974121447,0.06551681125364689,-0.12617170475240663,0.0055911766608715985,-0.05721439455509225,1.0,0.07047322628536536,0.24617276359671378,0.017997141018665737,0.403015607516586,0.13737254558164985,0.4153784366713097,0.014965878302180888
obs_wind_dir_cos_10m,0.04033334174153781,0.05015999207938697,0.05803511341341488,0.05143444197733427,0.2541331345987939,-0.13793883727723596,-0.07666029033334071,0.03628126315461645,0.07047322628536536,1.0,0.07807393033717762,0.07951415014246181,-0.004533609412733442,0.11198325589228014,0.023118816716634464,0.11123566741027681
obs_wind_dir_sin_30m,0.280368289359027,0.15691172509496926,0.15587055173250652,0.10524134965158717,0.17246467645285657,-0.09853873098974482,-0.00644698251155748,0.20452515011173558,0.24617276359671378,0.07807393033717762,1.0,0.5082216709256917,0.42847607621364886,0.5803150835623156,0.5092554818115276,0.4661505228196346
obs_wind_dir_cos_30m,0.23941249284057806,0.17053651543456244,0.1914671879177712,0.15090317304523237,0.0790660549838543,-0.07402647494089491,-0.010125243980971147,0.1881653883009236,0.017997141018665737,0.07951415014246181,0.5082216709256917,1.0,-0.1032540306237437,0.6133697696962399,-0.014214954858440623,0.6611286595718111
obs_wind_dir_sin_50m,-0.044377692256385874,-0.12004504654536148,-0.16389229252764728,-0.16971586539268677,0.11638069712315761,-0.0001915581704187677,0.01014719391108413,-0.05529156012676078,0.403015607516586,-0.004533609412733442,0.42847607621364886,-0.1032540306237437,1.0,0.1694386059313643,0.964423563041543,-0.1289320523310957
obs_wind_dir_cos_50m,0.16515469127469107,0.055154674150230336,0.065453505647588,0.010608737496843,0.250102703769746,-0.20646487658819426,-0.0033749958111021763,0.10479530573942662,0.13737254558164985,0.11198325589228014,0.5803150835623156,0.6133697696962399,0.1694386059313643,1.0,0.3090508177810236,0.9534468248256962
obs_wind_dir_sin_70m,-0.02324177992005928,-0.10587357153704774,-0.1479245328406384,-0.1726107948756623,0.18061757199779943,-0.06383935741934232,0.010148809155677087,-0.05010127003060953,0.4153784366713097,0.023118816716634464,0.5092554818115276,-0.014214954858440623,0.964423563041543,0.3090508177810236,1.0,0.018336356707306815
obs_wind_dir_cos_70m,0.1931780836517456,0.10356143512189159,0.12612386895005795,0.07489276532179225,0.2037065625243074,-0.19876304756908536,-0.007732474254555865,0.1350426064070946,0.014965878302180888,0.11123566741027681,0.4661505228196346,0.6611286595718111,-0.1289320523310957,0.9534468248256962,0.018336356707306815,1.0
