meteorological_angle,direction,mathematical_angle,sin_direct_method,cos_direct_method,sin_correct_method,cos_correct_method,sin_physical_meaning_direct,cos_physical_meaning_direct,sin_physical_meaning_correct,cos_physical_meaning_correct
0,North (N),90,0.0,1.0,1.0,6.123233995736766e-17,Neutral,Positive,North,Neutral
30,Northeast (NE),60,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,Positive,Positive,North,East
45,Northeast (NE),45,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476,Positive,Positive,North,East
90,East (E),0,1.0,6.123233995736766e-17,0.0,1.0,Positive,Neutral,Neutral,East
135,Southeast (SE),315,0.7071067811865476,-0.7071067811865475,-0.7071067811865477,0.7071067811865474,Positive,Negative,South,East
180,South (S),270,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,Neutral,Negative,South,Neutral
225,Southwest (SW),225,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,-0.7071067811865477,Negative,Negative,South,West
270,West (W),180,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,Negative,Neutral,Neutral,West
315,Northwest (NW),135,-0.7071067811865477,0.7071067811865474,0.7071067811865476,-0.7071067811865475,Negative,Positive,North,West
360,North (N),90,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,Neutral,Positive,North,Neutral
