Feature,Importance,Importance_Type
obs_temperature_10m,2357,Traditional
obs_wind_speed_10m,1414,Traditional
obs_wind_speed_70m,1149,Traditional
obs_wind_speed_30m,1074,Traditional
obs_wind_dir_sin_10m,1001,Traditional
obs_wind_dir_cos_10m,910,Traditional
obs_wind_speed_50m,853,Traditional
obs_wind_dir_sin_30m,794,Traditional
obs_wind_dir_cos_30m,645,Traditional
obs_wind_dir_sin_50m,618,Traditional
obs_wind_dir_cos_50m,568,Traditional
obs_wind_dir_sin_70m,524,Traditional
obs_wind_dir_cos_70m,493,Traditional
