Feature,Importance,Importance_Type
obs_wind_speed_10m,25.787261117792678,SHAP
obs_wind_speed_70m,8.384632548944962,SHAP
obs_temperature_10m,2.8519827341373616,SHAP
obs_wind_speed_30m,1.7908284315883782,SHAP
obs_wind_speed_50m,1.5015912159868874,SHAP
obs_wind_dir_sin_50m,1.376128715517957,SHAP
obs_wind_dir_cos_50m,0.8987653583868142,SHAP
obs_wind_dir_sin_70m,0.8408491553905884,SHAP
obs_wind_dir_cos_70m,0.8045781528284034,SHAP
obs_wind_dir_sin_10m,0.7805210475837158,SHAP
obs_wind_dir_cos_10m,0.6192468746117766,SHAP
obs_wind_dir_sin_30m,0.5842522980382484,SHAP
obs_wind_dir_cos_30m,0.5479440750680741,SHAP
