Feature,Coefficient,Abs_Coefficient
obs_wind_speed_10m,26.525583658594144,26.525583658594144
obs_wind_speed_70m,21.7386118222317,21.7386118222317
obs_wind_dir_cos_50m,-15.685076454390831,15.685076454390831
obs_wind_dir_cos_70m,15.028888695869624,15.028888695869624
obs_wind_speed_30m,-10.48255571166607,10.48255571166607
obs_wind_dir_sin_70m,8.847727342563427,8.847727342563427
obs_wind_dir_sin_50m,-4.058951745323613,4.058951745323613
obs_temperature_10m,-1.7517557072865841,1.7517557072865841
obs_wind_speed_50m,1.262117651766079,1.262117651766079
obs_wind_dir_sin_10m,-1.255031016643213,1.255031016643213
obs_wind_dir_cos_30m,0.16900567603046476,0.16900567603046476
obs_wind_dir_sin_30m,0.16358519304765834,0.16358519304765834
obs_wind_dir_cos_10m,0.07072718354907845,0.07072718354907845
