group,variable,height,EC_bias,GFS_bias,EC_abs_bias,GFS_abs_bias,better_model,EC_tendency,GFS_tendency,unit
Wind Speed,Wind Speed 10m,10m,-0.008694813783282672,0.06495013562673703,0.008694813783282672,0.06495013562673703,EC,Underestimate,Overestimate,m/s
Wind Speed,Wind Speed 30m,30m,0.4053802927534454,0.4250392038159681,0.4053802927534454,0.4250392038159681,EC,Overestimate,Overestimate,m/s
Wind Speed,Wind Speed 50m,50m,0.5007518288642315,0.5725933453034577,0.5007518288642315,0.5725933453034577,EC,Overestimate,Overestimate,m/s
Wind Speed,Wind Speed 70m,70m,0.684140335664736,0.8037098310904869,0.684140335664736,0.8037098310904869,EC,Overestimate,Overestimate,m/s
Wind Direction,Wind Direction 10m,10m,2.1127052401329265,-9.19366904575501,2.1127052401329265,9.19366904575501,EC,Overestimate,Underestimate,degrees
Wind Direction,Wind Direction 30m,30m,54.36671629388997,43.18597411885256,54.36671629388997,43.18597411885256,GFS,Overestimate,Overestimate,degrees
Wind Direction,Wind Direction 50m,50m,16.177244950479686,5.688125136410233,16.177244950479686,5.688125136410233,GFS,Overestimate,Overestimate,degrees
Wind Direction,Wind Direction 70m,70m,9.816529314659288,0.14843571770961622,9.816529314659288,0.14843571770961622,GFS,Overestimate,Overestimate,degrees
Temperature,Temperature 10m,10m,-1.6456019486973417,-1.2436536454689457,1.6456019486973417,1.2436536454689457,GFS,Underestimate,Underestimate,°C
Air Density,Air Density 10m,10m,0.3324159629674781,0.32888932307100205,0.3324159629674781,0.32888932307100205,GFS,Overestimate,Overestimate,kg/m³
