variable,hour,EC_RMSE,GFS_RMSE,unit,var_type
Temperature 10m,0,2.6887433068197804,2.2487503096396146,°C,Temperature
Temperature 10m,1,2.729805746871167,2.264675755977736,°C,Temperature
Temperature 10m,2,2.726723836811698,2.2611112882137783,°C,Temperature
Temperature 10m,3,2.73928124177743,2.3257081225248784,°C,Temperature
Temperature 10m,4,2.7230942850996662,2.4280349635935514,°C,Temperature
Temperature 10m,5,2.7252228951106687,2.4494279396310734,°C,Temperature
Temperature 10m,6,2.7200725860641493,2.4747351141638654,°C,Temperature
Temperature 10m,7,2.6913429702920157,2.5108607240525376,°C,Temperature
Temperature 10m,8,2.6975558507222486,2.6864043926310317,°C,Temperature
Temperature 10m,9,2.632871064370946,2.7718918189962345,°C,Temperature
Temperature 10m,10,2.5807271496299173,2.751902790172843,°C,Temperature
Temperature 10m,11,2.5968107249539045,2.801073332468622,°C,Temperature
Temperature 10m,12,2.6817231552891063,2.948634886174508,°C,Temperature
Temperature 10m,13,2.7179595953918563,3.02414450945387,°C,Temperature
Temperature 10m,14,2.738356358682048,3.076253880572337,°C,Temperature
Temperature 10m,15,2.757696584868613,3.1251581240569877,°C,Temperature
Temperature 10m,16,2.7636683196291387,3.1211985900748394,°C,Temperature
Temperature 10m,17,2.790115999351431,3.079488979287207,°C,Temperature
Temperature 10m,18,2.790617669021116,2.967607083042936,°C,Temperature
Temperature 10m,19,2.867449981044759,2.8950230435097097,°C,Temperature
Temperature 10m,20,2.9122323512716064,2.768099270596979,°C,Temperature
Temperature 10m,21,2.931139032587244,2.609711751510134,°C,Temperature
Temperature 10m,22,2.8538231277182233,2.4680581082946675,°C,Temperature
Temperature 10m,23,2.746264179274196,2.4323579387870407,°C,Temperature
