height,hour,obs_mean,obs_std,obs_median,obs_q25,obs_q75,obs_count,ec_mean,ec_std,ec_median,ec_q25,ec_q75,ec_count,gfs_mean,gfs_std,gfs_median,gfs_q25,gfs_q75,gfs_count
10m,0,5.324130275229358,2.4925986565774556,4.97,3.5775,6.71,2180,5.440678105177982,2.164622059359086,5.20150585,4.06448545,6.647043475,2180,5.231522289238532,2.4718189604316008,4.782894150000001,3.64298485,6.232932249999999,2180
10m,1,5.217617431192661,2.4697307224962524,4.98,3.43,6.57,2180,5.457414322779816,2.1659989549688623,5.2719423,4.0156422,6.63993275,2180,5.208702861385322,2.434090837547356,4.8863862000000005,3.725241,6.184476399999999,2180
10m,2,5.108664525011473,2.536617127712081,4.86,3.295,6.455,2179,5.421575677981184,2.1542634007863763,5.263774,3.9894588,6.5916157,2179,5.208786463653052,2.3853720189387,4.846499,3.7493217999999997,6.319316349999999,2179
10m,3,5.0687408256880735,2.4907536922155167,4.86,3.3075,6.38,2180,5.324235307766055,2.1102612519384394,5.1495180000000005,3.99588095,6.4910304,2180,5.197175769247706,2.3101988400439653,4.8941067,3.691211,6.345262275,2180
10m,4,4.9833165137614674,2.3526400002776904,4.775,3.26,6.26,2180,5.226128622651376,2.0774514546128175,5.02371695,3.87471895,6.47352225,2180,5.172141494834863,2.3193435655711085,4.9084135,3.65212945,6.39942905,2180
10m,5,4.8938618632400175,2.4102036526229487,4.71,3.08,6.235,2179,5.194177302290042,2.0789474820844998,5.058006,3.8377845500000003,6.45685,2179,5.183606769334557,2.299162018051038,5.007218,3.67604255,6.35321575,2179
10m,6,4.840090124123043,2.304773419446294,4.61,3.0975,6.14,2180,5.263105789412844,2.09989439842693,5.10445725,3.84344645,6.47366785,2180,5.216962445307339,2.229456198489749,5.0069987000000005,3.74171895,6.383200725,2180
10m,7,4.893623313545602,2.324924803464536,4.7,3.15,6.202500000000001,2180,5.390716635399083,2.2374102657642645,5.2682586,3.71579865,6.93512225,2180,5.407112589720183,2.2966097253249553,5.2082567,3.82929385,6.706243425,2180
10m,8,4.84075,2.3613437984826873,4.68,3.1,6.14,2180,5.519983961339449,2.433552613989394,5.324724,3.70864265,7.22162075,2180,5.70215800640367,2.500979946114737,5.457645449999999,3.931577125,7.268592225,2180
10m,9,5.080881273610362,2.4820389547333006,4.82,3.2975,6.46,2180,5.565474160240826,2.671228957656155,5.4135605,3.507023825,7.356326125000001,2180,5.897765915334863,2.777585093664595,5.6975126,3.8423371250000002,7.72932415,2180
10m,10,5.418004677100198,2.608011408470063,5.2,3.53,6.96,2180,5.651067213311927,2.83385827700822,5.5226464,3.4777809499999996,7.704554025,2180,6.020160892206422,2.973595224281478,5.85530305,3.8053753749999997,8.057159500000001,2180
10m,11,5.700136912957014,2.6978286053090073,5.46,3.78,7.405,2179,5.846906806929785,2.916650603598245,5.7740755,3.5727924,7.82744685,2179,6.146546441725562,3.0109614336362744,5.986045,3.8300718,8.128473,2179
10m,12,5.976926605504587,2.8013626814636727,5.785,3.9175,7.8325,2180,6.0869985680871554,2.945502698189227,5.8838022,3.7864410499999996,8.0849905,2180,6.264501529761469,3.0243440579084764,5.99372725,3.891744,8.179795250000002,2180
10m,13,6.264821100917432,2.907495766786638,5.92,4.1175,8.18,2180,6.122295680587156,2.989191106482699,5.8909590000000005,3.727532625,8.157610250000001,2180,6.285982599059633,3.0402436811511278,6.03090465,3.90108255,8.19874925,2180
10m,14,6.355438073394495,2.9818891647169288,5.94,4.11,8.22,2180,6.087164164330275,3.041569897726281,5.84824515,3.583590825,7.9976505499999995,2180,6.281719811688073,3.035531707366771,5.9909165,3.925479425,8.24822225,2180
10m,15,6.40297247706422,3.028037890141782,6.03,4.01,8.4,2180,6.138752139848624,3.0225018711388234,5.9407955,3.6463388500000002,8.13363,2180,6.276951308412844,3.028524967420681,5.962618,3.99954965,8.264523624999999,2180
10m,16,6.477584862385322,3.0630011921780382,6.06,4.0375,8.53,2180,6.183830504133028,3.0786841853214106,5.9706245,3.6584089,8.172282,2180,6.267665894633028,3.0328518987509168,5.9442810999999995,3.9836760250000003,8.18609125,2180
10m,17,6.4976422018348625,3.12269548848039,5.98,4.15,8.52,2180,6.027878603252295,3.0526431893418815,5.72618115,3.5871942249999997,8.04600725,2180,6.184435231866972,3.0664499380407544,5.9171499999999995,3.8143681,8.09785825,2180
10m,18,6.405183486238532,3.149012697144341,5.91,4.04,8.4,2180,5.80623039912844,3.0116832703049026,5.3961518,3.580192325,7.639791725,2180,5.9537464351467895,3.1155063300282113,5.6267828,3.5547237249999997,7.8341745,2180
10m,19,6.138163990825688,2.9801229475134305,5.78,3.92,7.952500000000001,2180,5.503399126931193,2.908252455959902,5.01381135,3.3786675749999997,7.189349,2180,5.7398851699880735,3.0949645229546174,5.20768515,3.49047765,7.63155565,2180
10m,20,5.822136467889908,2.826313107295981,5.4350000000000005,3.76,7.58,2180,4.9836673434220184,2.51653232542516,4.660178,3.191129125,6.373541225,2180,5.366384835798165,2.895309846385587,4.82087575,3.235741525,7.140744625,2180
10m,21,5.595871559633028,2.5830461154474356,5.22,3.75,7.13,2180,5.044435363018349,2.3342111568300217,4.768561500000001,3.562248125,6.26300275,2180,5.115473816981652,2.6835398233771746,4.664206849999999,3.216273475,6.63878375,2180
10m,22,5.429256880733945,2.398688628090923,5.16,3.81,6.79,2180,5.21911945266789,2.2686473739646957,4.8567587,3.774279175,6.3424385999999995,2180,5.129523612087156,2.626281664199454,4.699513,3.293736975,6.4663688,2180
10m,23,5.369467889908257,2.3677866795528613,5.13,3.78,6.7325,2180,5.391733137885321,2.137708281610801,5.090427999999999,4.06307785,6.474327075,2180,5.205468635110091,2.49450850488772,4.7393999,3.570146075,6.3670204,2180
30m,0,6.234104587155963,2.341062889321005,6.19,4.53,7.63,2180,7.331016805660551,2.701193314835144,7.55146725,5.564735625,9.03708675,2180,6.940548851926605,2.8697408860561913,6.8291319999999995,5.1017193,8.30527875,2180
30m,1,6.1055926605504585,2.3736918857668874,6.03,4.42,7.46,2180,7.361182446247705,2.703443131772515,7.657593,5.54780545,9.06297475,2180,6.930179439050458,2.882751089391007,6.9994398,5.211454900000001,8.36311725,2180
30m,2,6.051679669573199,2.374472813985647,5.86,4.48,7.46,2179,7.3085753952455255,2.698392962675798,7.593594,5.46992575,8.98645475,2179,6.946130802909592,2.8380001708062355,6.9658737,5.25647545,8.4489895,2179
30m,3,5.992967889908257,2.3160723326159887,5.86,4.42,7.41,2180,7.177089747045871,2.6710772545456116,7.48266465,5.420613675,8.88973275,2180,6.936343866100918,2.772284186050634,7.0019905,5.203969725,8.55309525,2180
30m,4,5.942582568807339,2.2708716972392886,5.86,4.37,7.35,2180,7.032516264642203,2.661548419379176,7.2728642,5.12393705,8.900032,2180,6.9033551835,2.808324925374506,7.071281900000001,5.126796475,8.611813,2180
30m,5,5.91541532813217,2.2737695084105227,5.75,4.31,7.35,2179,6.982154031532813,2.6836475959574737,7.2633786,5.142276300000001,8.888533500000001,2179,6.907956580468104,2.7993634771684435,7.087663,5.16862475,8.6715,2179
30m,6,5.828402860226659,2.21286051131622,5.75,4.135,7.35,2180,7.038333048587156,2.666158351300755,7.2928705,5.155056025,8.8128455,2180,6.937180295692659,2.7040143735875293,7.1514203,5.16494645,8.652234,2180
30m,7,5.841646519158122,2.2048764223118233,5.7,4.2,7.3,2180,6.817193186638532,2.7064249483842406,7.0065977,4.7887818499999995,8.677938000000001,2180,6.920895723853211,2.6725630044222166,6.999631300000001,5.195509449999999,8.491061499999999,2180
30m,8,5.798215596330276,2.2770228464825584,5.64,4.2,7.19,2180,6.486737239454128,2.81952581928501,6.4271085,4.427961275,8.4681255,2180,6.793759498426606,2.8446861094162506,6.75674555,4.7845269749999995,8.594461500000001,2180
30m,9,5.987720453318942,2.5165659275189176,5.7,4.2,7.41,2180,6.245417989197247,3.0005213099711363,6.093340700000001,3.9708520500000004,8.264314,2180,6.702826048825687,3.1081836782250907,6.619881149999999,4.38115025,8.6640245,2180
30m,10,6.192780626011873,2.674430052509563,5.92,4.2,7.74,2180,6.160687955399082,3.152401948592838,5.99113625,3.7275509,8.43109625,2180,6.663930490059633,3.3066620668782747,6.53715575,4.24458525,8.914311999999999,2180
30m,11,6.397462138595686,2.8121807126694445,6.08,4.26,8.13,2179,6.323340416801285,3.2431738313898473,6.1916375,3.7808534,8.520625500000001,2179,6.702605076507573,3.359537948027815,6.5081544,4.1122061500000004,8.871962,2179
30m,12,6.718353211009173,2.9350054832823638,6.47,4.37,8.74,2180,6.575002301646789,3.279874160602595,6.306281650000001,4.0003231249999995,8.80100425,2180,6.797734268188074,3.381405215183818,6.4361902,4.15046235,8.935006249999999,2180
30m,13,6.9909403669724774,3.0647115814823733,6.63,4.59,8.9,2180,6.612217501105504,3.328125550744245,6.3195014,3.91246465,8.860082625,2180,6.812723814756882,3.3991141509718203,6.48048075,4.13750535,8.96823275,2180
30m,14,7.084387614678899,3.116613402291294,6.75,4.5525,9.12,2180,6.581189430486238,3.387768699232543,6.269486000000001,3.777795625,8.6762605,2180,6.810617905605505,3.396424491120834,6.4452560000000005,4.164803525,8.994262875,2180
