Variable,Model,Mean_Error,RMSE,MAE,Std,Bias,Count
Wind Speed 10m,EC,-0.008694813783282672,2.3579381694674697,1.7636280210447624,2.357944673778272,-0.008694813783282672,52317
Wind Speed 10m,GFS,0.06495013562673703,2.443880733077986,1.8534144719962793,2.443040851026795,0.06495013562673703,52317
Wind Speed 30m,EC,0.4053802927534454,2.593452130035324,2.020754391091959,2.5615983667675875,0.4053802927534454,52317
Wind Speed 30m,GFS,0.4250392038159681,2.700333833936963,2.1076476184991493,2.666698411273078,0.4250392038159681,52317
Wind Speed 50m,EC,0.5007518288642315,2.8855146816362747,2.2433415578322533,2.8417594801061092,0.5007518288642315,52317
Wind Speed 50m,GFS,0.5725933453034577,3.029558148224381,2.384732097649438,2.9749837992107757,0.5725933453034577,52317
Wind Speed 70m,EC,0.684140335664736,3.154346139382601,2.459236450457939,3.0792909589807724,0.684140335664736,52317
Wind Speed 70m,GFS,0.8037098310904869,3.3468136710409015,2.6517920279736797,3.248909665542161,0.8037098310904869,52317
Temperature 2m,EC,-1.6456019486973417,2.7431028020891035,2.3361626956820785,2.194697992172671,-1.6456019486973417,52317
Temperature 2m,GFS,-1.2436536454689457,2.702737269575973,2.2876146306171887,2.399630059526686,-1.2436536454689457,52317
