Classification,Variable,EC_R2,GFS_R2,EC_RMSE,GFS_RMSE,EC_MAE,GFS_MAE,EC_BIAS,GFS_BIAS,EC_CORR,GFS_CORR,Sample_Size,R2_Diff,RMSE_Improve
weak_night,wind_speed_10m,0.2642309680651398,0.1555633349619806,2.2440505672987348,2.404060692906221,1.6775295406663924,1.8384574803737632,-0.4821027563735535,-0.4073942739081973,0.6244422018530602,0.6066395047405302,20653,0.10866763310315919,6.6558272043478794
weak_night,wind_speed_70m,-0.22593713558713202,-0.3506720939837171,3.5196306261220855,3.69434926375208,2.7855219870874937,2.9916934414442937,1.2539202073995062,1.2855009752312496,0.545747030288175,0.5120259656504905,20653,0.1247349583965851,4.729348124831749
weak_night,temperature_10m,0.9438005703329067,0.9538143517794542,2.8436061326054105,2.5778462411306964,2.398193571232577,2.1415858934133785,-1.6349011284881712,-0.9294919758226993,0.9810290136703249,0.9802802936150908,20653,-0.01001378144654752,-10.30937715502172
moderate_night,wind_speed_10m,-0.4202807545401086,-0.4172636280023354,1.906865699813843,1.9048392294232033,1.4591009893350457,1.4668087519920092,0.4684214944549086,0.12225981730022834,0.43597966094937346,0.4013886754630438,3504,-0.003017126537773196,-0.10638537674663817
moderate_night,wind_speed_70m,-0.4898453154536131,-0.52415167547798,3.053520985129284,3.0884772956590365,2.408593484083904,2.446999755456621,0.14186227544805938,-0.18681271407534245,0.4210721352461879,0.3891465334484288,3504,0.03430636002436693,1.1318299337633038
moderate_night,temperature_10m,0.9500945067469014,0.9619079894205095,2.537543984678942,2.2169523095510018,2.0545560996955747,1.7579800979832525,-1.2404244843987597,-0.4278989450151985,0.9809108140983589,0.9819860293607302,3504,-0.011813482673608044,-14.46091888160054
moderate_day,wind_speed_10m,-0.707155242696391,-0.6631530080212522,2.1085580591621667,2.0812064278892564,1.6656170635702816,1.617721189446212,0.8627702514611005,0.8343919687613487,0.495329993597862,0.480943052099992,2015,-0.04400223467513875,-1.3142200075102646
moderate_day,wind_speed_70m,-0.23882885556214806,-0.24989462817082098,2.7916634729294048,2.8041039461857062,2.163339671151073,2.231381985419063,-0.16924154675463435,-0.0077788474246095664,0.518669629584448,0.5109021391786195,2015,0.011065772608672919,0.44365235722533364
moderate_day,temperature_10m,0.9560213655386145,0.956517036386817,2.5882428775139283,2.5736158668995226,2.1881725537877568,2.17746007736096,-1.4078380823237266,-1.0627157299664058,0.9847564606338269,0.9837739626950427,2015,-0.0004956708482024563,-0.5683447480461467
weak_day,wind_speed_10m,0.3375458449270994,0.26421115307610965,2.213328532448105,2.33262308137974,1.6991169138345572,1.7927633346588299,-0.18318468238509286,0.015432025686817176,0.6865986938466867,0.6590942014074954,22403,0.07333469185098973,5.11418024986158
weak_day,wind_speed_70m,0.23824437231304385,0.07821696387081989,2.801526494438778,3.081777315179718,2.166275358887404,2.411137088140183,0.3055128218102267,0.6227756761078654,0.6649818904241409,0.6192280528301536,22403,0.16002740844222396,9.093805037778889
weak_day,temperature_10m,0.9483853532007733,0.9402137963264874,2.7019101073312934,2.9079364062008723,2.3555800292327644,2.540159423510318,-1.7984703599920304,-1.7798633149534195,0.985523998535974,0.9817199782590268,22403,0.008171556874285946,7.084965765766034
strong_day,wind_speed_10m,-3.681997068758996,-4.13807775213005,2.966424161519902,3.107549226870481,2.3965358399001424,2.4757112201783498,2.1753867585863866,2.2496531805338362,0.60364896361777,0.5435757524994088,1294,0.456080683371054,4.541362181177806
strong_day,wind_speed_70m,-0.024067161095518097,-0.08443650416258297,2.808874105928226,2.8904809986972935,2.2315440846826986,2.296011104134012,-0.1968356510978271,0.007193926205109537,0.6113627718321769,0.5702040263354936,1294,0.06036934306706487,2.82329801876735
strong_day,temperature_10m,0.9508306611724464,0.9524015605329154,2.77883457115755,2.734084080974788,2.357498538806548,2.3224450225778037,-1.4302692961481134,-0.9345555480801063,0.9817671217909785,0.9814894075535774,1294,-0.001570899360468947,-1.6367634958324704
strong_night,wind_speed_10m,-3.044991859188112,-2.5555567294339587,2.9375400067614637,2.754094070615561,2.3499108028743314,2.1073406534358288,2.1202776770721927,1.7365620573930483,0.4669622076276685,0.4578566831173513,1496,-0.4894351297541535,-6.6608449618026615
strong_night,wind_speed_70m,-0.3121970782676746,-0.32856478994945615,3.2388171918653765,3.258954310865654,2.5983340311697862,2.5663681272794117,0.5885167265842246,0.15813508047459893,0.5116832643925205,0.46698906906418897,1496,0.016367711681781527,0.6179012370053256
strong_night,temperature_10m,0.9529351193936828,0.9602227988313645,2.6435109153038696,2.430243208844158,2.1125208556149655,1.9382605481283413,-1.1187862165775184,-0.11486770053473762,0.9805050308822724,0.980756953778475,1496,-0.0072876794376817156,-8.775570514242624
