experiment,description,type,RMSE,Correlation
G-M1-10m,GFS原始10m风速直接预测功率,direct,33.75788815647085,0.6095413764451604
G-M1-70m,GFS原始70m风速直接预测功率,direct,34.225727329182035,0.5907601857263068
E-M1-10m,EC原始10m风速直接预测功率,direct,33.16715634547069,0.6311847128024284
E-M1-70m,EC原始70m风速直接预测功率,direct,33.33692067587039,0.6233711563929385
G-M2-10m,GFS 10m风速两步法ML校正,two_step,32.92889685208382,0.62574288607092
G-M2-70m,GFS 70m风速两步法ML校正,two_step,32.653870954528614,0.6251820684901276
E-M2-10m,EC 10m风速两步法ML校正,two_step,33.17075225115118,0.6283356030542436
E-M2-70m,EC 70m风速两步法ML校正,two_step,33.83994460342794,0.6066602360724233
Fusion-M1,四风速校正后静态融合,fusion,31.716045221203736,0.6631452745020937
E-M4-Dual,EC两高度分别校正后均权融合,dual_height_corrected_fusion,33.10033355243093,0.62835242392411
G-M4-Dual,GFS两高度分别校正后均权融合,dual_height_corrected_fusion,32.759196957719006,0.6278929053606219
X-M2-10m,GFS和EC的10m分别校正后均权融合,cross_source_corrected_fusion,32.083434315672086,0.6568518762813853
X-M2-70m,GFS和EC的70m分别校正后均权融合,cross_source_corrected_fusion,32.08443879109785,0.6528346354395517
X-M3-10m,GFS和EC的10m平均后校正再预测功率 ⭐创新方法,cross_source_average_corrected,32.465512583587056,0.6489854601917715
X-M3-70m,GFS和EC的70m平均后校正再预测功率 ⭐创新方法,cross_source_average_corrected,32.969643393141496,0.6258938603022874
