experiment,description,type,RMSE,Correlation
G-M1-10m,GFS原始10m风速直接预测功率,direct,33.755748274824576,0.6095583423879312
G-M1-70m,GFS原始70m风速直接预测功率,direct,34.23744852420031,0.5902370195334267
E-M1-10m,EC原始10m风速直接预测功率,direct,33.146527099158924,0.632019793811573
E-M1-70m,EC原始70m风速直接预测功率,direct,33.46552862949905,0.6218781639025289
G-M2-10m,GFS 10m风速两步法ML校正,two_step,32.90289491109312,0.6264989293789386
G-M2-70m,GFS 70m风速两步法ML校正,two_step,32.797365344018075,0.6221495705967854
E-M2-10m,EC 10m风速两步法ML校正,two_step,33.164372229644485,0.6296490812408612
E-M2-70m,EC 70m风速两步法ML校正,two_step,33.70652602649962,0.6087813607674722
Fusion-M1,四风速校正后静态融合,fusion,31.801787765760817,0.6610139609971781
E-M4-Dual,EC两高度分别校正后均权融合,dual_height_corrected_fusion,33.32033262461578,0.6224606393073128
G-M4-Dual,GFS两高度分别校正后均权融合,dual_height_corrected_fusion,32.669017203676376,0.628613955612874
X-M2-10m,GFS和EC的10m分别校正后均权融合,cross_source_corrected_fusion,32.028375020114396,0.6595710365199827
X-M2-70m,GFS和EC的70m分别校正后均权融合,cross_source_corrected_fusion,32.32727752384655,0.6467543336150349
X-M3-10m,GFS和EC的10m平均后校正再预测功率 ⭐创新方法,cross_source_average_corrected,32.34295713218567,0.6528469951820192
X-M3-70m,GFS和EC的70m平均后校正再预测功率 ⭐创新方法,cross_source_average_corrected,32.93436848366398,0.6248022298482513
