,Low Shear Day,Low Shear Night,Moderate Shear Day,Moderate Shear Night,High Shear Day,High Shear Night
Fusion-M2,27.7395,32.6031,30.002,32.0296,25.2622,27.7706
E-M1-10m,28.5958,33.7781,30.9196,33.3007,29.7758,30.9298
E-M1-70m,28.3889,34.8641,31.3561,33.9763,28.1888,30.6601
G-M1-10m,30.6342,34.7845,32.1463,34.4104,28.8623,30.5383
G-M1-70m,30.8386,36.2219,32.1217,35.3497,29.4229,30.7512
E-M2-10m,28.671,33.8652,31.4205,32.8672,27.9166,29.8155
E-M2-70m,28.9178,34.3124,31.6087,33.4139,29.311,31.2231
G-M2-10m,29.8513,34.0129,31.6151,33.7052,27.2925,29.4938
G-M2-70m,30.1458,33.8559,31.833,33.4496,26.9137,28.7889
X-M2-10m,27.9889,32.7836,30.3363,32.2581,26.0013,28.7156
X-M2-70m,28.269,33.165,30.2225,32.2945,27.0521,28.836
