Low Shear_Strategy,Low Shear_RMSE,Moderate Shear_Strategy,Moderate Shear_RMSE,High Shear_Strategy,High Shear_RMSE
Fusion-M2,29.9881,Fusion-M2,31.1969,Fusion-M2,26.5441
X-M2-10m,30.2036,X-M2-70m,31.4438,X-M2-10m,27.39
X-M2-70m,30.5315,X-M2-10m,31.4679,G-M2-70m,27.8656
E-M1-10m,30.995,E-M2-10m,32.2695,X-M2-70m,27.9569
E-M2-10m,31.0757,E-M1-10m,32.3254,G-M2-10m,28.4128
E-M1-70m,31.418,E-M2-70m,32.6704,E-M2-10m,28.8802
E-M2-70m,31.4183,G-M2-70m,32.7827,E-M1-70m,29.4485
G-M2-10m,31.7594,G-M2-10m,32.8465,G-M1-10m,29.7108
G-M2-70m,31.8402,E-M1-70m,32.9049,G-M1-70m,30.0933
G-M1-10m,32.5353,G-M1-10m,33.4813,E-M2-70m,30.2807
G-M1-70m,33.3271,G-M1-70m,34.0358,E-M1-10m,30.3574
