Low Shear Day_Strategy,Low Shear Day_RMSE,Low Shear Night_Strategy,Low Shear Night_RMSE,Moderate Shear Day_Strategy,Moderate Shear Day_RMSE,Moderate Shear Night_Strategy,Moderate Shear Night_RMSE,High Shear Day_Strategy,High Shear Day_RMSE,High Shear Night_Strategy,High Shear Night_RMSE
Fusion-M2,27.7395,Fusion-M2,32.6031,Fusion-M2,30.002,Fusion-M2,32.0296,Fusion-M2,25.2622,Fusion-M2,27.7706
X-M2-10m,27.9889,X-M2-10m,32.7836,X-M2-70m,30.2225,X-M2-10m,32.2581,X-M2-10m,26.0013,X-M2-10m,28.7156
X-M2-70m,28.269,X-M2-70m,33.165,X-M2-10m,30.3363,X-M2-70m,32.2945,G-M2-70m,26.9137,G-M2-70m,28.7889
E-M1-70m,28.3889,E-M1-10m,33.7781,E-M1-10m,30.9196,E-M2-10m,32.8672,X-M2-70m,27.0521,X-M2-70m,28.836
E-M1-10m,28.5958,G-M2-70m,33.8559,E-M1-70m,31.3561,E-M1-10m,33.3007,G-M2-10m,27.2925,G-M2-10m,29.4938
E-M2-10m,28.671,E-M2-10m,33.8652,E-M2-10m,31.4205,E-M2-70m,33.4139,E-M2-10m,27.9166,E-M2-10m,29.8155
E-M2-70m,28.9178,G-M2-10m,34.0129,E-M2-70m,31.6087,G-M2-70m,33.4496,E-M1-70m,28.1888,G-M1-10m,30.5383
G-M2-10m,29.8513,E-M2-70m,34.3124,G-M2-10m,31.6151,G-M2-10m,33.7052,G-M1-10m,28.8623,E-M1-70m,30.6601
G-M2-70m,30.1458,G-M1-10m,34.7845,G-M2-70m,31.833,E-M1-70m,33.9763,E-M2-70m,29.311,G-M1-70m,30.7512
G-M1-10m,30.6342,E-M1-70m,34.8641,G-M1-70m,32.1217,G-M1-10m,34.4104,G-M1-70m,29.4229,E-M1-10m,30.9298
G-M1-70m,30.8386,G-M1-70m,36.2219,G-M1-10m,32.1463,G-M1-70m,35.3497,E-M1-10m,29.7758,E-M2-70m,31.2231
