IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value,Max_Lag_Correlation,Optimal_Lag,Optimal_Lag_Hours
1,obs_wind_speed_10m,obs_wind_speed_70m,0.11144166409187217,3.3743262151484297e-144,0.07552639272176337,4.754615083792762e-67,0.11144166409187214,0,0.0
1,obs_wind_speed_10m,power,0.12282212190800038,5.990999514924213e-175,0.09711263088704897,8.145983237436708e-110,0.12282212190800035,0,0.0
1,obs_wind_speed_70m,power,0.11436507431776693,8.338066680425754e-152,0.09731480705144803,2.8789601381856657e-110,0.11436507431776699,0,0.0
2,obs_wind_speed_10m,obs_wind_speed_70m,0.5242528260962466,0.0,0.40254589453421724,0.0,0.5242528260962467,0,0.0
2,obs_wind_speed_10m,power,0.3197512207740266,0.0,0.278341711712937,0.0,0.3197512207740265,0,0.0
2,obs_wind_speed_70m,power,0.3200699850105551,0.0,0.2811739388959133,0.0,0.32338741695481227,-1,-0.25
3,obs_wind_speed_10m,obs_wind_speed_70m,0.7592091743136073,0.0,0.7038139247236713,0.0,0.7592091743136073,0,0.0
3,obs_wind_speed_10m,power,0.4787565165688286,0.0,0.4516390229147097,0.0,0.48096324162879217,-1,-0.25
3,obs_wind_speed_70m,power,0.47864831046684814,0.0,0.4518602802881812,0.0,0.4844636974839968,-1,-0.25
4,obs_wind_speed_10m,obs_wind_speed_70m,0.8476231368166658,0.0,0.8176350815583019,0.0,0.8476231368166662,0,0.0
4,obs_wind_speed_10m,power,0.6718329704216787,0.0,0.6540983069518016,0.0,0.6804123078854808,-2,-0.5
4,obs_wind_speed_70m,power,0.6667190991951686,0.0,0.6517105090926316,0.0,0.6706242113878367,-1,-0.25
5,obs_wind_speed_10m,obs_wind_speed_70m,0.8687006760269277,0.0,0.8648619261525584,0.0,0.8687702843917463,1,0.25
5,obs_wind_speed_10m,power,0.796033212044334,0.0,0.7847632262287385,0.0,0.7962286258402383,-1,-0.25
5,obs_wind_speed_70m,power,0.7728525405369776,0.0,0.7668392799998516,0.0,0.7734677243792146,-1,-0.25
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8120454774528832,0.0,0.8162559275069747,0.0,0.8124184630952969,-2,-0.5
6,obs_wind_speed_10m,power,0.7889466247258304,0.0,0.8079621793655288,0.0,0.7889466247258304,0,0.0
6,obs_wind_speed_70m,power,0.730213804867841,0.0,0.7463237157800829,0.0,0.7313401027999057,4,1.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.7701872138230745,0.0,0.809869041682592,0.0,0.7702001639669972,1,0.25
7,obs_wind_speed_10m,power,0.7933601747316832,0.0,0.8264413048576991,0.0,0.7933970162434031,2,0.5
7,obs_wind_speed_70m,power,0.7652176688480303,0.0,0.7500318558971039,0.0,0.7652176688480303,0,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.7074520164781273,0.0,0.72703155163052,0.0,0.709656962554165,-28,-7.0
8,obs_wind_speed_10m,power,0.7218777688583151,0.0,0.7595843815031125,0.0,0.7233005260900817,-21,-5.25
8,obs_wind_speed_70m,power,0.6252013041531079,0.0,0.6599132788458608,0.0,0.6252269596015276,3,0.75
9,obs_wind_speed_10m,obs_wind_speed_70m,0.8061075451295568,0.0,0.7785068371369748,0.0,0.8064685992673681,-29,-7.25
9,obs_wind_speed_10m,power,0.7579713499550259,0.0,0.7815350861663171,0.0,0.757997576131039,9,2.25
9,obs_wind_speed_70m,power,0.559891796168228,0.0,0.5802188652705885,0.0,0.5605412600508324,50,12.5
10,obs_wind_speed_10m,obs_wind_speed_70m,0.7752512367255872,0.0,0.702011365606096,0.0,0.7807922974514935,50,12.5
10,obs_wind_speed_10m,power,0.6767774280709791,0.0,0.6231304683905847,0.0,0.6862951741777615,50,12.5
10,obs_wind_speed_70m,power,0.7835663607532474,0.0,0.7271025397300792,0.0,0.7866631406703137,50,12.5
11,obs_wind_speed_10m,obs_wind_speed_70m,0.9794684147123471,0.0,0.9652470872157998,0.0,0.9794684147123472,0,0.0
11,obs_wind_speed_10m,power,0.6909078408859809,0.0,0.5426618808982062,0.0,0.6911024367514831,50,12.5
11,obs_wind_speed_70m,power,0.7165871005362419,0.0,0.4534963645800091,0.0,0.7165871005362419,0,0.0
12,obs_wind_speed_10m,obs_wind_speed_70m,0.6828298901694999,0.0,0.7315104033247213,0.0,0.6838363279262506,-50,-12.5
