IMF,Variable1,Variable2,Variable1_Total_IMFs,Variable2_Total_IMFs,Max_Comparable_IMFs,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value,IMF1_Variance,IMF2_Variance,IMF1_Period_Hours,IMF2_Period_Hours,IMF1_Interpretation,IMF2_Interpretation,Average_Period_Hours
1,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.11859136610562908,3.6899137210061436e-163,0.08398103920490847,1.6331414955264422e-82,0.13166567148645394,0.1557390274678044,0.8567474615132656,0.837463580187622,~51min (Sub-hourly),~50min (Sub-hourly),0.8471055208504439
2,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.5394816349245181,0.0,0.423583666054316,0.0,0.17026999456190342,0.196192002293023,2.3148344839794652,2.332382056541514,~2.3h (Hourly scale),~2.3h (Hourly scale),2.3236082702604897
3,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.7686125541006721,0.0,0.7206493876815279,0.0,0.4151381812608684,0.48285333618840925,6.1473906911142455,6.2436723973256925,~6.1h (Semi-diurnal),~6.2h (Semi-diurnal),6.195531544219969
4,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8715397078686254,0.0,0.838779087091412,0.0,1.158226309195969,1.1937264878912723,16.402132998745294,16.17017326732673,~16.4h (Semi-diurnal),~16.2h (Semi-diurnal),16.286153133036013
5,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8829972867790239,0.0,0.8780416325662154,0.0,1.247198200726141,1.24300894856244,40.123655913978496,39.026905829596416,~1.7d (Multi-day),~1.6d (Multi-day),39.575280871787456
6,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8660760057224887,0.0,0.8608337525117611,0.0,1.0185856968693014,0.9578370165180676,99.683908045977,104.59839357429719,~4.2d (Multi-day),~4.4d (Multi-day),102.1411508101371
7,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8028505700706811,0.0,0.8502432887065199,0.0,0.6163894399523734,0.5200655750134122,218.2941176470588,234.01351351351352,~9.1d (Weekly-Monthly),~9.8d (Weekly-Monthly),226.15381558028616
8,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8037983823423789,0.0,0.8312563857731878,0.0,0.2735468563426826,0.1915502607684397,478.1826923076923,477.6792452830189,~19.9d (Weekly-Monthly),~19.9d (Weekly-Monthly),477.9309687953556
9,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.835803542527488,0.0,0.8172679632764127,0.0,0.16226968694451657,0.11037561052020052,1316.7894736842106,1303.6944444444443,~55d (Long-term trend),~54d (Long-term trend),1310.2419590643276
10,obs_wind_speed_10m,obs_wind_speed_30m,12,12,12,0.8247083334550221,0.0,0.7779256765423482,0.0,0.051455612647076036,0.03751241819551155,3935.75,4340.125,~164d (Long-term trend),~181d (Long-term trend),4137.9375
