IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.13177798815778324,2.6120293637269424e-201,0.10214184094203312,2.46077022462714e-121
1,obs_wind_speed_10m,power,0.15259765082752333,5.004151040711679e-270,0.18445381287743473,0.0
1,obs_wind_speed_70m,power,0.14010500628167533,1.5375487564613051e-227,0.16904638837178687,0.0
2,obs_wind_speed_10m,obs_wind_speed_70m,0.5337236529003928,0.0,0.41335236260215186,0.0
2,obs_wind_speed_10m,power,0.3252786861406289,0.0,0.29830131315920305,0.0
2,obs_wind_speed_70m,power,0.3204860319637529,0.0,0.2957846215989447,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.7631984853468583,0.0,0.7109980523475555,0.0
3,obs_wind_speed_10m,power,0.4855875296641435,0.0,0.4639807072905673,0.0
3,obs_wind_speed_70m,power,0.4792522281358024,0.0,0.45691622588816166,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,0.8454214388579435,0.0,0.8182267914833284,0.0
4,obs_wind_speed_10m,power,0.6742582690502137,0.0,0.6582537330929196,0.0
4,obs_wind_speed_70m,power,0.6688776811973821,0.0,0.6548416159723542,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.8693542596859447,0.0,0.8673276990889763,0.0
5,obs_wind_speed_10m,power,0.8061124510115418,0.0,0.796169485567264,0.0
5,obs_wind_speed_70m,power,0.7873381076648078,0.0,0.7740734169324247,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8176642946034972,0.0,0.8251497880454747,0.0
6,obs_wind_speed_10m,power,0.7918927431340181,0.0,0.8170851359418497,0.0
6,obs_wind_speed_70m,power,0.732502467088882,0.0,0.750326331968849,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.7729202087880084,0.0,0.8207906120963371,0.0
7,obs_wind_speed_10m,power,0.7974264707789787,0.0,0.8301006196530203,0.0
7,obs_wind_speed_70m,power,0.7619560456148937,0.0,0.7534128497566673,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.6901656888806844,0.0,0.714522108844043,0.0
8,obs_wind_speed_10m,power,0.7600495762775775,0.0,0.804204435452735,0.0
8,obs_wind_speed_70m,power,0.6175451089885291,0.0,0.6473477978324969,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.8113113492886853,0.0,0.7700889519241493,0.0
9,obs_wind_speed_10m,power,0.7186206697584305,0.0,0.7578243841273103,0.0
9,obs_wind_speed_70m,power,0.5895127815522451,0.0,0.6373672058121246,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,0.821006654431095,0.0,0.7353193234029555,0.0
10,obs_wind_speed_10m,power,0.7326700852438296,0.0,0.7123795797856952,0.0
10,obs_wind_speed_70m,power,0.8101506577167873,0.0,0.762197689489817,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,0.9829442801887815,0.0,0.9654040542820337,0.0
11,obs_wind_speed_10m,power,0.8182605839352117,0.0,0.6272092905549348,0.0
11,obs_wind_speed_70m,power,0.839580665527767,0.0,0.5710518165005133,0.0
12,obs_wind_speed_10m,obs_wind_speed_70m,0.6809973723400878,0.0,0.7243042799126672,0.0
12,obs_wind_speed_10m,power,0.0010761846912307389,0.8055669373198074,8.430985801879097e-08,0.9999846138678286
12,obs_wind_speed_70m,power,-0.002429933656014568,0.5783584749734476,-1.2949824040745875e-07,0.9999763672115037
