Variable,IMF,Period_Minutes,Period_Hours,Period_Days,Dominant_Frequency_Hz,FFT_Period_Hours,Zero_Crossing_Period_Hours,Peak_Interval_Period_Hours,AutoCorr_Period_Hours,Time_Scale,Representative_Description
obs_wind_speed_10m,1,73.39405704046588,1.2232342840077648,0.0509680951669902,0.00022708468967013888,1.2232342840077648,0.9250150288199724,2.5,inf,Hourly,1.2 hours - Intra-daily variation
obs_wind_speed_10m,2,213.28704708179646,3.554784118029941,0.1481160049179142,7.814195421006945e-05,3.554784118029941,2.371792546921752,5.5,inf,Several Hours,3.6 hours - Intra-daily variation
obs_wind_speed_10m,3,480.46920821114367,8.007820136852395,0.3336591723688498,3.4688313802083335e-05,8.007820136852395,6.220808561236623,13.0,inf,Semi-diurnal,8.0 hours - Intra-daily variation
obs_wind_speed_10m,4,1439.2972181551977,23.988286969253295,0.9995119570522206,1.1579725477430555e-05,23.988286969253295,16.650859325270527,32.0,263.25,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_10m,5,3015.4601226993864,50.25766871165644,2.094069529652352,5.527072482638889e-06,50.25766871165644,40.05895865237366,80.75,2112.25,Several Days,2.1 days - Multi-day weather patterns
obs_wind_speed_10m,6,6687.346938775509,111.45578231292515,4.643990929705215,2.4922688802083333e-06,111.45578231292515,100.60961538461538,194.0,574.75,Several Days,4.6 days - Multi-day weather patterns
obs_wind_speed_10m,7,14268.272727272728,237.80454545454546,9.908522727272727,1.2715657552083333e-06,218.45333333333335,237.80454545454546,464.0,440.0,Weekly,10 days - Weekly to monthly cycles
obs_wind_speed_10m,8,30774.70588235294,512.9117647058823,21.371323529411764,1.0002983940972223e-06,277.6949152542373,512.9117647058823,1033.5,531.75,Monthly,21 days - Weekly to monthly cycles
obs_wind_speed_10m,9,78475.5,1307.925,54.496874999999996,1.0342068142361112e-06,268.5901639344262,1307.925,2634.0,1893.5,Seasonal,1.8 months - Seasonal variations
obs_wind_speed_10m,10,196188.75,3269.8125,136.2421875,1.1189778645833333e-06,248.24242424242422,3269.8125,8097.5,4314.25,Seasonal,4.5 months - Seasonal variations
