Variable,IMF,Period_Minutes,Period_Hours,Period_Days,Dominant_Frequency_Hz,FFT_Period_Hours,Zero_Crossing_Period_Hours,Peak_Interval_Period_Hours,AutoCorr_Period_Hours,Time_Scale,Representative_Description
obs_wind_speed_10m,1,79.33228871815608,1.322204811969268,0.055091867165386166,0.00021008679991419828,1.322204811969268,0.8548250057187674,1.6909872632055345,inf,Hourly,1.3 hours - Intra-daily variation
obs_wind_speed_10m,2,204.25689744924517,3.4042816241540863,0.14184506767308694,8.159659171758489e-05,3.4042816241540863,2.302076916307313,4.494500773328751,inf,Several Hours,3.4 hours - Intra-daily variation
obs_wind_speed_10m,3,719.9587155963302,11.999311926605504,0.49997133027522933,2.3149475526332e-05,11.999311926605504,6.2237687366167025,12.04606172270843,inf,Semi-diurnal,12.0 hours - Intra-daily variation
obs_wind_speed_10m,4,1439.9174311926604,23.998623853211008,0.9999426605504587,1.1574737763166e-05,23.998623853211008,16.277846919726198,32.671875,671.5,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_10m,5,3018.2884615384614,50.30480769230769,2.096033653846154,5.521893244813137e-06,50.30480769230769,40.05895865237366,80.69040247678019,2113.0,Several Days,2.1 days - Multi-day weather patterns
obs_wind_speed_10m,6,6823.95652173913,113.73260869565216,4.738858695652174,2.4423758582827337e-06,113.73260869565216,101.38953488372093,199.44615384615383,675.5,Several Days,4.7 days - Multi-day weather patterns
obs_wind_speed_10m,7,12456.42857142857,207.60714285714283,8.650297619047619,1.3379972093201063e-06,207.60714285714283,225.5043103448276,477.0185185185185,661.75,Weekly,9 days - Weekly to monthly cycles
obs_wind_speed_10m,8,31390.199999999997,523.17,21.79875,5.309512735397248e-07,523.17,512.9117647058823,955.9038461538461,1060.75,Monthly,22 days - Weekly to monthly cycles
obs_wind_speed_10m,9,98094.375,1634.90625,68.12109375,1.6990440753271192e-07,1634.90625,1307.925,2624.388888888889,1953.5,Seasonal,2.3 months - Seasonal variations
obs_wind_speed_10m,10,261584.99999999997,4359.749999999999,181.65624999999997,6.371415282476697e-08,4359.749999999999,3269.8125,7681.5,4293.25,Seasonal,6.1 months - Seasonal variations
