IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_30m,0.12026093282679239,9.230996895090816e-168,0.08592627232272637,2.637715177188705e-86
1,obs_wind_speed_10m,obs_wind_speed_50m,0.1162221979526898,9.634792391408449e-157,0.07865737669491854,1.389160768187495e-72
1,obs_wind_speed_10m,obs_wind_speed_70m,0.11483954058501089,4.6497158768200847e-153,0.07903298915846542,2.9082081279059914e-73
1,obs_wind_speed_10m,power,0.12747785401964776,2.0532869837698398e-188,0.10776763130022096,6.355759788295562e-135
1,obs_wind_speed_30m,obs_wind_speed_50m,0.8054587489181326,0.0,0.7339180311434174,0.0
1,obs_wind_speed_30m,obs_wind_speed_70m,0.7678233894087713,0.0,0.6734865694014365,0.0
1,obs_wind_speed_30m,power,0.1231781235081857,5.835644600350909e-176,0.10054769789832721,1.2781708628129467e-117
1,obs_wind_speed_50m,obs_wind_speed_70m,0.8014091584084372,0.0,0.7309565886549684,0.0
1,obs_wind_speed_50m,power,0.10893477543042797,7.783086169269958e-138,0.09759587427886086,6.755890979043681e-111
1,obs_wind_speed_70m,power,0.11493265863190975,2.6349071743507934e-153,0.09976022875068746,8.318421507095134e-116
2,obs_wind_speed_10m,obs_wind_speed_30m,0.5393010767890606,0.0,0.4215536675111525,0.0
2,obs_wind_speed_10m,obs_wind_speed_50m,0.54215313651973,0.0,0.4239372269027706,0.0
2,obs_wind_speed_10m,obs_wind_speed_70m,0.5305198804901126,0.0,0.4085899103387681,0.0
2,obs_wind_speed_10m,power,0.32203651841244585,0.0,0.28815605401539557,0.0
2,obs_wind_speed_30m,obs_wind_speed_50m,0.901259299653355,0.0,0.8533246417155635,0.0
2,obs_wind_speed_30m,obs_wind_speed_70m,0.8702515111081004,0.0,0.8097489695027652,0.0
2,obs_wind_speed_30m,power,0.31300544200008545,0.0,0.2737822069119195,0.0
2,obs_wind_speed_50m,obs_wind_speed_70m,0.9061360338104663,0.0,0.8556318295654477,0.0
2,obs_wind_speed_50m,power,0.31612707711837945,0.0,0.27509989912150096,0.0
2,obs_wind_speed_70m,power,0.31749501352555487,0.0,0.280910273164065,0.0
3,obs_wind_speed_10m,obs_wind_speed_30m,0.7670796430871228,0.0,0.7175663515236939,0.0
3,obs_wind_speed_10m,obs_wind_speed_50m,0.7749657320821224,0.0,0.7269570169684146,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.7611841599064162,0.0,0.7061157162154458,0.0
3,obs_wind_speed_10m,power,0.4808941890820536,0.0,0.4585996875797862,0.0
3,obs_wind_speed_30m,obs_wind_speed_50m,0.9406543245118374,0.0,0.926719830785551,0.0
3,obs_wind_speed_30m,obs_wind_speed_70m,0.910999207286446,0.0,0.8919851911773171,0.0
3,obs_wind_speed_30m,power,0.44947809051786886,0.0,0.43852952523170435,0.0
