Variable,IMF,Period_Minutes,Period_Hours,Period_Days,Dominant_Frequency_Hz,FFT_Period_Hours,Zero_Crossing_Period_Hours,Peak_Interval_Period_Hours,AutoCorr_Period_Hours,Time_Scale,Representative_Description
obs_wind_speed_10m,1,73.39405704046588,1.2232342840077648,0.0509680951669902,0.00022708468967013888,1.2232342840077648,0.9274419429179223,2.5,inf,Hourly,1.2 hours - Intra-daily variation
obs_wind_speed_10m,2,174.66950959488273,2.9111584932480454,0.12129827055200189,9.541829427083333e-05,2.9111584932480454,2.364503299285908,5.5,inf,Hourly,2.9 hours - Intra-daily variation
obs_wind_speed_10m,3,480.46920821114367,8.007820136852395,0.3336591723688498,3.4688313802083335e-05,8.007820136852395,6.217851200380319,13.0,inf,Semi-diurnal,8.0 hours - Intra-daily variation
obs_wind_speed_10m,4,1439.2972181551977,23.988286969253295,0.9995119570522206,1.1579725477430555e-05,23.988286969253295,16.42090395480226,32.0,263.25,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_10m,5,3015.4601226993864,50.25766871165644,2.094069529652352,5.527072482638889e-06,50.25766871165644,40.18202764976959,80.5,2112.75,Several Days,2.1 days - Multi-day weather patterns
obs_wind_speed_10m,6,6687.346938775509,111.45578231292515,4.643990929705215,2.4922688802083333e-06,111.45578231292515,100.60961538461538,192.0,573.5,Several Days,4.6 days - Multi-day weather patterns
obs_wind_speed_10m,7,14013.482142857143,233.55803571428572,9.731584821428571,1.2715657552083333e-06,218.45333333333335,233.55803571428572,490.0,440.75,Weekly,10 days - Weekly to monthly cycles
obs_wind_speed_10m,8,30182.884615384617,503.04807692307696,20.96033653846154,1.0002983940972223e-06,277.6949152542373,503.04807692307696,1029.5,533.0,Monthly,21 days - Weekly to monthly cycles
obs_wind_speed_10m,9,78475.5,1307.925,54.496874999999996,1.3054741753472222e-06,212.7792207792208,1307.925,2613.5,1883.75,Seasonal,1.8 months - Seasonal variations
obs_wind_speed_10m,10,196188.75,3269.8125,136.2421875,1.0172526041666667e-06,273.06666666666666,3269.8125,8316.5,4334.75,Seasonal,4.5 months - Seasonal variations
obs_wind_speed_10m,11,16384.0,273.06666666666666,11.377777777777778,1.0172526041666667e-06,273.06666666666666,5231.7,inf,5267.25,Monthly,11 days - Weekly to monthly cycles
obs_wind_speed_10m,12,15855.483870967744,264.2580645161291,11.010752688172046,1.0511610243055555e-06,264.2580645161291,inf,inf,inf,Monthly,11 days - Weekly to monthly cycles
obs_wind_speed_70m,1,72.19741480611046,1.2032902467685076,0.05013709361535448,0.00023084852430555556,1.2032902467685076,0.9180353758686038,2.0,inf,Hourly,1.2 hours - Intra-daily variation
obs_wind_speed_70m,2,200.41590214067278,3.34026503567788,0.13917770981991165,8.3160400390625e-05,3.34026503567788,2.384983588621444,6.0,inf,Several Hours,3.3 hours - Intra-daily variation
obs_wind_speed_70m,3,480.46920821114367,8.007820136852395,0.3336591723688498,3.4688313802083335e-05,8.007820136852395,6.320004832085045,13.0,inf,Semi-diurnal,8.0 hours - Intra-daily variation
obs_wind_speed_70m,4,1439.2972181551977,23.988286969253295,0.9995119570522206,1.1579725477430555e-05,23.988286969253295,16.462240402769037,32.0,911.75,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_70m,5,3561.739130434783,59.36231884057972,2.4734299516908216,4.679361979166666e-06,59.36231884057972,39.997706422018354,80.0,655.5,Several Days,2.5 days - Multi-day weather patterns
obs_wind_speed_70m,6,6083.372093023256,101.38953488372093,4.224563953488372,2.9500325520833333e-06,94.1609195402299,101.38953488372093,194.5,848.75,Several Days,4.2 days - Multi-day weather patterns
obs_wind_speed_70m,7,14268.272727272728,237.80454545454546,9.908522727272727,1.2715657552083333e-06,218.45333333333335,237.80454545454546,480.5,652.25,Weekly,10 days - Weekly to monthly cycles
obs_wind_speed_70m,8,33393.82978723404,556.563829787234,23.190159574468083,1.0002983940972223e-06,277.6949152542373,556.563829787234,1130.5,558.5,Monthly,23 days - Weekly to monthly cycles
obs_wind_speed_70m,9,82605.78947368421,1376.7631578947369,57.36513157894737,1.1020236545138888e-06,252.06153846153848,1376.7631578947369,2440.5,1936.0,Seasonal,1.9 months - Seasonal variations
obs_wind_speed_70m,10,263475.0,4391.25,182.96875,1.0172526041666667e-06,273.06666666666666,5231.7,5634.5,4391.25,Seasonal,6.1 months - Seasonal variations
obs_wind_speed_70m,11,313902.0,5231.7,217.98749999999998,1.0002983940972223e-06,277.6949152542373,5231.7,8783.75,inf,Seasonal,7.3 months - Seasonal variations
obs_wind_speed_70m,12,15855.483870967744,264.2580645161291,11.010752688172046,1.0511610243055555e-06,264.2580645161291,inf,inf,inf,Monthly,11 days - Weekly to monthly cycles
power,1,62.57415658816041,1.0429026098026735,0.04345427540844473,0.0002663506401909722,1.0429026098026735,0.9843644163468052,3.0,inf,Hourly,1.0 hours - Intra-daily variation
power,2,213.28704708179646,3.554784118029941,0.1481160049179142,7.814195421006945e-05,3.554784118029941,2.355136400468173,6.0,inf,Several Hours,3.6 hours - Intra-daily variation
power,3,480.2344894968246,8.00390815828041,0.33349617326168374,3.4705268012152775e-05,8.00390815828041,6.557658561042868,14.5,inf,Semi-diurnal,8.0 hours - Intra-daily variation
power,4,1439.2972181551977,23.988286969253295,0.9995119570522206,1.1579725477430555e-05,23.988286969253295,16.462240402769037,33.0,527.25,Daily,24.0 hours - Intra-daily variation
power,5,3015.4601226993864,50.25766871165644,2.094069529652352,5.527072482638889e-06,50.25766871165644,40.43044822256569,85.0,296.75,Several Days,2.1 days - Multi-day weather patterns
power,6,6687.346938775509,111.45578231292515,4.643990929705215,2.4922688802083333e-06,111.45578231292515,100.60961538461538,178.75,1021.0,Several Days,4.6 days - Multi-day weather patterns
power,7,13530.258620689656,225.5043103448276,9.396012931034482,1.2715657552083333e-06,218.45333333333335,225.5043103448276,438.0,267.0,Weekly,9 days - Weekly to monthly cycles
power,8,32030.816326530614,533.8469387755102,22.243622448979593,1.0002983940972223e-06,277.6949152542373,533.8469387755102,933.25,560.25,Monthly,22 days - Weekly to monthly cycles
power,9,87195.0,1453.25,60.552083333333336,1.0850694444444444e-06,256.0,1453.25,2329.0,1982.0,Seasonal,2.0 months - Seasonal variations
power,10,224215.7142857143,3736.9285714285716,155.70535714285714,1.0002983940972223e-06,277.6949152542373,3736.9285714285716,6891.0,3850.5,Seasonal,5.2 months - Seasonal variations
power,11,313902.0,5231.7,217.98749999999998,1.0002983940972223e-06,277.6949152542373,5231.7,8847.5,5247.5,Seasonal,7.3 months - Seasonal variations
