IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.11929606143960628,4.292809134122027e-165,0.08180916328953425,2.2035836973922788e-78
1,obs_wind_speed_10m,power,0.13052510800885322,1.658684785775806e-197,0.11296518320714781,3.880760009133368e-148
1,obs_wind_speed_70m,power,0.1168372771248123,2.141282701445273e-158,0.10634124758509832,2.0822690949898967e-131
2,obs_wind_speed_10m,obs_wind_speed_70m,0.5292835722802666,0.0,0.40787824623272034,0.0
2,obs_wind_speed_10m,power,0.32277441173759147,0.0,0.2858807171894217,0.0
2,obs_wind_speed_70m,power,0.317430777878534,0.0,0.28796430539592793,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.7629521431123498,0.0,0.7081349951850034,0.0
3,obs_wind_speed_10m,power,0.48380388164384847,0.0,0.4584845445482578,0.0
3,obs_wind_speed_70m,power,0.47848843413534253,0.0,0.4553946697995399,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,0.8514245989413449,0.0,0.8197290232158096,0.0
4,obs_wind_speed_10m,power,0.675699189994801,0.0,0.6573991526992825,0.0
4,obs_wind_speed_70m,power,0.6707613822765581,0.0,0.6566390667035713,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.8736170640613046,0.0,0.8723591521193457,0.0
5,obs_wind_speed_10m,power,0.8045652137933987,0.0,0.7935408358439191,0.0
5,obs_wind_speed_70m,power,0.7876528255828477,0.0,0.7749651632198263,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8236468461926414,0.0,0.8297225066149165,0.0
6,obs_wind_speed_10m,power,0.7846885936498907,0.0,0.8045497522759404,0.0
6,obs_wind_speed_70m,power,0.7426174696005372,0.0,0.757018813585677,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.7806107458887372,0.0,0.8275085838398445,0.0
7,obs_wind_speed_10m,power,0.7870719546978073,0.0,0.8222710672899062,0.0
7,obs_wind_speed_70m,power,0.7585639203515739,0.0,0.7480220882360612,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.7351602836116695,0.0,0.7523478012827305,0.0
8,obs_wind_speed_10m,power,0.7222868412751742,0.0,0.7720906559713102,0.0
8,obs_wind_speed_70m,power,0.5998992149297407,0.0,0.639931639134027,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.8156076119443438,0.0,0.7837824552515429,0.0
9,obs_wind_speed_10m,power,0.7029181648626381,0.0,0.7552247878604003,0.0
9,obs_wind_speed_70m,power,0.5835602270726303,0.0,0.6240899011524066,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,0.8164785172306618,0.0,0.7209179915412766,0.0
10,obs_wind_speed_10m,power,0.6335491569806205,0.0,0.5959902790675573,0.0
10,obs_wind_speed_70m,power,0.7969389762528405,0.0,0.7529587549208663,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,0.9835158320802613,0.0,0.9622397108418239,0.0
11,obs_wind_speed_10m,power,0.803088221847494,0.0,0.5907742916319733,0.0
11,obs_wind_speed_70m,power,0.8294662411880751,0.0,0.5652798132820007,0.0
