IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.11395090537576669,1.0257545956110952e-150,0.08018602727141598,2.2831113882891767e-75
1,obs_wind_speed_10m,power,0.12585853477505046,1.1330500343117353e-183,0.1037091647872195,4.787197744433428e-125
1,obs_wind_speed_70m,power,0.11648498416438685,1.8994913878851667e-157,0.10258140939295236,2.2703751495057496e-122
2,obs_wind_speed_10m,obs_wind_speed_70m,0.5259792522795526,0.0,0.40047036845235323,0.0
2,obs_wind_speed_10m,power,0.3229652131500954,0.0,0.284845051624499,0.0
2,obs_wind_speed_70m,power,0.31466261172158244,0.0,0.27959273766430426,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.752360314036844,0.0,0.6971366064527426,0.0
3,obs_wind_speed_10m,power,0.4733809714552776,0.0,0.44975203649675316,0.0
3,obs_wind_speed_70m,power,0.4697661234343864,0.0,0.4479330245774279,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,0.8428777814057318,0.0,0.8148355859002675,0.0
4,obs_wind_speed_10m,power,0.6737770354568742,0.0,0.6567828101235923,0.0
4,obs_wind_speed_70m,power,0.6682380088551658,0.0,0.6522194293735686,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.8678458206748989,0.0,0.8617641602242434,0.0
5,obs_wind_speed_10m,power,0.8078218773743419,0.0,0.7921024781528303,0.0
5,obs_wind_speed_70m,power,0.7835815721629192,0.0,0.7671780124385496,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8246814165753451,0.0,0.8302554210767339,0.0
6,obs_wind_speed_10m,power,0.7993834771651815,0.0,0.8280947958437291,0.0
6,obs_wind_speed_70m,power,0.7381347746118716,0.0,0.7497691113318092,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.7753692506039138,0.0,0.8248431717935472,0.0
7,obs_wind_speed_10m,power,0.7941246208986628,0.0,0.8280273146908107,0.0
7,obs_wind_speed_70m,power,0.7450174471673111,0.0,0.7392002193430762,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.7079321253015349,0.0,0.7330941883913804,0.0
8,obs_wind_speed_10m,power,0.7314249811222977,0.0,0.7781754041016351,0.0
8,obs_wind_speed_70m,power,0.6330243332795343,0.0,0.644466137199946,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.8415180735135872,0.0,0.8191619044352261,0.0
9,obs_wind_speed_10m,power,0.7002451459592036,0.0,0.746011204760197,0.0
9,obs_wind_speed_70m,power,0.564585897094645,0.0,0.6474724144564187,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,0.8706336464897614,0.0,0.7937549002590158,0.0
10,obs_wind_speed_10m,power,0.71254176877773,0.0,0.7027864616413239,0.0
10,obs_wind_speed_70m,power,0.7675004063149142,0.0,0.6969501666208868,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,0.9667466915860969,0.0,0.9547023088774723,0.0
11,obs_wind_speed_10m,power,0.6390252532900065,0.0,0.4044587089260991,0.0
11,obs_wind_speed_70m,power,0.7128262927800524,0.0,0.4219257628566291,0.0
12,obs_wind_speed_10m,obs_wind_speed_70m,0.7748933177719229,0.0,0.805154559434685,0.0
12,obs_wind_speed_10m,power,0.7906806777653135,0.0,0.7987101602818607,0.0
12,obs_wind_speed_70m,power,0.27020700323342395,0.0,0.3912519377801824,0.0
