Variable,IMF,Dominant_Frequency_Hz,Dominant_Period_Hours,Dominant_Period_Days,Zero_Crossing_Period_Hours,Frequency_Band,Frequency_Category,Energy_Percentage,Sampling_Frequency_Hz
obs_wind_speed_10m,1,0.00024088197377950232,1.1531696349850113,0.04804873479104214,0.8555519215044972,Medium-high-freq (1-6h),Short-term variation,0.36332028231453417,0.0011111111111111111
obs_wind_speed_10m,2,8.106564044404518e-05,3.426578464762902,0.14277410269845425,2.3085782366957903,Medium-high-freq (1-6h),Short-term variation,0.4665189030758137,0.0011111111111111111
obs_wind_speed_10m,3,2.3149475526332e-05,11.999311926605502,0.4999713302752293,6.150599576769339,Semi-diurnal (6-12h),Semi-diurnal cycle,1.108708370190189,0.0011111111111111111
obs_wind_speed_10m,4,1.1574737763166e-05,23.998623853211004,0.9999426605504586,16.2981308411215,Intra-diurnal (12-24h),Intra-daily variation,3.1648451129747457,0.0011111111111111111
obs_wind_speed_10m,5,5.521893244813137e-06,50.30480769230769,2.096033653846154,39.81506849315068,Inter-daily (1-7d),Weekly cycle,3.313873737982804,0.0011111111111111111
obs_wind_speed_10m,6,2.4423758582827337e-06,113.73260869565219,4.7388586956521745,100.60961538461538,Inter-daily (1-7d),Weekly cycle,2.8216358745694463,0.0011111111111111111
obs_wind_speed_10m,7,1.3379972093201063e-06,207.60714285714283,8.650297619047619,251.52403846153848,Monthly (7-30d),Monthly cycle,1.6515675867637212,0.0011111111111111111
obs_wind_speed_10m,8,5.309512735397248e-07,523.17,21.79875,556.563829787234,Monthly (7-30d),Monthly cycle,0.6608744559711985,0.0011111111111111111
obs_wind_speed_10m,9,1.6990440753271192e-07,1634.9062499999998,68.12109374999999,1307.925,Long-term trend (> 30d),Seasonal trend,0.45732116720224547,0.0011111111111111111
obs_wind_speed_10m,10,6.371415282476697e-08,4359.749999999999,181.65624999999997,3269.8124999999995,Long-term trend (> 30d),Seasonal trend,0.11274819751086955,0.0011111111111111111
obs_wind_speed_10m,11,4.247610188317798e-08,6539.624999999999,272.48437499999994,5231.7,Long-term trend (> 30d),Seasonal trend,0.03828184378644512,0.0011111111111111111
obs_wind_speed_10m,12,2.123805094158899e-08,13079.249999999998,544.9687499999999,inf,Long-term trend (> 30d),Seasonal trend,85.84030446765799,0.0011111111111111111
obs_wind_speed_70m,1,0.00025723527300452586,1.079858817701453,0.04499411740422721,0.8483379276795848,Medium-high-freq (1-6h),Short-term variation,0.37576510977641214,0.0011111111111111111
obs_wind_speed_70m,2,0.00010449121063261783,2.6583841463414632,0.11076600609756097,2.3389216738197423,Medium-high-freq (1-6h),Short-term variation,0.5140617583950623,0.0011111111111111111
obs_wind_speed_70m,3,3.24092657368648e-05,8.570937090432503,0.35712237876802094,6.277537796976241,Semi-diurnal (6-12h),Semi-diurnal cycle,1.2187184380994713,0.0011111111111111111
obs_wind_speed_70m,4,1.1574737763166e-05,23.998623853211004,0.9999426605504586,16.693363114231015,Intra-diurnal (12-24h),Intra-daily variation,2.7832183691806534,0.0011111111111111111
obs_wind_speed_70m,5,5.521893244813137e-06,50.30480769230769,2.096033653846154,39.87576219512195,Inter-daily (1-7d),Weekly cycle,3.6278186706932023,0.0011111111111111111
obs_wind_speed_70m,6,2.2724714507500217e-06,122.23598130841121,5.093165887850467,99.84160305343511,Inter-daily (1-7d),Weekly cycle,2.52967287512779,0.0011111111111111111
obs_wind_speed_70m,7,9.344742414299156e-07,297.25568181818176,12.385653409090907,242.20833333333337,Monthly (7-30d),Monthly cycle,1.2589198605425425,0.0011111111111111111
obs_wind_speed_70m,8,4.884751716565468e-07,568.6630434782609,23.69429347826087,581.3,Monthly (7-30d),Monthly cycle,0.6331313196082352,0.0011111111111111111
obs_wind_speed_70m,9,1.4866635659112292e-07,1868.4642857142856,77.85267857142857,1376.7631578947369,Long-term trend (> 30d),Seasonal trend,0.273376961570906,0.0011111111111111111
obs_wind_speed_70m,10,6.371415282476697e-08,4359.749999999999,181.65624999999997,5231.7,Long-term trend (> 30d),Seasonal trend,0.0857444924332416,0.0011111111111111111
obs_wind_speed_70m,11,6.371415282476697e-08,4359.749999999999,181.65624999999997,5231.7,Long-term trend (> 30d),Seasonal trend,0.05548491907186467,0.0011111111111111111
obs_wind_speed_70m,12,2.123805094158899e-08,13079.249999999998,544.9687499999999,inf,Long-term trend (> 30d),Seasonal trend,86.64408722550063,0.0011111111111111111
power,1,0.0002663676349094091,1.042836070802105,0.043451502950087706,0.8907447134538768,Medium-high-freq (1-6h),Short-term variation,0.82457135227995,0.0011111111111111111
power,2,8.442125249281623e-05,3.290377358490566,0.13709905660377358,2.2952092655962097,Medium-high-freq (1-6h),Short-term variation,1.8150486879503789,0.0011111111111111111
power,3,3.470297523855641e-05,8.004436964504285,0.3335182068543452,6.564240903387704,Semi-diurnal (6-12h),Semi-diurnal cycle,5.568891760547623,0.0011111111111111111
power,4,1.1574737763166e-05,23.998623853211004,0.9999426605504586,16.400313479623826,Intra-diurnal (12-24h),Intra-daily variation,13.98173789500837,0.0011111111111111111
power,5,4.587419003383221e-06,60.55208333333334,2.5230034722222228,40.618788819875775,Inter-daily (1-7d),Weekly cycle,23.424235874698837,0.0011111111111111111
power,6,2.2724714507500217e-06,122.23598130841121,5.093165887850467,101.38953488372093,Inter-daily (1-7d),Weekly cycle,18.247841842097962,0.0011111111111111111
power,7,8.495220376635596e-07,326.98125,13.624218749999999,221.6822033898305,Monthly (7-30d),Monthly cycle,9.881795740494784,0.0011111111111111111
power,8,5.097132225981358e-07,544.9687499999999,22.707031249999996,581.3,Monthly (7-30d),Monthly cycle,4.556748912863056,0.0011111111111111111
power,9,1.2742830564953394e-07,2179.8749999999995,90.82812499999999,1453.25,Long-term trend (> 30d),Seasonal trend,1.989538062828459,0.0011111111111111111
power,10,6.371415282476697e-08,4359.749999999999,181.65624999999997,3269.8124999999995,Long-term trend (> 30d),Seasonal trend,1.718191346809881,0.0011111111111111111
power,11,2.123805094158899e-08,13079.249999999998,544.9687499999999,inf,Long-term trend (> 30d),Seasonal trend,8.995699262210339,0.0011111111111111111
power,12,2.123805094158899e-08,13079.249999999998,544.9687499999999,inf,Long-term trend (> 30d),Seasonal trend,8.995699262210339,0.0011111111111111111
