Variable,IMF,Period_Minutes,Period_Hours,Period_Days,Dominant_Frequency_Hz,FFT_Period_Hours,Zero_Crossing_Period_Hours,Peak_Interval_Period_Hours,AutoCorr_Period_Hours,Time_Scale,Representative_Description
obs_wind_speed_10m,1,79.33228871815608,1.322204811969268,0.055091867165386166,0.00021008679991419828,1.322204811969268,0.8550485405158043,1.6927706944534333,inf,Hourly,1.3 hours - Intra-daily variation
obs_wind_speed_10m,2,199.12585638162903,3.3187642730271505,0.1382818447094646,8.36991587608022e-05,3.3187642730271505,2.309801324503311,4.495273289790306,inf,Several Hours,3.3 hours - Intra-daily variation
obs_wind_speed_10m,3,719.9587155963302,11.999311926605504,0.49997133027522933,2.3149475526332e-05,11.999311926605504,6.197228144989339,11.903277196176605,inf,Semi-diurnal,12.0 hours - Intra-daily variation
obs_wind_speed_10m,4,1439.9174311926604,23.998623853211008,0.9999426605504587,1.1574737763166e-05,23.998623853211008,16.359287054409005,32.3909541511772,671.75,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_10m,5,3018.2884615384614,50.30480769230769,2.096033653846154,5.521893244813137e-06,50.30480769230769,40.61878881987578,80.44907407407408,2112.25,Several Days,2.1 days - Multi-day weather patterns
obs_wind_speed_10m,6,6823.95652173913,113.73260869565216,4.738858695652174,2.4423758582827337e-06,113.73260869565216,98.71132075471698,194.89097744360905,677.5,Several Days,4.7 days - Multi-day weather patterns
obs_wind_speed_10m,7,12456.42857142857,207.60714285714283,8.650297619047619,1.3379972093201063e-06,207.60714285714283,229.46052631578948,468.44545454545454,663.75,Weekly,9 days - Weekly to monthly cycles
obs_wind_speed_10m,8,31390.199999999997,523.17,21.79875,5.309512735397248e-07,523.17,512.9117647058823,999.1875,1057.0,Monthly,22 days - Weekly to monthly cycles
obs_wind_speed_10m,9,98094.375,1634.90625,68.12109375,1.6990440753271192e-07,1634.90625,1307.925,2622.9444444444443,1861.5,Seasonal,2.3 months - Seasonal variations
obs_wind_speed_10m,10,261584.99999999997,4359.749999999999,181.65624999999997,6.371415282476697e-08,4359.749999999999,3736.9285714285716,7780.5,4300.0,Seasonal,6.1 months - Seasonal variations
obs_wind_speed_10m,11,392377.5,6539.625,272.484375,4.247610188317798e-08,6539.625,5231.7,9528.0,5338.75,Seasonal,9.1 months - Seasonal variations
obs_wind_speed_10m,12,784755.0,13079.25,544.96875,2.123805094158899e-08,13079.25,inf,inf,inf,Seasonal,18.2 months - Seasonal variations
obs_wind_speed_70m,1,72.8040634567214,1.2134010576120233,0.050558377400500974,0.00022892495109938773,1.2134010576120233,0.8528462441314554,1.6754532060726413,inf,Hourly,1.2 hours - Intra-daily variation
obs_wind_speed_70m,2,159.5030487804878,2.6583841463414632,0.11076600609756097,0.00010449121063261783,2.6583841463414632,2.3561970816069175,4.494243986254295,inf,Hourly,2.7 hours - Intra-daily variation
obs_wind_speed_70m,3,719.9587155963302,11.999311926605504,0.49997133027522933,2.3149475526332e-05,11.999311926605504,6.295667870036101,11.896269335759781,inf,Semi-diurnal,12.0 hours - Intra-daily variation
obs_wind_speed_70m,4,1439.9174311926604,23.998623853211008,0.9999426605504587,1.1574737763166e-05,23.998623853211008,16.482986767485823,31.56340579710145,911.75,Daily,24.0 hours - Intra-daily variation
obs_wind_speed_70m,5,3018.2884615384614,50.30480769230769,2.096033653846154,5.521893244813137e-06,50.30480769230769,41.25946372239748,79.48932926829269,794.25,Several Days,2.1 days - Multi-day weather patterns
obs_wind_speed_70m,6,7334.158878504673,122.23598130841123,5.093165887850468,2.2724714507500217e-06,122.23598130841123,102.98622047244095,204.28346456692913,848.0,Weekly,5.1 days - Multi-day weather patterns
obs_wind_speed_70m,7,17835.340909090908,297.2556818181818,12.385653409090908,9.344742414299156e-07,297.2556818181818,246.77830188679246,486.70754716981133,852.0,Monthly,12 days - Weekly to monthly cycles
obs_wind_speed_70m,8,34119.78260869565,568.6630434782608,23.694293478260864,4.884751716565468e-07,568.6630434782608,533.8469387755102,1027.6458333333333,1102.25,Monthly,24 days - Weekly to monthly cycles
obs_wind_speed_70m,9,98094.375,1634.90625,68.12109375,1.6990440753271192e-07,1634.90625,1376.7631578947369,2938.9375,1876.75,Seasonal,2.3 months - Seasonal variations
obs_wind_speed_70m,10,261584.99999999997,4359.749999999999,181.65624999999997,6.371415282476697e-08,4359.749999999999,5231.7,8483.5,4408.0,Seasonal,6.1 months - Seasonal variations
obs_wind_speed_70m,11,261584.99999999997,4359.749999999999,181.65624999999997,6.371415282476697e-08,4359.749999999999,5231.7,8868.75,9369.75,Seasonal,6.1 months - Seasonal variations
obs_wind_speed_70m,12,784755.0,13079.25,544.96875,2.123805094158899e-08,13079.25,inf,inf,inf,Seasonal,18.2 months - Seasonal variations
power,1,79.41256830601093,1.323542805100182,0.05514761687917425,0.0002098744194047824,1.323542805100182,0.8818264563106797,1.7707881906825569,inf,Hourly,1.3 hours - Intra-daily variation
power,2,197.42264150943396,3.290377358490566,0.13709905660377358,8.442125249281623e-05,3.290377358490566,2.2827908194432327,4.9216221302220555,inf,Several Hours,3.3 hours - Intra-daily variation
power,3,480.26621787025704,8.004436964504285,0.3335182068543452,3.470297523855641e-05,8.004436964504285,6.524943876278374,14.05967741935484,inf,Semi-diurnal,8.0 hours - Intra-daily variation
power,4,1439.9174311926604,23.998623853211008,0.9999426605504587,1.1574737763166e-05,23.998623853211008,16.44154619736015,33.900778210116734,746.75,Daily,24.0 hours - Intra-daily variation
power,5,3633.125,60.552083333333336,2.5230034722222223,4.587419003383221e-06,60.552083333333336,40.30585516178736,79.81901840490796,1776.0,Several Days,2.5 days - Multi-day weather patterns
power,6,7334.158878504673,122.23598130841123,5.093165887850468,2.2724714507500217e-06,122.23598130841123,99.84160305343512,188.15579710144928,1020.25,Weekly,5.1 days - Multi-day weather patterns
power,7,14268.272727272726,237.80454545454543,9.908522727272727,1.1680928017873943e-06,237.80454545454543,225.5043103448276,451.0701754385965,674.0,Weekly,10 days - Weekly to monthly cycles
power,8,32698.124999999996,544.9687499999999,22.707031249999996,5.097132225981358e-07,544.9687499999999,512.9117647058823,951.5384615384615,1021.75,Monthly,23 days - Weekly to monthly cycles
power,9,87195.0,1453.25,60.552083333333336,1.9114245847430092e-07,1453.25,1453.25,2604.222222222222,1995.0,Seasonal,2.0 months - Seasonal variations
power,10,261584.99999999997,4359.749999999999,181.65624999999997,6.371415282476697e-08,4359.749999999999,3736.9285714285716,5967.625,3934.25,Seasonal,6.1 months - Seasonal variations
power,11,392377.5,6539.625,272.484375,4.247610188317798e-08,6539.625,5231.7,9148.5,5198.5,Seasonal,9.1 months - Seasonal variations
power,12,784755.0,13079.25,544.96875,2.123805094158899e-08,13079.25,inf,inf,inf,Seasonal,18.2 months - Seasonal variations
