IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.047287124837089425,2.715824086319139e-27,0.05341112408544407,2.2826580312005305e-34
1,obs_wind_speed_10m,power,0.06980025552781607,1.6396823384724347e-57,0.08505244461133445,1.3658413219334874e-84
1,obs_wind_speed_70m,power,0.08927179994259893,4.951559838246438e-93,0.08238348106338697,1.826417354240056e-79
2,obs_wind_speed_10m,obs_wind_speed_70m,0.3852299190340257,0.0,0.29180561064690924,0.0
2,obs_wind_speed_10m,power,0.2745931367928823,0.0,0.2239980681884829,0.0
2,obs_wind_speed_70m,power,0.26516058958763866,0.0,0.22754788205656284,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.5393325998650011,0.0,0.5418570615842041,0.0
3,obs_wind_speed_10m,power,0.3475325984152377,0.0,0.3563779961579962,0.0
3,obs_wind_speed_70m,power,0.43192365640432456,0.0,0.34253678955086453,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,-0.17094504065944985,0.0,0.7159321525996523,0.0
4,obs_wind_speed_10m,power,0.4376628782466353,0.0,0.4633376350210821,0.0
4,obs_wind_speed_70m,power,-0.7249847865198629,0.0,0.4602512668734906,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.15329867520078203,1.59562548470039e-272,0.7934409472704147,0.0
5,obs_wind_speed_10m,power,0.640885002069655,0.0,0.6289908473379754,0.0
5,obs_wind_speed_70m,power,-0.40843814819206725,0.0,0.6303327497079209,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.10184169458314189,1.245013707903585e-120,0.8311261253124629,0.0
6,obs_wind_speed_10m,power,0.20069382036097483,0.0,0.6858506848559678,0.0
6,obs_wind_speed_70m,power,-0.8880066868082511,0.0,0.6471557536162466,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.2874512292922588,0.0,0.7874268177805642,0.0
7,obs_wind_speed_10m,power,0.037023667417062256,2.4310354463944528e-17,0.7612854581897585,0.0
7,obs_wind_speed_70m,power,-0.8360811803084918,0.0,0.6375416412044258,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,0.9603793173589434,0.0,0.8515693080841861,0.0
8,obs_wind_speed_10m,power,0.9177619658488279,0.0,0.7091320435818559,0.0
8,obs_wind_speed_70m,power,0.8886967851296381,0.0,0.7024455487418726,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.9695390493673277,0.0,0.8581982343400815,0.0
9,obs_wind_speed_10m,power,0.9294612545883749,0.0,0.7786755518161594,0.0
9,obs_wind_speed_70m,power,0.8932290686883517,0.0,0.7257139702955118,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,-0.9531161373626096,0.0,-0.17176851325917486,0.0
10,obs_wind_speed_10m,power,0.9390204718948865,0.0,0.6076950264193699,0.0
10,obs_wind_speed_70m,power,-0.9384225238263381,0.0,0.21705504187990723,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,-0.8548315113231275,0.0,-0.13310699742220541,2.198329907199391e-205
11,obs_wind_speed_10m,power,0.6100762850926257,0.0,0.029885208484380553,8.087979631274513e-12
11,obs_wind_speed_70m,power,-0.20676042740639844,0.0,-0.027728617631237837,2.2473465620185842e-10
12,obs_wind_speed_10m,obs_wind_speed_70m,0.5753152583886796,0.0,0.5193065872324433,0.0
12,obs_wind_speed_10m,power,-0.46670948508117993,0.0,0.053274266087705045,3.3564429174798464e-34
12,obs_wind_speed_70m,power,0.19945346675693182,0.0,0.0961397715244073,1.1781561589790056e-107
