IMF,Variable1,Variable2,Pearson_Correlation,Pearson_P_Value,Spearman_Correlation,Spearman_P_Value
1,obs_wind_speed_10m,obs_wind_speed_70m,0.08017106839225427,2.4323946800444495e-75,0.06098609844650916,2.6602260492374244e-44
1,obs_wind_speed_10m,power,0.10871192060680394,2.8160848469514347e-137,0.09369736513087333,2.497032552246249e-102
1,obs_wind_speed_70m,power,0.09662930778875795,9.703620717458903e-109,0.08375169290592666,4.511379089744582e-82
2,obs_wind_speed_10m,obs_wind_speed_70m,0.43756891348867344,0.0,0.320016941551564,0.0
2,obs_wind_speed_10m,power,0.2724371711106904,0.0,0.23812971998789392,0.0
2,obs_wind_speed_70m,power,0.2749517052584198,0.0,0.23563260446076645,0.0
3,obs_wind_speed_10m,obs_wind_speed_70m,0.6245984718300335,0.0,0.5960493240980496,0.0
3,obs_wind_speed_10m,power,0.4379296742965903,0.0,0.3843142720735487,0.0
3,obs_wind_speed_70m,power,0.39213267748843544,0.0,0.37024332263529447,0.0
4,obs_wind_speed_10m,obs_wind_speed_70m,0.3023398283592059,0.0,0.7636400132737082,0.0
4,obs_wind_speed_10m,power,0.31428697800187444,0.0,0.5181652609046254,0.0
4,obs_wind_speed_70m,power,0.5114551240843175,0.0,0.5214660715843696,0.0
5,obs_wind_speed_10m,obs_wind_speed_70m,0.4592629822151605,0.0,0.8081906584490626,0.0
5,obs_wind_speed_10m,power,0.8233383375352707,0.0,0.6817797424469502,0.0
5,obs_wind_speed_70m,power,0.6358099900280875,0.0,0.681883960692229,0.0
6,obs_wind_speed_10m,obs_wind_speed_70m,0.8851470083994388,0.0,0.8499180167194104,0.0
6,obs_wind_speed_10m,power,0.6805590381431423,0.0,0.7935495715235956,0.0
6,obs_wind_speed_70m,power,0.4880383408744377,0.0,0.72265798188166,0.0
7,obs_wind_speed_10m,obs_wind_speed_70m,0.9553925049228564,0.0,0.8088514836088222,0.0
7,obs_wind_speed_10m,power,0.5691439215221075,0.0,0.7503446283858718,0.0
7,obs_wind_speed_70m,power,0.6979409979902786,0.0,0.7484200217137357,0.0
8,obs_wind_speed_10m,obs_wind_speed_70m,-0.811575681041892,0.0,0.5252419780953823,0.0
8,obs_wind_speed_10m,power,0.26273665710634025,0.0,0.6049991678989168,0.0
8,obs_wind_speed_70m,power,-0.18484864625496336,0.0,0.4920179120344053,0.0
9,obs_wind_speed_10m,obs_wind_speed_70m,0.648698323280867,0.0,0.7165531435881649,0.0
9,obs_wind_speed_10m,power,-0.8893424978333461,0.0,0.31931062972645374,0.0
9,obs_wind_speed_70m,power,-0.5260304199708038,0.0,0.2899526302600276,0.0
10,obs_wind_speed_10m,obs_wind_speed_70m,0.13426604280777965,5.673069793223775e-209,0.18199664549444305,0.0
10,obs_wind_speed_10m,power,0.2227725988429506,0.0,0.3125362384474165,0.0
10,obs_wind_speed_70m,power,-0.8783058467139968,0.0,-0.3823165767353638,0.0
11,obs_wind_speed_10m,obs_wind_speed_70m,-0.04303602984929028,6.997756002586157e-23,0.3232586639233634,0.0
11,obs_wind_speed_10m,power,-0.5976053445836412,0.0,0.24220269696907182,0.0
11,obs_wind_speed_70m,power,-0.043265565885803714,4.142274593536576e-23,0.03939926737123194,1.9679207003708284e-19
