target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_density_10m,Air Density (10m),obs_temperature_10m,0.9723648303329138,-0.9723648303329138,0.0,***
obs_density_10m,Air Density (10m),obs_humidity_10m,0.40387791504656667,0.40387791504656667,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_10m,0.2554934471999647,-0.2554934471999647,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_50m,0.20983304664793337,-0.20983304664793337,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_70m,0.1804732582035842,-0.1804732582035842,0.0,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_70m,0.16064996142968713,-0.16064996142968713,2.0030758439666695e-299,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_30m,0.14562238036519387,-0.14562238036519387,7.728121035224028e-246,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_50m,0.1236560940358792,-0.1236560940358792,2.5317863770330604e-177,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_30m,0.05154464513733833,-0.05154464513733833,4.0293837944621707e-32,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_10m,0.05121411936874831,-0.05121411936874831,9.882172696431293e-32,***
obs_density_10m,Air Density (10m),obs_wind_speed_30m,0.02382656856077596,-0.02382656856077596,5.023602863695093e-08,***
obs_density_10m,Air Density (10m),obs_wind_speed_50m,0.02334537790109514,-0.02334537790109514,9.275841182085697e-08,***
obs_density_10m,Air Density (10m),obs_wind_speed_70m,0.013686272479236367,0.013686272479236367,0.001744967836465691,**
obs_density_10m,Air Density (10m),obs_wind_speed_10m,0.012167272769714743,-0.012167272769714743,0.005385119859096979,**
