target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_50m,0.8617343249749211,0.8617343249749211,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_30m,0.858954604524127,0.858954604524127,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_70m,0.8537605557578724,0.8537605557578724,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_30m,0.28036955196532726,0.28036955196532726,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_30m,0.23941170932831682,0.23941170932831682,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_70m,0.1931801506617455,0.1931801506617455,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_50m,0.16515858616913404,0.16515858616913404,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_50m,0.0443756914244741,-0.0443756914244741,3.1554876498225243e-24,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_10m,0.040334134442857585,0.040334134442857585,2.7285135028265396e-20,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_10m,0.028040830786385976,-0.028040830786385976,1.40950531877296e-10,***
obs_wind_speed_10m,Wind Speed (10m),obs_density_10m,0.024606850035440175,0.024606850035440175,1.8123600467488365e-08,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_70m,0.023238123588759325,-0.023238123588759325,1.0617468896947814e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_temperature_10m,0.022907030444082266,0.022907030444082266,1.6051854703204173e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_humidity_10m,0.010942745444243989,-0.010942745444243989,0.01231666253774547,*
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_50m,0.9800673485151681,0.9800673485151681,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_70m,0.9647686904497813,0.9647686904497813,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_speed_10m,0.858954604524127,0.858954604524127,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_30m,0.1705382180006269,0.1705382180006269,0.0,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_30m,0.15691316081206108,0.15691316081206108,1.3843748797506059e-285,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_50m,0.12004401363010206,-0.12004401363010206,3.688651540116098e-167,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_70m,0.10587086973964936,-0.10587086973964936,2.933103281438509e-130,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_70m,0.1035686645460201,0.1035686645460201,1.0353671600437453e-124,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_cos_10m,0.06146090360756496,-0.06146090360756496,5.736442441486723e-45,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_50m,0.055162107178125995,0.055162107178125995,1.5085629789829983e-36,***
obs_wind_speed_30m,Wind Speed (30m),obs_wind_dir_sin_10m,0.050161061680857946,0.050161061680857946,1.658061631287064e-30,***
obs_wind_speed_30m,Wind Speed (30m),obs_temperature_10m,0.023211825058927705,0.023211825058927705,1.0974061831727458e-07,***
obs_wind_speed_30m,Wind Speed (30m),obs_humidity_10m,0.021763823566391255,-0.021763823566391255,6.408212277847446e-07,***
obs_wind_speed_30m,Wind Speed (30m),obs_density_10m,0.01499831800027668,0.01499831800027668,0.0006021087367916129,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_70m,0.9811258726290455,0.9811258726290455,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_30m,0.9800673485151681,0.9800673485151681,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_speed_10m,0.8617343249749211,0.8617343249749211,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_30m,0.19146959685473633,0.19146959685473633,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_50m,0.16389108165939092,-0.16389108165939092,0.0,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_30m,0.15587323491164998,0.15587323491164998,8.54913210306994e-282,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_70m,0.1479214444094063,-0.1479214444094063,1.1113487858659385e-253,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_70m,0.12613317179620884,0.12613317179620884,1.7965348943148802e-184,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_cos_10m,0.08168223918140284,-0.08168223918140284,3.811697942143758e-78,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_50m,0.06546242837811807,0.06546242837811807,8.680125257284819e-51,***
obs_wind_speed_50m,Wind Speed (50m),obs_wind_dir_sin_10m,0.05803639523272412,0.05803639523272412,2.810005100469721e-40,***
obs_wind_speed_50m,Wind Speed (50m),obs_temperature_10m,0.025196386757013498,0.025196386757013498,8.218038879135097e-09,***
obs_wind_speed_50m,Wind Speed (50m),obs_density_10m,0.016685934078966246,0.016685934078966246,0.00013523029483186432,***
obs_wind_speed_50m,Wind Speed (50m),obs_humidity_10m,0.013326711750116509,-0.013326711750116509,0.00230163585971766,**
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_50m,0.9811258726290455,0.9811258726290455,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_30m,0.9647686904497813,0.9647686904497813,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_speed_10m,0.8537605557578724,0.8537605557578724,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_70m,0.17261020354040296,-0.17261020354040296,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_50m,0.16971706524730992,-0.16971706524730992,0.0,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_30m,0.1509048345354961,0.1509048345354961,4.767021328804996e-264,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_30m,0.10524259439305537,0.10524259439305537,9.854848354687222e-129,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_cos_10m,0.0897654606846135,-0.0897654606846135,4.78854669940427e-94,***
obs_wind_speed_70m,Wind Speed (70m),obs_wind_dir_sin_70m,0.07490427700038325,0.07490427700038325,5.621687630153468e-66,***
