target_variable,target_variable_name,correlated_variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_50m,0.8617343249749211,0.8617343249749211,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_30m,0.858954604524127,0.858954604524127,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_speed_70m,0.8537605557578724,0.8537605557578724,0.0,***
obs_wind_speed_10m,Wind Speed (10m),power,0.8283619394727687,0.8283619394727687,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_30m,0.28036955196532726,0.28036955196532726,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_30m,0.23941170932831682,0.23941170932831682,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_70m,0.1931801506617455,0.1931801506617455,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_50m,0.16515858616913404,0.16515858616913404,0.0,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_50m,0.0443756914244741,-0.0443756914244741,3.1554876498225243e-24,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_sin_10m,0.040334134442857585,0.040334134442857585,2.7285135028265396e-20,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_10m,0.028040830786385976,-0.028040830786385976,1.40950531877296e-10,***
obs_wind_speed_10m,Wind Speed (10m),obs_density_10m,0.024606850035440175,0.024606850035440175,1.8123600467488365e-08,***
obs_wind_speed_10m,Wind Speed (10m),obs_wind_dir_cos_70m,0.023238123588759325,-0.023238123588759325,1.0617468896947814e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_temperature_10m,0.022907030444082266,0.022907030444082266,1.6051854703204173e-07,***
obs_wind_speed_10m,Wind Speed (10m),obs_humidity_10m,0.010942745444243989,-0.010942745444243989,0.01231666253774547,*
obs_temperature_10m,Temperature (10m),obs_humidity_10m,0.4780641159400777,-0.4780641159400777,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_10m,0.25413167850793855,0.25413167850793855,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_50m,0.2500991867922935,0.2500991867922935,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_70m,0.20369421545371263,0.20369421545371263,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_70m,0.18062592807102248,0.18062592807102248,0.0,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_30m,0.1724668301691855,0.1724668301691855,0.0,***
obs_temperature_10m,Temperature (10m),obs_density_10m,0.13905495074670918,0.13905495074670918,3.857181334453552e-224,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_50m,0.11638923552777795,0.11638923552777795,3.4337954685118905e-157,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_sin_30m,0.07906460988387093,0.07906460988387093,2.5486191975249437e-73,***
obs_temperature_10m,Temperature (10m),obs_wind_dir_cos_10m,0.06552663560947732,0.06552663560947732,6.952631338764721e-51,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_50m,0.025196386757013498,0.025196386757013498,8.218038879135036e-09,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_30m,0.023211825058927705,0.023211825058927705,1.0974061831727458e-07,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_10m,0.022907030444082266,0.022907030444082266,1.6051854703204173e-07,***
obs_temperature_10m,Temperature (10m),power,0.019871159441387332,0.019871159441387332,5.481735190772572e-06,***
obs_temperature_10m,Temperature (10m),obs_wind_speed_70m,0.01144712091625627,-0.01144712091625627,0.00883657478218622,**
obs_humidity_10m,Humidity (10m),obs_temperature_10m,0.4780641159400777,-0.4780641159400777,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_50m,0.20646783243391273,-0.20646783243391273,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_70m,0.19875726471122815,-0.19875726471122815,0.0,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_10m,0.1379373773574508,-0.1379373773574508,1.4967585006766082e-220,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_10m,0.12618095527245,-0.12618095527245,1.3034505011383137e-184,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_30m,0.0985412155485255,-0.0985412155485255,4.9970744748086774e-113,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_sin_30m,0.0740267342267318,-0.0740267342267318,1.7697535916884665e-64,***
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_70m,0.06384707315918452,-0.06384707315918452,2.148524240478329e-48,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_30m,0.021763823566391255,-0.021763823566391255,6.408212277847468e-07,***
obs_humidity_10m,Humidity (10m),obs_density_10m,0.020730949470286003,0.020730949470286003,2.1144353569402506e-06,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_70m,0.017821885113880317,0.017821885113880317,4.569703624382597e-05,***
obs_humidity_10m,Humidity (10m),obs_wind_speed_50m,0.013326711750116509,-0.013326711750116509,0.0023016358597176645,**
obs_humidity_10m,Humidity (10m),obs_wind_speed_10m,0.010942745444243989,-0.010942745444243989,0.01231666253774547,*
obs_humidity_10m,Humidity (10m),power,0.003515545618460323,-0.003515545618460323,0.42134450967701553,ns
obs_humidity_10m,Humidity (10m),obs_wind_dir_cos_50m,0.00019982333742838614,-0.00019982333742838614,0.963545920528124,ns
obs_density_10m,Air Density (10m),obs_temperature_10m,0.13905495074670918,0.13905495074670918,3.85718133445421e-224,***
obs_density_10m,Air Density (10m),power,0.09566063210090887,0.09566063210090887,1.3397808551905183e-106,***
obs_density_10m,Air Density (10m),obs_wind_dir_sin_10m,0.07666131417743373,-0.07666131417743373,4.978864045693561e-69,***
obs_density_10m,Air Density (10m),obs_wind_speed_10m,0.024606850035440175,0.024606850035440175,1.812360046748823e-08,***
obs_density_10m,Air Density (10m),obs_humidity_10m,0.020730949470286003,0.020730949470286003,2.1144353569402506e-06,***
obs_density_10m,Air Density (10m),obs_wind_speed_50m,0.016685934078966246,0.016685934078966246,0.00013523029483186432,***
obs_density_10m,Air Density (10m),obs_wind_speed_30m,0.01499831800027668,0.01499831800027668,0.0006021087367916129,***
obs_density_10m,Air Density (10m),obs_wind_dir_cos_70m,0.010148722826381464,0.010148722826381464,0.02026998287712308,*
obs_density_10m,Air Density (10m),obs_wind_dir_cos_50m,0.010147065883315457,0.010147065883315457,0.02029043258690134,*
