,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,1.0,0.8728171515677917,0.8736295840202326,0.8590265198419899,0.02109151667493973,-0.006724278585075541,-0.007401856315848085,0.7963071273024116,0.04604289706210513,-0.03538753524746066,0.20886346440018397,0.2233692089984315,0.16095686281026378,-0.05509034184470617,0.1832840051242649,-0.04628777756905762
obs_wind_speed_30m,0.8728171515677917,1.0,0.979823792180315,0.961393019811402,0.03712955222293526,-0.011793707073409047,-0.03299697141117427,0.7431846663341157,0.05347162913937283,-0.057857129297407224,0.16227167158340336,0.12151104788154432,0.07374459863821138,-0.12443996723530684,0.11059578856649108,-0.1195526657207881
obs_wind_speed_50m,0.8736295840202326,0.979823792180315,1.0,0.9773622356829932,0.033441299858748566,-0.009005202311372244,-0.02765949797589122,0.7566851562425683,0.06001027323895781,-0.08125790874915857,0.17328992623962028,0.0945128314489339,0.07750000201251739,-0.1611007896092738,0.12369706831121445,-0.15616548410945394
obs_wind_speed_70m,0.8590265198419899,0.961393019811402,0.9773622356829932,1.0,-0.016372466473923413,0.028467397806259433,0.022824362128174562,0.7635819735094667,0.05146200988173486,-0.09658511636554726,0.1432865175090064,0.07903194837581468,0.03401668722799568,-0.19859796270890132,0.08852310964989595,-0.19484169119301245
obs_temperature_10m,0.02109151667493973,0.03712955222293526,0.033441299858748566,-0.016372466473923413,1.0,-0.45461916027709137,-0.9774692443602085,-0.037087767808155876,0.2788197230636911,0.06170082692968917,0.05283953376915659,0.1329292947181038,0.17980304429615868,0.20026957902927303,0.13221961891659312,0.20677515200427254
obs_humidity_10m,-0.006724278585075541,-0.011793707073409047,-0.009005202311372244,0.028467397806259433,-0.45461916027709137,1.0,0.400319551505906,0.00889522742316471,-0.07685492469627449,-0.08144078225727866,-0.04191908810620392,-0.056887193510597144,-0.14874675661116565,-0.05013248388601425,-0.1388134410212907,-0.05754474215492517
obs_density_10m,-0.007401856315848085,-0.03299697141117427,-0.02765949797589122,0.022824362128174562,-0.9774692443602085,0.400319551505906,1.0,0.05432980819730634,-0.27640481651988136,-0.042098540177393014,-0.02487903449499258,-0.09551688517240843,-0.14051070907858754,-0.1936039210350737,-0.09336027176135639,-0.1978752650742324
power,0.7963071273024116,0.7431846663341157,0.7566851562425683,0.7635819735094667,-0.037087767808155876,0.00889522742316471,0.05432980819730634,1.0,0.03196951103004126,-0.07110488588430333,0.15841209902876932,0.14567418179643468,0.09598542797190142,-0.09713334541718799,0.1266807202415577,-0.09117548137448932
obs_wind_dir_sin_10m,0.04604289706210513,0.05347162913937283,0.06001027323895781,0.05146200988173486,0.2788197230636911,-0.07685492469627449,-0.27640481651988136,0.03196951103004126,1.0,0.00046057141406905363,0.11427781181160677,0.11271481310703457,0.148650061903843,0.03178853048491773,0.14397796794041598,0.03955246361358309
obs_wind_dir_cos_10m,-0.03538753524746066,-0.057857129297407224,-0.08125790874915857,-0.09658511636554726,0.06170082692968917,-0.08144078225727866,-0.042098540177393014,-0.07110488588430333,0.00046057141406905363,1.0,0.004278638342520712,0.261386291707238,0.123781512049496,0.4498412604895482,0.015026692552374425,0.45077989021345727
obs_wind_dir_sin_30m,0.20886346440018397,0.16227167158340336,0.17328992623962028,0.1432865175090064,0.05283953376915659,-0.04191908810620392,-0.02487903449499258,0.15841209902876932,0.11427781181160677,0.004278638342520712,1.0,0.43884728780475557,0.5977177932701334,-0.04318420539553608,0.6250691281365885,-0.013585891768890473
obs_wind_dir_cos_30m,0.2233692089984315,0.12151104788154432,0.0945128314489339,0.07903194837581468,0.1329292947181038,-0.056887193510597144,-0.09551688517240843,0.14567418179643468,0.11271481310703457,0.261386291707238,0.43884728780475557,1.0,0.5064712898495217,0.5039661715224896,0.39875872277516833,0.5259567289344624
obs_wind_dir_sin_50m,0.16095686281026378,0.07374459863821138,0.07750000201251739,0.03401668722799568,0.17980304429615868,-0.14874675661116565,-0.14051070907858754,0.09598542797190142,0.148650061903843,0.123781512049496,0.5977177932701334,0.5064712898495217,1.0,0.22537209782093928,0.9699121760191078,0.27540569437710344
obs_wind_dir_cos_50m,-0.05509034184470617,-0.12443996723530684,-0.1611007896092738,-0.19859796270890132,0.20026957902927303,-0.05013248388601425,-0.1936039210350737,-0.09713334541718799,0.03178853048491773,0.4498412604895482,-0.04318420539553608,0.5039661715224896,0.22537209782093928,1.0,-0.01728134108471258,0.9984996280104196
obs_wind_dir_sin_70m,0.1832840051242649,0.11059578856649108,0.12369706831121445,0.08852310964989595,0.13221961891659312,-0.1388134410212907,-0.09336027176135639,0.1266807202415577,0.14397796794041598,0.015026692552374425,0.6250691281365885,0.39875872277516833,0.9699121760191078,-0.01728134108471258,1.0,0.034443950914850585
obs_wind_dir_cos_70m,-0.04628777756905762,-0.1195526657207881,-0.15616548410945394,-0.19484169119301245,0.20677515200427254,-0.05754474215492517,-0.1978752650742324,-0.09117548137448932,0.03955246361358309,0.45077989021345727,-0.013585891768890473,0.5259567289344624,0.27540569437710344,0.9984996280104196,0.034443950914850585,1.0
