,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,0.0,0.0,0.0,0.0,1.4023881997898618e-06,0.1240440159250188,0.09045496240408393,0.0,5.852474436957328e-26,5.656237347723894e-16,0.0,0.0,1.4120540990746699e-300,1.8590032027754204e-36,0.0,3.2186676244458535e-26
obs_wind_speed_30m,0.0,0.0,0.0,0.0,1.973625679997873e-17,0.006984270425208539,4.377963135277694e-14,0.0,1.924332981452351e-34,4.862334040306921e-40,1.545255516043216e-305,2.9946965007838843e-171,5.318362473569395e-64,1.4351754657731484e-179,4.917140025470011e-142,8.423326903072958e-166
obs_wind_speed_50m,0.0,0.0,0.0,0.0,1.9949163624263098e-14,0.03942298794752024,2.490175626268035e-10,0.0,5.998972951971493e-43,2.3662216263470602e-77,0.0,4.310891825909273e-104,1.640125982603521e-70,4.0632775577608406e-301,1.9335685132588173e-177,7.401244817138652e-283
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.00018037869216754526,7.391692717905399e-11,1.7781437164987743e-07,0.0,5.045213224166885e-32,1.2163047844288248e-108,5.3067883173393934e-238,2.9208669349903964e-73,7.1008323980247974e-15,0.0,1.6695637112738217e-91,0.0
obs_temperature_10m,1.4023881997898618e-06,1.973625679997873e-17,1.9949163624263098e-14,0.00018037869216754526,0.0,0.0,0.0,2.142982616390059e-17,0.0,2.6303094294289867e-45,1.1348079207699916e-33,7.751689819802967e-205,0.0,0.0,1.1683657808125993e-202,0.0
obs_humidity_10m,0.1240440159250188,0.006984270425208539,0.03942298794752024,7.391692717905399e-11,0.0,0.0,0.0,0.04189224766355447,2.2719195921973289e-69,1.0785344235689839e-77,8.630835514949903e-22,9.174729024804601e-39,1.5827780621600477e-256,1.788489779078727e-30,2.314080266747599e-223,1.2591242931328874e-39
obs_density_10m,0.09045496240408393,4.377963135277694e-14,2.490175626268035e-10,1.7781437164987743e-07,0.0,0.0,0.0,1.6727802583404057e-35,0.0,5.789697249044262e-22,1.2607283070040826e-08,2.771729194384907e-106,7.35021600794269e-229,0.0,1.3231914145694186e-101,0.0
power,0.0,0.0,0.0,0.0,2.142982616390059e-17,0.04189224766355447,1.6727802583404057e-35,0.0,2.592046074496757e-13,1.2824797303919823e-59,4.2745466171742376e-291,5.161620334899655e-246,2.581655898344944e-107,7.32329201906954e-110,4.513100874855523e-186,5.639618309751191e-97
obs_wind_dir_sin_10m,5.852474436957328e-26,1.924332981452351e-34,5.998972951971493e-43,5.045213224166885e-32,0.0,2.2719195921973289e-69,0.0,2.592046074496757e-13,0.0,0.916103189539149,1.4159655874961015e-151,1.7379579265330076e-147,3.4179544779440074e-256,3.5256553731023377e-13,2.6228565189073245e-240,1.4280573009830254e-19
obs_wind_dir_cos_10m,5.656237347723894e-16,4.862334040306921e-40,2.3662216263470602e-77,1.2163047844288248e-108,2.6303094294289867e-45,1.0785344235689839e-77,5.789697249044262e-22,1.2824797303919823e-59,0.916103189539149,0.0,0.3277627405681187,0.0,1.1090975708155957e-177,0.0,0.0005878618146162454,0.0
obs_wind_dir_sin_30m,0.0,1.545255516043216e-305,0.0,5.3067883173393934e-238,1.1348079207699916e-33,8.630835514949903e-22,1.2607283070040826e-08,4.2745466171742376e-291,1.4159655874961015e-151,0.3277627405681187,0.0,0.0,0.0,4.989902193541836e-23,0.0,0.001886400180988506
obs_wind_dir_cos_30m,0.0,2.9946965007838843e-171,4.310891825909273e-104,2.9208669349903964e-73,7.751689819802967e-205,9.174729024804601e-39,2.771729194384907e-106,5.161620334899655e-246,1.7379579265330076e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_sin_50m,1.4120540990746699e-300,5.318362473569395e-64,1.640125982603521e-70,7.1008323980247974e-15,0.0,1.5827780621600477e-256,7.35021600794269e-229,2.581655898344944e-107,3.4179544779440074e-256,1.1090975708155957e-177,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_cos_50m,1.8590032027754204e-36,1.4351754657731484e-179,4.0632775577608406e-301,0.0,0.0,1.788489779078727e-30,0.0,7.32329201906954e-110,3.5256553731023377e-13,0.0,4.989902193541836e-23,0.0,0.0,0.0,7.719477803731503e-05,0.0
obs_wind_dir_sin_70m,0.0,4.917140025470011e-142,1.9335685132588173e-177,1.6695637112738217e-91,1.1683657808125993e-202,2.314080266747599e-223,1.3231914145694186e-101,4.513100874855523e-186,2.6228565189073245e-240,0.0005878618146162454,0.0,0.0,0.0,7.719477803731503e-05,0.0,3.261161578504748e-15
obs_wind_dir_cos_70m,3.2186676244458535e-26,8.423326903072958e-166,7.401244817138652e-283,0.0,0.0,1.2591242931328874e-39,0.0,5.639618309751191e-97,1.4280573009830254e-19,0.0,0.001886400180988506,0.0,0.0,0.0,3.261161578504748e-15,0.0
