variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_speed_10m,0.8283619584694639,0.8283619584694639,0.0,***
obs_wind_speed_50m,0.7889036719293693,0.7889036719293693,0.0,***
obs_wind_speed_70m,0.7885444412020086,0.7885444412020086,0.0,***
obs_wind_speed_30m,0.78106396634303,0.78106396634303,0.0,***
obs_wind_dir_cos_30m,0.2045253652975105,0.2045253652975105,0.0,***
obs_wind_dir_sin_30m,0.18816550746316688,0.18816550746316688,0.0,***
obs_wind_dir_sin_70m,0.13504571337566215,0.13504571337566215,2.098633605289035e-211,***
obs_wind_dir_sin_50m,0.1047987275902926,0.1047987275902926,1.1651802174535676e-127,***
obs_wind_dir_cos_10m,0.057212618126618764,-0.057212618126618764,3.443164965530271e-39,***
obs_wind_dir_cos_50m,0.05529135631529,-0.05529135631529,1.0348726345414915e-36,***
obs_wind_dir_cos_70m,0.050100075200890805,-0.050100075200890805,1.9487592022722172e-30,***
obs_wind_dir_sin_10m,0.03628164797507286,0.03628164797507286,1.0306223984353488e-16,***
obs_temperature_10m,0.019871144233692347,0.019871144233692347,5.481825750959966e-06,***
obs_density_10m,0.0050369312256835115,-0.0050369312256835115,0.2492912770532685,ns
obs_humidity_10m,0.0035155244615128734,-0.0035155244615128734,0.4213473042136314,ns
