,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,1.0,0.858954604524127,0.8617343249749211,0.8537605557578724,0.022907030444082266,-0.010942745444243989,0.024606850035440175,0.8283619394727687,0.040334134442857585,-0.028040830786385976,0.23941170932831682,0.28036955196532726,0.16515858616913404,-0.0443756914244741,0.1931801506617455,-0.023238123588759325
obs_wind_speed_30m,0.858954604524127,1.0,0.9800673485151681,0.9647686904497813,0.023211825058927705,-0.021763823566391255,0.01499831800027668,0.78106396634303,0.050161061680857946,-0.06146090360756496,0.1705382180006269,0.15691316081206108,0.055162107178125995,-0.12004401363010206,0.1035686645460201,-0.10587086973964936
obs_wind_speed_50m,0.8617343249749211,0.9800673485151681,1.0,0.9811258726290455,0.025196386757013498,-0.013326711750116509,0.016685934078966246,0.7889035088346157,0.05803639523272412,-0.08168223918140284,0.19146959685473633,0.15587323491164998,0.06546242837811807,-0.16389108165939092,0.12613317179620884,-0.1479214444094063
obs_wind_speed_70m,0.8537605557578724,0.9647686904497813,0.9811258726290455,1.0,-0.01144712091625627,0.017821885113880317,0.00821401383926575,0.7885444412020086,0.05143595566164101,-0.0897654606846135,0.1509048345354961,0.10524259439305537,0.010617922990572754,-0.16971706524730992,0.07490427700038325,-0.17261020354040296
obs_temperature_10m,0.022907030444082266,0.023211825058927705,0.025196386757013498,-0.01144712091625627,1.0,-0.4780641159400777,0.13905495074670918,0.019871159441387332,0.25413167850793855,0.06552663560947732,0.07906460988387093,0.1724668301691855,0.2500991867922935,0.11638923552777795,0.20369421545371263,0.18062592807102248
obs_humidity_10m,-0.010942745444243989,-0.021763823566391255,-0.013326711750116509,0.017821885113880317,-0.4780641159400777,1.0,0.020730949470286003,-0.003515545618460323,-0.1379373773574508,-0.12618095527245,-0.0740267342267318,-0.0985412155485255,-0.20646783243391273,-0.00019982333742838614,-0.19875726471122815,-0.06384707315918452
obs_density_10m,0.024606850035440175,0.01499831800027668,0.016685934078966246,0.00821401383926575,0.13905495074670918,0.020730949470286003,1.0,0.09566063210090887,-0.07666131417743373,0.005596242292599163,-0.010123860060197524,-0.00644655304847399,-0.0033753802638201214,0.010147065883315457,-0.007731851670759809,0.010148722826381464
power,0.8283619394727687,0.78106396634303,0.7889035088346157,0.7885444412020086,0.019871159441387332,-0.003515545618460323,0.09566063210090887,1.0,0.03628164797507286,-0.057212618126618764,0.18816550746316688,0.2045253652975105,0.10479872773375905,-0.055291356298567296,0.13504571337566215,-0.050100075200890805
obs_wind_dir_sin_10m,0.040334134442857585,0.050161061680857946,0.05803639523272412,0.05143595566164101,0.25413167850793855,-0.1379373773574508,-0.07666131417743373,0.03628164797507286,1.0,0.0704734393276091,0.07951415737793811,0.07807260184397968,0.11198243765877398,-0.004533771518203614,0.1112327904604139,0.023118330621301333
obs_wind_dir_cos_10m,-0.028040830786385976,-0.06146090360756496,-0.08168223918140284,-0.0897654606846135,0.06552663560947732,-0.12618095527245,0.005596242292599163,-0.057212618126618764,0.0704734393276091,1.0,0.01800414105972495,0.2461699700588314,0.1373612078542071,0.4030175876239274,0.01494992213062666,0.4153793564695314
obs_wind_dir_sin_30m,0.23941170932831682,0.1705382180006269,0.19146959685473633,0.1509048345354961,0.07906460988387093,-0.0740267342267318,-0.010123860060197524,0.18816550746316688,0.07951415737793811,0.01800414105972495,1.0,0.5082283977718882,0.6133768951740691,-0.10325313125570548,0.6611308457332489,-0.014206806071157794
obs_wind_dir_cos_30m,0.28036955196532726,0.15691316081206108,0.15587323491164998,0.10524259439305537,0.1724668301691855,-0.0985412155485255,-0.00644655304847399,0.2045253652975105,0.07807260184397968,0.2461699700588314,0.5082283977718882,1.0,0.5803086224732905,0.4284673703183026,0.46613640742386425,0.5092547017905373
obs_wind_dir_sin_50m,0.16515858616913404,0.055162107178125995,0.06546242837811807,0.010617922990572754,0.2500991867922935,-0.20646783243391273,-0.0033753802638201214,0.10479872773375905,0.11198243765877398,0.1373612078542071,0.6133768951740691,0.5803086224732905,1.0,0.16940528809859431,0.9534443814509728,0.3090235368543579
obs_wind_dir_cos_50m,-0.0443756914244741,-0.12004401363010206,-0.16389108165939092,-0.16971706524730992,0.11638923552777795,-0.00019982333742838614,0.010147065883315457,-0.055291356298567296,-0.004533771518203614,0.4030175876239274,-0.10325313125570548,0.4284673703183026,0.16940528809859431,1.0,-0.1289714968080387,0.9644226354386203
obs_wind_dir_sin_70m,0.1931801506617455,0.1035686645460201,0.12613317179620884,0.07490427700038325,0.20369421545371263,-0.19875726471122815,-0.007731851670759809,0.13504571337566215,0.1112327904604139,0.01494992213062666,0.6611308457332489,0.46613640742386425,0.9534443814509728,-0.1289714968080387,1.0,0.01829775031401556
obs_wind_dir_cos_70m,-0.023238123588759325,-0.10587086973964936,-0.1479214444094063,-0.17261020354040296,0.18062592807102248,-0.06384707315918452,0.010148722826381464,-0.050100075200890805,0.023118330621301333,0.4153793564695314,-0.014206806071157794,0.5092547017905373,0.3090235368543579,0.9644226354386203,0.01829775031401556,1.0
