,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,0.0,0.0,0.0,0.0,1.6051854703204173e-07,0.01231666253774547,1.812360046748823e-08,0.0,2.7285135028265396e-20,1.40950531877296e-10,0.0,0.0,0.0,3.1554876498225695e-24,0.0,1.0617468896947776e-07
obs_wind_speed_30m,0.0,0.0,0.0,0.0,1.0974061831727458e-07,6.408212277847468e-07,0.0006021087367916129,0.0,1.658061631287064e-30,5.736442441486723e-45,0.0,1.3843748797506059e-285,1.5085629789829983e-36,3.688651540116518e-167,1.0353671600437453e-124,2.933103281438509e-130
obs_wind_speed_50m,0.0,0.0,0.0,0.0,8.218038879135036e-09,0.0023016358597176645,0.00013523029483186432,0.0,2.810005100469801e-40,3.811697942143976e-78,0.0,8.549132103070916e-282,8.680125257284819e-51,0.0,1.7965348943148802e-184,1.1113487858659385e-253
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.00883657478218622,4.569703624382597e-05,0.06027579949873654,0.0,5.415426867130108e-32,4.78854669940468e-94,4.76702132880825e-264,9.854848354687222e-129,0.015155640778557442,0.0,5.621687630153468e-66,0.0
obs_temperature_10m,1.6051854703204173e-07,1.0974061831727458e-07,8.218038879135097e-09,0.00883657478218622,0.0,0.0,3.85718133445421e-224,5.481735190772572e-06,0.0,6.952631338764721e-51,2.548619197525234e-73,0.0,0.0,3.4337954685118905e-157,0.0,0.0
obs_humidity_10m,0.01231666253774547,6.408212277847446e-07,0.00230163585971766,4.569703624382597e-05,0.0,0.0,2.1144353569402506e-06,0.42134450967701553,1.4967585006766082e-220,1.3034505011383137e-184,1.7697535916883656e-64,4.9970744748086774e-113,0.0,0.963545920528124,0.0,2.148524240478329e-48
obs_density_10m,1.8123600467488365e-08,0.0006021087367916129,0.00013523029483186432,0.06027579949873654,3.857181334453552e-224,2.1144353569402506e-06,0.0,1.3397808551905183e-106,4.978864045693561e-69,0.2005441206989668,0.02057873175227991,0.14034853810893433,0.4400958104072449,0.020290432586901372,0.0769800864685044,0.02026998287712308
power,0.0,0.0,0.0,0.0,5.481735190772572e-06,0.42134450967701553,1.3397808551905183e-106,0.0,1.0306223984353488e-16,3.443164965530271e-39,0.0,0.0,1.1651792892011427e-127,1.0348726850626685e-36,2.098633605289035e-211,1.948759202272161e-30
obs_wind_dir_sin_10m,2.7285135028265396e-20,1.658061631287064e-30,2.810005100469721e-40,5.415426867130108e-32,0.0,1.4967585006766082e-220,4.978864045693561e-69,1.0306223984353488e-16,0.0,1.3570312930812758e-58,3.88052220705504e-74,1.561622740091057e-71,1.3683670335145102e-145,0.29974237304041074,1.1587687698702848e-143,1.23380615317169e-07
obs_wind_dir_cos_10m,1.40950531877296e-10,5.736442441486723e-45,3.811697942143758e-78,4.78854669940427e-94,6.952631338764721e-51,1.3034505011383137e-184,0.2005441206989668,3.443164965530271e-39,1.3570312930812758e-58,0.0,3.816671684789967e-05,0.0,1.0320103249474324e-218,0.0,0.0006271521928614575,0.0
obs_wind_dir_sin_30m,0.0,0.0,0.0,4.767021328804996e-264,2.5486191975249437e-73,1.7697535916884665e-64,0.02057873175227991,0.0,3.88052220705504e-74,3.816671684789967e-05,0.0,0.0,0.0,5.8314457828598396e-124,0.0,0.0011556895432071035
obs_wind_dir_cos_30m,0.0,1.3843748797506059e-285,8.54913210306994e-282,9.854848354687222e-129,0.0,4.9970744748086774e-113,0.14034853810893433,0.0,1.561622740091057e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_sin_50m,0.0,1.5085629789829983e-36,8.680125257284819e-51,0.01515564077855743,0.0,0.0,0.4400958104072449,1.1651792892011427e-127,1.3683670335145102e-145,1.0320103249474324e-218,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_cos_50m,3.1554876498225243e-24,3.688651540116098e-167,0.0,0.0,3.4337954685118905e-157,0.963545920528124,0.02029043258690134,1.0348726850626685e-36,0.29974237304041074,0.0,5.8314457828598396e-124,0.0,0.0,0.0,7.642952057790355e-193,0.0
obs_wind_dir_sin_70m,0.0,1.0353671600437453e-124,1.7965348943148802e-184,5.621687630153468e-66,0.0,0.0,0.0769800864685044,2.098633605289035e-211,1.1587687698702848e-143,0.0006271521928614575,0.0,0.0,0.0,7.642952057790355e-193,0.0,2.845662756102274e-05
obs_wind_dir_cos_70m,1.0617468896947814e-07,2.933103281438509e-130,1.1113487858659385e-253,0.0,0.0,2.148524240478329e-48,0.02026998287712308,1.9487592022722172e-30,1.23380615317169e-07,0.0,0.0011556895432071035,0.0,0.0,0.0,2.845662756102274e-05,0.0
