variable,abs_spearman_correlation,spearman_correlation,p_value,significance
obs_wind_speed_10m,0.8283619394727687,0.8283619394727687,0.0,***
obs_wind_speed_50m,0.7889035088346157,0.7889035088346157,0.0,***
obs_wind_speed_70m,0.7885444412020086,0.7885444412020086,0.0,***
obs_wind_speed_30m,0.78106396634303,0.78106396634303,0.0,***
obs_wind_dir_sin_30m,0.20452515011173558,0.20452515011173558,0.0,***
obs_wind_dir_cos_30m,0.1881653883009236,0.1881653883009236,0.0,***
obs_wind_dir_cos_70m,0.1350426064070946,0.1350426064070946,2.1461325091197963e-211,***
obs_wind_dir_cos_50m,0.10479530573942662,0.10479530573942662,1.187531489150975e-127,***
obs_density_10m,0.09566063210090887,0.09566063210090887,1.3397808551905183e-106,***
obs_wind_dir_sin_10m,0.05721439455509225,-0.05721439455509225,3.424741060825351e-39,***
obs_wind_dir_sin_50m,0.05529156012676078,-0.05529156012676078,1.034257080131417e-36,***
obs_wind_dir_sin_70m,0.05010127003060953,-0.05010127003060953,1.9426049224717866e-30,***
obs_wind_dir_cos_10m,0.03628126315461645,0.03628126315461645,1.0313870899365057e-16,***
obs_temperature_10m,0.019871159441387332,0.019871159441387332,5.481735190772572e-06,***
obs_humidity_10m,0.003515545618460323,-0.003515545618460323,0.42134450967701553,ns
