,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_humidity_10m,obs_density_10m,power,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m
obs_wind_speed_10m,0.0,0.0,0.0,0.0,1.6051854703204173e-07,0.01231666253774547,1.812360046748823e-08,0.0,1.4052320051410532e-10,2.733141132069835e-20,0.0,0.0,3.140696423444352e-24,0.0,1.0568787885490527e-07,0.0
obs_wind_speed_30m,0.0,0.0,0.0,0.0,1.0974061831727458e-07,6.408212277847468e-07,0.0006021087367916129,0.0,5.718910420566844e-45,1.662768711980209e-30,1.4012167261137251e-285,0.0,3.664422256588013e-167,1.5415754734625263e-36,2.8889741494107674e-130,1.0772585112186355e-124
obs_wind_speed_50m,0.0,0.0,0.0,0.0,8.218038879135036e-09,0.0023016358597176645,0.00013523029483186432,0.0,3.797202791693485e-78,2.821061061730217e-40,8.74315934051106e-282,0.0,0.0,8.951828958061676e-51,1.0844997153549696e-253,1.9123056592804086e-184
obs_wind_speed_70m,0.0,0.0,0.0,0.0,0.00883657478218622,4.569703624382597e-05,0.06027579949873654,0.0,4.789249882881958e-94,5.437745806249856e-32,9.923496315738546e-129,4.831490454692105e-264,0.0,0.01524368530315643,0.0,5.883462426315124e-66
obs_temperature_10m,1.6051854703204173e-07,1.0974061831727458e-07,8.218038879135097e-09,0.00883657478218622,0.0,0.0,3.85718133445421e-224,5.481735190772572e-06,7.192865627903807e-51,0.0,0.0,2.533289311416161e-73,3.619879843430135e-157,0.0,0.0,0.0
obs_humidity_10m,0.01231666253774547,6.408212277847446e-07,0.00230163585971766,4.569703624382597e-05,0.0,0.0,2.1144353569402506e-06,0.42134450967701553,1.3869926940658242e-184,1.4807544903910442e-220,5.062252466195927e-113,1.7715475230337502e-64,0.9650527623125673,0.0,2.2051083964555553e-48,0.0
obs_density_10m,1.8123600467488365e-08,0.0006021087367916129,0.00013523029483186432,0.06027579949873654,3.857181334453552e-224,2.1144353569402506e-06,0.0,1.3397808551905183e-106,0.20095191509380367,4.999537671760864e-69,0.14032211086249144,0.020561438893901537,0.020288851848560538,0.4401478921691653,0.020268917908624288,0.07695630283270018
power,0.0,0.0,0.0,0.0,5.481735190772572e-06,0.42134450967701553,1.3397808551905183e-106,0.0,3.424741060825351e-39,1.0313870899365057e-16,0.0,0.0,1.0342570801314171e-36,1.187531489150975e-127,1.9426049224717866e-30,2.1461325091197963e-211
obs_wind_dir_sin_10m,1.4052320051410532e-10,5.718910420566844e-45,3.797202791693485e-78,4.789249882881958e-94,7.192865627903807e-51,1.3869926940660607e-184,0.20095191509380367,3.424741060825351e-39,0.0,1.358106986494213e-58,0.0,3.843277450602381e-05,0.0,9.496919937740024e-219,0.0,0.0006187902018919239
obs_wind_dir_cos_10m,2.733141132069835e-20,1.662768711980209e-30,2.821061061730217e-40,5.437745806249856e-32,0.0,1.4807544903907918e-220,4.999537671760864e-69,1.0313870899365057e-16,1.358106986494213e-58,0.0,1.5530942152661275e-71,3.880640098995478e-74,0.2997596535561712,1.3617306097965883e-145,1.2330562777908743e-07,1.139262258571914e-143
obs_wind_dir_sin_30m,0.0,1.4012167261137251e-285,8.74315934051106e-282,9.923496315738546e-129,0.0,5.062252466195927e-113,0.14032211086249144,0.0,0.0,1.5530942152661275e-71,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_cos_30m,0.0,0.0,0.0,4.831490454692105e-264,2.533289311416161e-73,1.7715475230338514e-64,0.020561438893901537,0.0,3.843277450602381e-05,3.8806400989951454e-74,0.0,0.0,5.802830420752866e-124,0.0,0.001148137804123504,0.0
obs_wind_dir_sin_50m,3.140696423444352e-24,3.664422256588013e-167,0.0,0.0,3.619879843430548e-157,0.9650527623125673,0.02028885184856057,1.034257080131417e-36,0.0,0.2997596535561712,0.0,5.802830420753528e-124,0.0,0.0,0.0,1.002102717206508e-192
obs_wind_dir_cos_50m,0.0,1.5415754734625263e-36,8.951828958061676e-51,0.015243685303156397,0.0,0.0,0.4401478921691653,1.187531489150975e-127,9.496919937740024e-219,1.3617306097967431e-145,0.0,0.0,0.0,0.0,0.0,0.0
obs_wind_dir_sin_70m,1.0568787885490527e-07,2.8889741494107674e-130,1.0844997153549696e-253,0.0,0.0,2.2051083964555553e-48,0.020268917908624288,1.9426049224717866e-30,0.0,1.233056277790866e-07,0.0,0.001148137804123504,0.0,0.0,0.0,2.7370261177107093e-05
obs_wind_dir_cos_70m,0.0,1.0772585112186355e-124,1.9123056592804086e-184,5.883462426315124e-66,0.0,0.0,0.07695630283270018,2.1461325091197963e-211,0.0006187902018919239,1.139262258571914e-143,0.0,0.0,1.0021027172067932e-192,0.0,2.7370261177106943e-05,0.0
