Feature,Importance,Importance_Type
obs_wind_speed_10m,23.242352433522868,SHAP
obs_wind_speed_70m,7.231726837478522,SHAP
obs_wind_speed_50m,4.8713904690396115,SHAP
obs_temperature_10m,2.654802669492645,SHAP
obs_wind_speed_30m,1.5708877494228048,SHAP
obs_wind_dir_sin_50m,1.1408888144212177,SHAP
obs_wind_dir_sin_70m,1.0066865763263761,SHAP
obs_wind_dir_cos_50m,0.6447994849493919,SHAP
obs_wind_dir_cos_70m,0.5992369187854095,SHAP
obs_wind_dir_sin_10m,0.4432652508798364,SHAP
obs_wind_dir_cos_10m,0.41844270328393335,SHAP
obs_wind_dir_cos_30m,0.37858309465228485,SHAP
obs_wind_dir_sin_30m,0.36022514939441996,SHAP
