variable,hour,EC_RMSE,GFS_RMSE,unit,var_type
Air Density 10m,0,0.42170957595780206,0.4172936071172606,kg/m³,Air_Density
Air Density 10m,1,0.42340595223380667,0.4186110036094068,kg/m³,Air_Density
Air Density 10m,2,0.4248774721376663,0.4200140182421371,kg/m³,Air_Density
Air Density 10m,3,0.4259610974445112,0.42124446217364686,kg/m³,Air_Density
Air Density 10m,4,0.42718490184777397,0.42238494313545766,kg/m³,Air_Density
Air Density 10m,5,0.4281328474557044,0.42337646032022763,kg/m³,Air_Density
Air Density 10m,6,0.42888963254452395,0.42407752706401364,kg/m³,Air_Density
Air Density 10m,7,0.429161784346908,0.42441516956066344,kg/m³,Air_Density
Air Density 10m,8,0.42778486744483535,0.4237360593015791,kg/m³,Air_Density
Air Density 10m,9,0.42542972221632497,0.422010981847482,kg/m³,Air_Density
Air Density 10m,10,0.4221296874096168,0.41944632299612544,kg/m³,Air_Density
Air Density 10m,11,0.41846339327334875,0.4166575473986173,kg/m³,Air_Density
Air Density 10m,12,0.41565455694407366,0.414464240780367,kg/m³,Air_Density
Air Density 10m,13,0.4128745275020541,0.41215633737289065,kg/m³,Air_Density
Air Density 10m,14,0.4104026726814155,0.41000580636328837,kg/m³,Air_Density
Air Density 10m,15,0.40850454985294243,0.4084002785246548,kg/m³,Air_Density
Air Density 10m,16,0.4074920929550982,0.40744068802838634,kg/m³,Air_Density
Air Density 10m,17,0.407621359944935,0.4072718696590579,kg/m³,Air_Density
Air Density 10m,18,0.4090325566668416,0.4080024324418631,kg/m³,Air_Density
Air Density 10m,19,0.41124830214095465,0.4093768368492944,kg/m³,Air_Density
Air Density 10m,20,0.4136812738072601,0.4111955085569082,kg/m³,Air_Density
Air Density 10m,21,0.4162168517596411,0.41295025260037727,kg/m³,Air_Density
Air Density 10m,22,0.4183419675938021,0.4146532397348571,kg/m³,Air_Density
Air Density 10m,23,0.4202181624689454,0.4162208982975469,kg/m³,Air_Density
