variable,hour,EC_RMSE,GFS_RMSE,unit,var_type
Wind Direction 10m,0,144.39948696860716,141.946397575921,°,Wind_Direction
Wind Direction 10m,1,139.95839226021343,141.79836926147303,°,Wind_Direction
Wind Direction 10m,2,140.3655679019617,144.49427687471922,°,Wind_Direction
Wind Direction 10m,3,141.9762404591815,146.36794393261852,°,Wind_Direction
Wind Direction 10m,4,141.57117504158512,146.59101142834393,°,Wind_Direction
Wind Direction 10m,5,140.07493862947624,144.82377660455072,°,Wind_Direction
Wind Direction 10m,6,139.9584752608503,144.98893749646558,°,Wind_Direction
Wind Direction 10m,7,135.88258235154126,139.60580225048173,°,Wind_Direction
Wind Direction 10m,8,138.8187578962745,140.67031154337525,°,Wind_Direction
Wind Direction 10m,9,142.2623605429758,142.62750628217063,°,Wind_Direction
Wind Direction 10m,10,150.22457982821535,151.6376207445718,°,Wind_Direction
Wind Direction 10m,11,159.04456341987444,162.36463976470142,°,Wind_Direction
Wind Direction 10m,12,164.30289896319988,166.2395466515961,°,Wind_Direction
Wind Direction 10m,13,164.9303422390269,170.6110546961031,°,Wind_Direction
Wind Direction 10m,14,171.5197928880321,171.74367087942562,°,Wind_Direction
Wind Direction 10m,15,163.2903877154235,169.31104352970638,°,Wind_Direction
Wind Direction 10m,16,164.98282345462678,170.51782369325284,°,Wind_Direction
Wind Direction 10m,17,161.2385256910401,164.52621416374603,°,Wind_Direction
Wind Direction 10m,18,161.57653518592505,166.3403158608194,°,Wind_Direction
Wind Direction 10m,19,167.2313036458012,167.15877912474508,°,Wind_Direction
Wind Direction 10m,20,157.16530236699867,163.12508190592771,°,Wind_Direction
Wind Direction 10m,21,151.8503093447784,157.13959935926147,°,Wind_Direction
Wind Direction 10m,22,146.35328023222942,150.03193851719348,°,Wind_Direction
Wind Direction 10m,23,145.13712153787978,145.8726895893372,°,Wind_Direction
Wind Direction 30m,0,79.04436381430395,78.24952357635314,°,Wind_Direction
Wind Direction 30m,1,79.29422479632356,80.08154857944417,°,Wind_Direction
Wind Direction 30m,2,72.40526327028029,76.85985809703624,°,Wind_Direction
Wind Direction 30m,3,70.64118706780044,70.89528763594959,°,Wind_Direction
Wind Direction 30m,4,72.66349703522849,71.6443536339567,°,Wind_Direction
Wind Direction 30m,5,69.10171494343274,69.26045541739843,°,Wind_Direction
Wind Direction 30m,6,70.87309367763892,68.72394622946078,°,Wind_Direction
Wind Direction 30m,7,74.33073508094645,73.58862148080424,°,Wind_Direction
Wind Direction 30m,8,82.47205201378779,80.81343573340128,°,Wind_Direction
Wind Direction 30m,9,99.86385632338626,94.49448680231812,°,Wind_Direction
Wind Direction 30m,10,117.99375274131219,113.56034373268025,°,Wind_Direction
Wind Direction 30m,11,135.0695963426629,128.33076663354953,°,Wind_Direction
Wind Direction 30m,12,140.07233087947807,134.54069980223744,°,Wind_Direction
Wind Direction 30m,13,144.091707495212,137.99230474344506,°,Wind_Direction
Wind Direction 30m,14,147.92409819929793,140.42632749028132,°,Wind_Direction
Wind Direction 30m,15,150.24524919423615,141.4535461115497,°,Wind_Direction
Wind Direction 30m,16,152.15770059788645,144.4706311402399,°,Wind_Direction
Wind Direction 30m,17,151.7046177171336,144.15272405831965,°,Wind_Direction
Wind Direction 30m,18,148.47344094297208,141.98702180478347,°,Wind_Direction
Wind Direction 30m,19,142.1500843150045,136.90062387924473,°,Wind_Direction
Wind Direction 30m,20,127.79427875369686,127.7791350838202,°,Wind_Direction
Wind Direction 30m,21,106.69288172906914,108.33234736182166,°,Wind_Direction
Wind Direction 30m,22,91.92444583872626,92.93116393364276,°,Wind_Direction
Wind Direction 30m,23,81.79587631863585,81.87591431238538,°,Wind_Direction
Wind Direction 50m,0,57.35127911563371,57.07208637496326,°,Wind_Direction
Wind Direction 50m,1,58.134407333410465,59.88134926702712,°,Wind_Direction
Wind Direction 50m,2,55.60522593686042,62.26393560286229,°,Wind_Direction
Wind Direction 50m,3,55.88181234373541,60.93255446556681,°,Wind_Direction
Wind Direction 50m,4,52.13417400605647,61.64952683441821,°,Wind_Direction
Wind Direction 50m,5,53.7727485458588,58.55889905745724,°,Wind_Direction
Wind Direction 50m,6,57.679394790726946,57.20030782574707,°,Wind_Direction
Wind Direction 50m,7,60.57935528511717,59.88254759543532,°,Wind_Direction
Wind Direction 50m,8,65.99037846530624,64.91534009134377,°,Wind_Direction
Wind Direction 50m,9,68.86703767584535,66.28124620986594,°,Wind_Direction
Wind Direction 50m,10,77.65980200856717,72.39838559300777,°,Wind_Direction
Wind Direction 50m,11,81.4778408404876,78.143178069999,°,Wind_Direction
Wind Direction 50m,12,83.98939846406533,84.98626114655096,°,Wind_Direction
Wind Direction 50m,13,87.89721916751844,86.31175076994198,°,Wind_Direction
Wind Direction 50m,14,90.21819558140636,83.93841651525716,°,Wind_Direction
Wind Direction 50m,15,86.0488944075287,82.49074562936158,°,Wind_Direction
Wind Direction 50m,16,91.4632071228278,86.63577541555564,°,Wind_Direction
Wind Direction 50m,17,87.55761065676901,85.96045082605,°,Wind_Direction
Wind Direction 50m,18,85.63667614888568,87.6870135543465,°,Wind_Direction
Wind Direction 50m,19,86.51225329738529,87.34220859501102,°,Wind_Direction
Wind Direction 50m,20,83.50243047317632,85.10601344216816,°,Wind_Direction
Wind Direction 50m,21,74.03913531846437,79.10606134793439,°,Wind_Direction
Wind Direction 50m,22,63.837715637018,69.21703196121022,°,Wind_Direction
Wind Direction 50m,23,61.24291152798576,65.28628391153762,°,Wind_Direction
Wind Direction 70m,0,57.5442328024423,60.14731180041892,°,Wind_Direction
Wind Direction 70m,1,58.995700372576295,61.004289750078655,°,Wind_Direction
Wind Direction 70m,2,56.81336744299781,63.952184773868964,°,Wind_Direction
Wind Direction 70m,3,57.307452287733675,62.97297521894171,°,Wind_Direction
Wind Direction 70m,4,53.057416178407955,64.33682412981919,°,Wind_Direction
Wind Direction 70m,5,54.51112023046603,59.75550885778639,°,Wind_Direction
Wind Direction 70m,6,59.061576613080696,59.5085035078858,°,Wind_Direction
Wind Direction 70m,7,61.601447216316046,61.67044215448642,°,Wind_Direction
Wind Direction 70m,8,66.11768239530649,65.67284844169038,°,Wind_Direction
Wind Direction 70m,9,67.82875020667724,66.39093577884864,°,Wind_Direction
Wind Direction 70m,10,76.41567203513975,71.89205287438452,°,Wind_Direction
Wind Direction 70m,11,81.14541485233408,77.24973755869851,°,Wind_Direction
Wind Direction 70m,12,83.80655565746592,85.26832643212184,°,Wind_Direction
Wind Direction 70m,13,87.71624925102459,85.58129478662343,°,Wind_Direction
Wind Direction 70m,14,89.23576413793909,83.73437947567326,°,Wind_Direction
Wind Direction 70m,15,85.70520169384875,82.89812874765889,°,Wind_Direction
