variable,height,hour,EC_bias,GFS_bias
Wind Speed 10m,10m,0,0.11654782994862385,-0.0926079859908257
Wind Speed 10m,10m,1,0.23979689158715597,-0.008914569807339463
Wind Speed 10m,10m,2,0.31291115296971095,0.10012193864157871
Wind Speed 10m,10m,3,0.25549448207798164,0.12843494355963309
Wind Speed 10m,10m,4,0.24281210888990826,0.18882498107339454
Wind Speed 10m,10m,5,0.300315439050023,0.28974490609453885
Wind Speed 10m,10m,6,0.4230156652898003,0.37687232118429576
Wind Speed 10m,10m,7,0.4970933218534808,0.5134892761745818
Wind Speed 10m,10m,8,0.6792339613394495,0.8614080064036698
Wind Speed 10m,10m,9,0.484592886630464,0.8168846417245008
Wind Speed 10m,10m,10,0.23306253621172873,0.6021562151062242
Wind Speed 10m,10m,11,0.1467698939727704,0.4464095287685483
Wind Speed 10m,10m,12,0.11007196258256884,0.2875749242568808
Wind Speed 10m,10m,13,-0.1425254203302752,0.021161498142201807
Wind Speed 10m,10m,14,-0.26827390906422016,-0.07371826170642201
Wind Speed 10m,10m,15,-0.26422033721559635,-0.1260211686513762
Wind Speed 10m,10m,16,-0.2937543582522935,-0.20991896775229352
Wind Speed 10m,10m,17,-0.4697635985825688,-0.3132069699678899
Wind Speed 10m,10m,18,-0.5989530871100918,-0.4514370510917431
Wind Speed 10m,10m,19,-0.6347648638944954,-0.3982788208376147
Wind Speed 10m,10m,20,-0.83846912446789,-0.4557516320917431
Wind Speed 10m,10m,21,-0.5514361966146789,-0.48039774265137614
Wind Speed 10m,10m,22,-0.21013742806605507,-0.2997332686467889
Wind Speed 10m,10m,23,0.022265247977064247,-0.1639992547981651
Wind Speed 30m,30m,0,1.096912218504587,0.7064442647706421
Wind Speed 30m,30m,1,1.2555897856972478,0.8245867785000002
Wind Speed 30m,30m,2,1.256895725672327,0.8944511333363928
Wind Speed 30m,30m,3,1.1841218571376146,0.9433759761926604
Wind Speed 30m,30m,4,1.0899336958348622,0.9607726146926604
Wind Speed 30m,30m,5,1.0667387034006426,0.9925412523359339
Wind Speed 30m,30m,6,1.2099301883604967,1.108777435466001
Wind Speed 30m,30m,7,0.9755466674804102,1.0792492046950892
Wind Speed 30m,30m,8,0.6885216431238532,0.9955439020963303
Wind Speed 30m,30m,9,0.2576975358783055,0.7151055955067458
Wind Speed 30m,30m,10,-0.032092670612790045,0.47114986404776044
Wind Speed 30m,30m,11,-0.07412172179440109,0.3051429379118862
Wind Speed 30m,30m,12,-0.14335090936238531,0.07938105717889912
Wind Speed 30m,30m,13,-0.37872286586697246,-0.1782165522155963
Wind Speed 30m,30m,14,-0.5031981841926605,-0.2737697090733945
Wind Speed 30m,30m,15,-0.488567590266055,-0.32351123469724763
Wind Speed 30m,30m,16,-0.49805473815137613,-0.3995974305366972
Wind Speed 30m,30m,17,-0.5262432805229357,-0.4241847935733945
Wind Speed 30m,30m,18,-0.36552250347247706,-0.36064428155963296
Wind Speed 30m,30m,19,-0.0754688797293578,-0.05340967985321097
Wind Speed 30m,30m,20,0.1651807819816514,0.30630632684403675
Wind Speed 30m,30m,21,0.6628444525963303,0.5446361522844037
Wind Speed 30m,30m,22,0.8797154121330276,0.626928617674312
Wind Speed 30m,30m,23,1.025315726027523,0.6603021098853211
Wind Speed 50m,50m,0,1.2242740581238534,0.8699409101055047
Wind Speed 50m,50m,1,1.4315216504357797,1.0117009520733944
Wind Speed 50m,50m,2,1.4568676080156036,1.1461676259109683
Wind Speed 50m,50m,3,1.3968188576192662,1.2444729980045872
Wind Speed 50m,50m,4,1.2932577824311924,1.2649446643119264
Wind Speed 50m,50m,5,1.2985529474827902,1.3186066350298302
Wind Speed 50m,50m,6,1.4076094098985428,1.3995056364279006
Wind Speed 50m,50m,7,1.156107442675661,1.3412476998683218
Wind Speed 50m,50m,8,0.8179747062798165,1.202752647940367
Wind Speed 50m,50m,9,0.3822668224550729,0.8995250297876418
Wind Speed 50m,50m,10,0.001007326560172657,0.5566399143133837
Wind Speed 50m,50m,11,-0.03903594100045896,0.37881063071592475
Wind Speed 50m,50m,12,-0.10300249520183484,0.13682232890825685
Wind Speed 50m,50m,13,-0.3730328746972477,-0.16161061916972477
Wind Speed 50m,50m,14,-0.5004201616880734,-0.26239825662844035
Wind Speed 50m,50m,15,-0.4964857068348624,-0.32477707994036703
Wind Speed 50m,50m,16,-0.5020889142844037,-0.39794242447706424
Wind Speed 50m,50m,17,-0.514452398321101,-0.41930585315137614
Wind Speed 50m,50m,18,-0.33376620827522935,-0.3439565717201835
Wind Speed 50m,50m,19,-0.03512599842935781,-0.02568714793348627
Wind Speed 50m,50m,20,0.2533065953165137,0.3919465004541285
Wind Speed 50m,50m,21,0.7672154668807339,0.7492636271330276
Wind Speed 50m,50m,22,0.921906375733945,0.8858970001238532
Wind Speed 50m,50m,23,1.10732448153211,0.880189863440367
Wind Speed 70m,70m,0,1.3726500958073393,1.0528810985091743
Wind Speed 70m,70m,1,1.620393511711009,1.2080795276055045
Wind Speed 70m,70m,2,1.6214395946810463,1.3493817816383662
Wind Speed 70m,70m,3,1.497643135788991,1.4354667736192661
Wind Speed 70m,70m,4,1.3952764485504587,1.4705822658302752
Wind Speed 70m,70m,5,1.3856951745488757,1.4984106058100046
Wind Speed 70m,70m,6,1.4674768959363194,1.5556595800716406
Wind Speed 70m,70m,7,1.1873500643426875,1.458886693682137
Wind Speed 70m,70m,8,0.7625008644871559,1.2300874291651376
Wind Speed 70m,70m,9,0.4017351614463032,0.9822453824417161
Wind Speed 70m,70m,10,0.13950046905909333,0.7470784530430383
Wind Speed 70m,70m,11,0.17082047378292795,0.6286730183524553
Wind Speed 70m,70m,12,0.14009360995871556,0.3985796099678899
Wind Speed 70m,70m,13,-0.09820235462844037,0.12469559727064224
Wind Speed 70m,70m,14,-0.24105761188990826,0.005703302926605499
Wind Speed 70m,70m,15,-0.2268033656857798,-0.048357674513761495
Wind Speed 70m,70m,16,-0.2394523974954128,-0.12974270081651373
Wind Speed 70m,70m,17,-0.22570214353669724,-0.137249431059633
Wind Speed 70m,70m,18,-0.009867770371559642,-0.03569046545825694
Wind Speed 70m,70m,19,0.31089696763302754,0.3001688205733945
Wind Speed 70m,70m,20,0.6370137067706422,0.7558527571100917
Wind Speed 70m,70m,21,1.0618187836100916,1.112117298059633
Wind Speed 70m,70m,22,1.05911447046789,1.2052372855091744
Wind Speed 70m,70m,23,1.2295505710871557,1.12077762303211
