experiment,description,type,RMSE,Correlation,error
G-M1-10m,GFS原始10m风速直接预测功率,direct,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
G-M1-70m,GFS原始70m风速直接预测功率,direct,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M1-10m,EC原始10m风速直接预测功率,direct,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M1-70m,EC原始70m风速直接预测功率,direct,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
G-M2-10m,GFS 10m风速两步法ML校正,two_step,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
G-M2-70m,GFS 70m风速两步法ML校正,two_step,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M2-10m,EC 10m风速两步法ML校正,two_step,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M2-70m,EC 70m风速两步法ML校正,two_step,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
G-M3-Fixed,GFS固定权重融合(基于SHAP),fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
G-M3-TimeAdaptive,GFS昼夜动态权重融合(基于SHAP),fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M3-Fixed,EC固定权重融合(基于SHAP),fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
E-M3-TimeAdaptive,EC昼夜动态权重融合(基于SHAP),fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
Fusion-M1,联合校正后静态融合,fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
Fusion-M2,ML校正后无数据泄露的权重优化融合,no_leakage_fusion,,,[Errno 2] No such file or directory: '/Users/xiaxin/work/WindForecast_Project/03_Results/third_part_experiments/train_test_split.json'
