Classification,Variable,Variable_Name,Sample_Size,EC_CORR,GFS_CORR,EC_BIAS,GFS_BIAS,EC_RMSE,GFS_RMSE,EC_MAE,GFS_MAE,CORR_Diff_EC_minus_GFS,RMSE_Diff_GFS_minus_EC,Better_CORR,Better_RMSE,EC_CORR_pvalue,GFS_CORR_pvalue,CORR_Diff_pvalue,BIAS_Diff_pvalue,RMSE_Diff_pvalue,EC_CORR_Significant,GFS_CORR_Significant,CORR_Diff_Significant,BIAS_Diff_Significant,RMSE_Diff_Significant
moderate_night,wind_speed_10m,10m Wind Speed,11990,0.5203404681066596,0.4982218659984341,-0.12162243337806504,-0.3494812813903252,2.039178171780464,2.171029725741346,1.5336654482904923,1.673977343236308,0.02211860210822547,0.13185155396088222,EC,EC,0.0,0.0,0.02075872885563368,2.570767817181363e-40,0.0,True,True,True,True,True
moderate_night,wind_speed_70m,70m Wind Speed,11990,0.49457474407113183,0.4587626289304957,0.2876973992515986,0.0826645941958021,3.0880706205503037,3.1948203569769933,2.386747729033083,2.5447470388762023,0.03581211514063615,0.10674973642668961,EC,EC,0.0,0.0,0.00033228829953579897,1.3016539078974548e-15,0.0,True,True,True,True,True
moderate_night,temperature_10m,10m Temperature,11990,0.9822237365356242,0.9818172354696455,-1.3447227383930824,-0.5855175265498807,2.610077992418581,2.3642181376602407,2.146661719210442,1.907546824298021,0.00040650106597872604,-0.24585985475834038,EC,GFS,0.0,0.0,0.3771555422628028,0.0,0.0,True,True,False,True,True
weak_night,wind_speed_10m,10m Wind Speed,12159,0.6568690691123977,0.640026392738431,-0.5629310479899663,-0.3103506030706472,2.344876424450658,2.4918586478488445,1.7565154225602435,1.8929755630509089,0.016842676373966747,0.14698222339818656,EC,EC,0.0,0.0,0.023440009032849263,6.0800411053618275e-43,0.0,True,True,True,True,True
weak_night,wind_speed_70m,70m Wind Speed,12159,0.589157172209418,0.5704020461469279,1.8842840280364614,2.0462001441914084,3.782746204620347,3.982388279900263,3.069182807284426,3.275454473183924,0.01875512606249008,0.19964207527991595,EC,EC,0.0,0.0,0.02760538936142587,2.811200993834985e-10,0.0,True,True,True,True,True
weak_night,temperature_10m,10m Temperature,12159,0.9798193135408437,0.9789721479545568,-1.8095141579625296,-1.126313679304745,2.97726659114833,2.6793425609236925,2.546711251473518,2.2605979526825024,0.0008471655862869465,-0.29792403022463754,EC,GFS,0.0,0.0,0.10530892902181122,0.0,0.0,True,True,False,True,True
moderate_day,wind_speed_10m,10m Wind Speed,8026,0.5973234653047033,0.5635893939678587,0.3105539892548238,0.3454406774245222,2.1512771612483226,2.2341074222207475,1.6582285812681334,1.7161719897918286,0.033734071336844584,0.08283026097242496,EC,EC,0.0,0.0,0.0012655757608361906,0.12672308635825552,0.0,True,True,True,False,True
moderate_day,wind_speed_70m,70m Wind Speed,8026,0.5893778714786251,0.5489042688368078,-0.23435844343351758,-0.03860515622282728,2.823847954194643,2.9684492090889276,2.166833952496709,2.326058946696435,0.04047360264181732,0.14460125489428455,EC,EC,0.0,0.0,0.0001483083106832428,1.0798237055549965e-10,0.0,True,True,True,True,True
moderate_day,temperature_10m,10m Temperature,8026,0.9843771399798306,0.9820295795728132,-1.5033046076232415,-1.2863961687994188,2.6550128751948057,2.7538726207304296,2.265544590179942,2.3665157875385296,0.002347560407017335,0.09885974553562393,EC,EC,0.0,0.0,7.793589948956736e-06,3.069260671511159e-35,0.0,True,True,True,True,True
strong_day,wind_speed_10m,10m Wind Speed,1294,0.60364896361777,0.5435757524994088,2.1753867585863866,2.2496531805338362,2.966424161519902,3.107549226870481,2.3965358399001424,2.4757112201783498,0.06007321111836117,0.14112506535057934,EC,EC,2.661635361506228e-129,2.2459902000711724e-100,0.02274199978580227,0.19319461543047117,0.006,True,True,True,False,True
