height,year_month,month_name,valid_count,rmse_obs_ec,rmse_obs_gfs,rmse_change_percent,change_type
10m,2021-05,May 2021,2976,2.4521827054347947,2.3962105749061817,-2.3358602584751718,degradation
10m,2021-06,June 2021,2783,2.760488941403415,2.8388169731760997,2.7591786477537723,improvement
10m,2021-07,July 2021,2975,2.7124811716560098,2.8142668714381345,3.616774969536227,improvement
10m,2021-08,August 2021,2976,2.245388873223859,2.457033290136448,8.613819672782506,improvement
10m,2021-09,September 2021,2880,1.955653739840993,1.9603143174920086,0.2377464475685835,improvement
10m,2021-10,October 2021,2880,2.025954473383029,2.1397458129510216,5.317983981053242,improvement
10m,2021-11,November 2021,2880,1.9368943410345367,2.3532323753858786,17.692176884276954,improvement
10m,2021-12,December 2021,2976,2.4338008050698234,2.694803266734437,9.685399483016674,improvement
10m,2022-01,January 2022,2976,1.8280660187666515,1.914797273750887,4.5295267636525285,improvement
10m,2022-02,February 2022,2688,1.732427965984791,2.0898095146128837,17.10115425014198,improvement
10m,2022-03,March 2022,2976,2.378958469004094,2.387802909078821,0.37040075799802036,improvement
10m,2022-04,April 2022,2880,2.9476819430142123,2.6355318951696223,-11.843910840794438,degradation
10m,2022-05,May 2022,2880,2.372565357778779,2.223949024592455,-6.68254224997618,degradation
10m,2022-06,June 2022,2784,2.5912049030144613,2.4215427524807924,-7.006366101108702,degradation
10m,2022-07,July 2022,2976,2.505133638066635,2.5384560198930037,1.3127027439212187,improvement
10m,2022-08,August 2022,2975,3.137235318232668,3.519414706660619,10.859174615161512,improvement
10m,2022-09,September 2022,2880,2.040123752892589,2.0754183119921805,1.700599772857956,improvement
10m,2022-10,October 2022,2976,1.727821062898642,1.9212367083887723,10.067247031332053,improvement
30m,2021-05,May 2021,2976,2.6670235548717285,2.546453487188523,-4.734823089830869,degradation
30m,2021-06,June 2021,2783,3.007804049719681,3.0390802922084887,1.029135115942575,improvement
30m,2021-07,July 2021,2975,3.0322321713289897,3.2353884483691893,6.279192754817473,improvement
30m,2021-08,August 2021,2976,2.5716031784791706,2.9778756073372232,13.643028871220581,improvement
30m,2021-09,September 2021,2880,2.256924562227852,2.265676678475327,0.3862914921013688,improvement
30m,2021-10,October 2021,2880,2.749448289032291,2.8473679648743175,3.438954046332701,improvement
30m,2021-11,November 2021,2880,2.097677601941276,2.4234091105453355,13.441044980257615,improvement
30m,2021-12,December 2021,2976,2.3123710978265306,2.2789201387541413,-1.467842532238822,degradation
30m,2022-01,January 2022,2976,2.2273908725668377,2.201390697215273,-1.1810795505066167,degradation
30m,2022-02,February 2022,2688,2.0804668914890434,2.353826085959696,11.613398122368046,improvement
30m,2022-03,March 2022,2976,2.6564187867008537,2.6662450509990014,0.3685431800226296,improvement
30m,2022-04,April 2022,2880,2.54742339971533,2.4609908073434603,-3.512105454191846,degradation
30m,2022-05,May 2022,2880,2.807964330419049,2.795589490305162,-0.44265583902078603,degradation
30m,2022-06,June 2022,2784,3.07755174389555,2.897066855353628,-6.229917967146513,degradation
30m,2022-07,July 2022,2976,2.948709275883701,2.9936961261750783,1.5027193273906305,improvement
30m,2022-08,August 2022,2975,2.7454468754846193,3.415240336702297,19.611898290719413,improvement
30m,2022-09,September 2022,2880,2.3250800788333064,2.3488112473666014,1.01034804562953,improvement
30m,2022-10,October 2022,2976,2.2029787616425893,2.418049320451945,8.894382632739593,improvement
50m,2021-05,May 2021,2976,2.893169101506188,2.7563224715101,-4.964826554605352,degradation
50m,2021-06,June 2021,2783,3.2556884421402223,3.320314181201565,1.9463742144412302,improvement
50m,2021-07,July 2021,2975,3.3209933984475795,3.597041533827424,7.674310479426579,improvement
50m,2021-08,August 2021,2976,2.861939401644203,3.307421260960513,13.469159933589381,improvement
50m,2021-09,September 2021,2880,2.446384685657717,2.5645764014383037,4.608625257344672,improvement
50m,2021-10,October 2021,2880,3.238747784304691,3.3798810801117263,4.17568821097013,improvement
50m,2021-11,November 2021,2880,2.198081965002224,2.6562930471732056,17.25002001035255,improvement
50m,2021-12,December 2021,2976,2.4805954245215442,2.5056347178763665,0.9993193810805802,improvement
50m,2022-01,January 2022,2976,2.5793914399145597,2.5145859319225092,-2.5771840671399855,degradation
50m,2022-02,February 2022,2688,2.497509855959735,2.684377061821746,6.961287537421956,improvement
50m,2022-03,March 2022,2976,3.034847001790087,3.065392684494173,0.9964688328055629,improvement
50m,2022-04,April 2022,2880,2.7518363675865087,2.6800201439284628,-2.67968969639069,degradation
50m,2022-05,May 2022,2880,3.120749180489594,3.032983369001153,-2.8937122565675244,degradation
50m,2022-06,June 2022,2784,3.3575811779408067,3.273832799560288,-2.558114097695129,degradation
50m,2022-07,July 2022,2976,3.193678302786102,3.3124430505929365,3.5854125185812658,improvement
50m,2022-08,August 2022,2975,3.07357844858566,3.7689732243815723,18.450509844362593,improvement
50m,2022-09,September 2022,2880,2.6275467656434093,2.7671223352031484,5.044069349015326,improvement
50m,2022-10,October 2022,2976,2.64191391663886,2.890089024350929,8.587109449606151,improvement
70m,2021-05,May 2021,2976,3.024795915652895,2.873357819780676,-5.2704224593851,degradation
70m,2021-06,June 2021,2783,3.5332289223535804,3.618112423870947,2.34607141992982,improvement
70m,2021-07,July 2021,2975,3.5718577424676248,3.9516206501167797,9.610307802140166,improvement
70m,2021-08,August 2021,2976,3.1990818925873263,3.731425092087355,14.266484958491727,improvement
70m,2021-09,September 2021,2880,2.6646220311459095,2.9113350079810347,8.474221488038811,improvement
70m,2021-10,October 2021,2880,3.68050750184657,3.7625824573969764,2.181346361966172,improvement
70m,2021-11,November 2021,2880,2.3340253266082134,2.8547218852180856,18.239834896214198,improvement
70m,2021-12,December 2021,2976,2.670656865903671,2.657229218015652,-0.5053251634063667,degradation
70m,2022-01,January 2022,2976,2.808744571493737,2.7778067231875245,-1.1137509333518898,degradation
70m,2022-02,February 2022,2688,2.766131013825431,2.9239830852498194,5.398528884133463,improvement
70m,2022-03,March 2022,2976,3.336262826478925,3.3973519138300845,1.7981383412909193,improvement
70m,2022-04,April 2022,2880,2.964864121074319,2.9144607573908266,-1.7294233094638085,degradation
70m,2022-05,May 2022,2880,3.4714556345418184,3.6112092999818337,3.869996276336527,improvement
70m,2022-06,June 2022,2784,3.5942098548454346,3.5736132990493723,-0.57635099470727,degradation
70m,2022-07,July 2022,2976,3.42117108135993,3.632280105595572,5.812024901670603,improvement
70m,2022-08,August 2022,2975,3.470879461169137,4.181631538114343,16.997003931764652,improvement
70m,2022-09,September 2022,2880,2.9223642190657606,3.134073844407726,6.755093716752354,improvement
70m,2022-10,October 2022,2976,2.91935056222306,3.1755089076234873,8.066686406876839,improvement
