Classification,Variable,Variable_Name,Sample_Size,EC_CORR,GFS_CORR,EC_BIAS,GFS_BIAS,EC_RMSE,GFS_RMSE,EC_MAE,GFS_MAE,CORR_Diff_EC_minus_GFS,RMSE_Diff_GFS_minus_EC,Better_CORR,Better_RMSE
weak_night,wind_speed_10m,10m Wind Speed,20645,0.624467491138392,0.6067059806957019,-0.48167985009847414,-0.40650191070118674,2.244143787672678,2.403869410323224,1.6775698658892226,1.8381196584916124,0.01776151044269003,0.15972562265054613,EC,EC
weak_night,wind_speed_70m,70m Wind Speed,20645,0.545619435355894,0.5116605468692931,1.252768994950448,1.284838352518818,3.5189878450064325,3.6945072171101683,2.7849642749647856,2.991691973477791,0.03395888848660089,0.1755193721037358,EC,EC
weak_night,temperature_10m,10m Temperature,20645,0.981046351851771,0.9803003190500388,-1.6361666692499974,-0.930774776782088,2.843270483821705,2.576837252596532,2.397906105433103,2.14086387341567,0.0007460328017322437,-0.26643323122517293,EC,GFS
moderate_night,wind_speed_10m,10m Wind Speed,3504,0.43597966094937346,0.4013886754630438,0.4684214944549086,0.12225981730022834,1.906865699813843,1.9048392294232033,1.4591009893350457,1.4668087519920092,0.03459098548632966,-0.002026470390639634,EC,GFS
moderate_night,wind_speed_70m,70m Wind Speed,3504,0.4210721352461879,0.3891465334484288,0.14186227544805938,-0.18681271407534245,3.053520985129284,3.0884772956590365,2.408593484083904,2.446999755456621,0.03192560179775911,0.034956310529752344,EC,EC
moderate_night,temperature_10m,10m Temperature,3504,0.9809108140983589,0.9819860293607302,-1.2404244843987597,-0.4278989450151985,2.537543984678942,2.2169523095510018,2.0545560996955747,1.7579800979832525,-0.0010752152623713096,-0.32059167512794007,GFS,GFS
moderate_day,wind_speed_10m,10m Wind Speed,2015,0.495329993597862,0.480943052099992,0.8627702514611005,0.8343919687613487,2.1085580591621667,2.0812064278892564,1.6656170635702816,1.617721189446212,0.01438694149787001,-0.027351631272910293,EC,GFS
moderate_day,wind_speed_70m,70m Wind Speed,2015,0.518669629584448,0.5109021391786195,-0.16924154675463435,-0.0077788474246095664,2.7916634729294048,2.8041039461857062,2.163339671151073,2.231381985419063,0.00776749040582847,0.012440473256301487,EC,EC
moderate_day,temperature_10m,10m Temperature,2015,0.9847564606338269,0.9837739626950427,-1.4078380823237266,-1.0627157299664058,2.5882428775139283,2.5736158668995226,2.1881725537877568,2.17746007736096,0.0009824979387842436,-0.014627010614405744,EC,GFS
weak_day,wind_speed_10m,10m Wind Speed,22400,0.6866066633501591,0.6590956909880439,-0.1828168985523766,0.015787803654543048,2.21321442116861,2.3325685351627494,1.698952156639982,1.7926497257125786,0.027510972362115194,0.11935411399413942,EC,EC
weak_day,wind_speed_70m,70m Wind Speed,22400,0.6648490272381135,0.6191303755539568,0.3054331489002013,0.6225484467966299,2.801681090515409,3.08181476696357,2.1664342410448443,2.4111493715180585,0.045718651684156675,0.28013367644816123,EC,EC
weak_day,temperature_10m,10m Temperature,22400,0.9855221651472068,0.9817204679526729,-1.798586202450958,-1.7802084573616723,2.702060049239805,2.908062007621717,2.355770484593822,2.5402748823616808,0.0038016971945339373,0.20600195838191215,EC,EC
strong_day,wind_speed_10m,10m Wind Speed,1294,0.60364896361777,0.5435757524994088,2.1753867585863866,2.2496531805338362,2.966424161519902,3.107549226870481,2.3965358399001424,2.4757112201783498,0.06007321111836117,0.14112506535057934,EC,EC
strong_day,wind_speed_70m,70m Wind Speed,1294,0.6113627718321769,0.5702040263354936,-0.1968356510978271,0.007193926205109537,2.808874105928226,2.8904809986972935,2.2315440846826986,2.296011104134012,0.0411587454966833,0.08160689276906741,EC,EC
strong_day,temperature_10m,10m Temperature,1294,0.9817671217909785,0.9814894075535774,-1.4302692961481134,-0.9345555480801063,2.77883457115755,2.734084080974788,2.357498538806548,2.3224450225778037,0.00027771423740108325,-0.044750490182762004,EC,GFS
strong_night,wind_speed_10m,10m Wind Speed,1496,0.4669622076276685,0.4578566831173513,2.1202776770721927,1.7365620573930483,2.9375400067614637,2.754094070615561,2.3499108028743314,2.1073406534358288,0.009105524510317209,-0.18344593614590243,EC,GFS
strong_night,wind_speed_70m,70m Wind Speed,1496,0.5116832643925205,0.46698906906418897,0.5885167265842246,0.15813508047459893,3.2388171918653765,3.258954310865654,2.5983340311697862,2.5663681272794117,0.044694195328331576,0.02013711900027726,EC,EC
strong_night,temperature_10m,10m Temperature,1496,0.9805050308822724,0.980756953778475,-1.1187862165775184,-0.11486770053473762,2.6435109153038696,2.430243208844158,2.1125208556149655,1.9382605481283413,-0.00025192289620268316,-0.21326770645971171,GFS,GFS
