feature,importance
wind_mean,328801724.3046875
wind_min,40471083.51171875
wind_max,28034070.400390625
wind_lag_1h,15145471.602539062
month,14514836.310546875
wind_lag_24h,11835342.893554688
hour,11182447.001953125
wind_gfs_70m,9089522.997070312
wind_ec_70m,7053124.2119140625
wind_gfs_10m,6903578.708984375
wind_std,6841313.9013671875
wind_ec_10m,5099100.697265625
is_daytime,2897940.9013671875
wind_ec_70m_sq,2374715.708984375
wind_ec_10m_sq,696438.203125
wind_gfs_10m_sq,567906.59765625
wind_gfs_70m_sq,360995.701171875
wind_ec_10m_cube,305666.0
wind_gfs_10m_cube,222687.30078125
wind_gfs_70m_cube,205272.5
wind_ec_70m_cube,0.0
