obs_temperature_10m,wind_shear_alpha,wind_shear_linear,shear_category,hour,is_daytime,season,predicted_shear_category
19.39,0.1401429651798748,0.029000000000000005,moderate,0,False,spring,weak
18.86,0.16640769600106992,0.03305555555555555,moderate,0,False,spring,weak
18.33,0.19505647012178942,0.03711111111111111,moderate,0,False,spring,weak
17.8,0.22648067660461735,0.041166666666666664,moderate,0,False,spring,weak
17.88,0.1774805399962185,0.03300000000000001,moderate,1,False,spring,weak
17.68,0.19182716210893888,0.03333333333333333,moderate,1,False,spring,weak
17.92,0.2807969095920905,0.04616666666666667,moderate,1,False,spring,weak
18.15,0.18396862759071167,0.027333333333333334,moderate,1,False,spring,weak
18.21,0.13903303312341345,0.021333333333333336,moderate,2,False,spring,weak
18.12,0.14501829917686918,0.02233333333333333,moderate,2,False,spring,weak
17.62,0.11115151280606282,0.016500000000000004,moderate,2,False,spring,weak
16.93,0.123662805745964,0.018500000000000006,moderate,2,False,spring,weak
16.68,0.08734897762450884,0.013000000000000005,weak,3,False,spring,weak
16.5,0.12233046396082238,0.018500000000000006,moderate,3,False,spring,weak
16.1,0.1563121743871205,0.023166666666666662,moderate,3,False,spring,weak
15.99,0.13876649820864087,0.02066666666666667,moderate,3,False,spring,weak
15.78,0.17368880628463826,0.025333333333333333,moderate,4,False,spring,weak
15.42,0.15020054444547903,0.021500000000000002,moderate,4,False,spring,weak
15.38,0.26635966827441304,0.03916666666666666,moderate,4,False,spring,weak
15.68,0.24778005764063324,0.038,moderate,4,False,spring,weak
15.85,0.2264300312569496,0.037833333333333344,moderate,5,False,spring,weak
15.95,0.19727915374200822,0.03166666666666667,moderate,5,False,spring,weak
15.75,0.19742048603364173,0.03333333333333333,moderate,5,False,spring,weak
15.42,0.23655643462089662,0.039166666666666676,moderate,5,False,spring,weak
15.52,0.27130608496749514,0.04566666666666666,moderate,6,True,spring,moderate
15.45,0.2622670851930111,0.0465,moderate,6,True,spring,moderate
15.39,0.25460062404655986,0.04616666666666666,moderate,6,True,spring,moderate
15.36,0.273505338366052,0.047666666666666656,moderate,6,True,spring,moderate
15.18,0.19013978052351435,0.03283333333333333,moderate,7,True,spring,moderate
15.26,0.1598626172717319,0.026333333333333334,moderate,7,True,spring,moderate
15.41,0.2087991506572948,0.033166666666666664,moderate,7,True,spring,moderate
16.26,0.3325073867254843,0.05383333333333334,strong,7,True,spring,moderate
17.61,0.2635548317975319,0.044000000000000004,moderate,8,True,spring,moderate
19.1,0.21362324467745994,0.039,moderate,8,True,spring,moderate
19.69,0.17487253244220755,0.03283333333333333,moderate,8,True,spring,moderate
20.8,0.17474842422652206,0.03233333333333334,moderate,8,True,spring,weak
21.43,0.2622521737049069,0.04383333333333333,moderate,9,True,spring,weak
22.21,0.21414954224560132,0.032999999999999995,moderate,9,True,spring,weak
22.84,0.14657201931705438,0.022333333333333347,moderate,9,True,spring,weak
22.97,0.09861247082927398,0.014666666666666665,weak,9,True,spring,weak
23.31,-0.031448297372120945,-0.00433333333333333,weak,10,True,spring,weak
23.57,-0.015936109258495288,-0.0020000000000000018,weak,10,True,spring,weak
23.64,0.1122671032198749,0.019166666666666672,moderate,10,True,spring,weak
23.35,-0.009721496720385057,-0.0018333333333333387,weak,10,True,spring,weak
23.28,0.028295128225605596,0.004999999999999997,weak,11,True,spring,weak
23.37,-0.07138892580567023,-0.011500000000000007,weak,11,True,spring,weak
23.74,-0.004568015343134502,-0.0006666666666666524,weak,11,True,spring,weak
23.93,-0.031550757365755286,-0.004833333333333334,weak,11,True,spring,weak
23.89,0.12569875666366973,0.019166666666666658,moderate,12,True,spring,weak
24.07,0.02668815349303512,0.004166666666666667,weak,12,True,spring,weak
24.2,-0.029700168334443024,-0.00433333333333333,weak,12,True,spring,weak
24.52,0.037647828619537256,0.005333333333333338,weak,12,True,spring,weak
25.02,0.0045545202907482235,0.0004999999999999968,weak,13,True,spring,weak
25.2,0.11270539607575598,0.012833333333333334,moderate,13,True,spring,weak
25.22,0.08759499061214131,0.01049999999999999,weak,13,True,spring,weak
25.55,0.02382736971716549,0.002333333333333328,weak,13,True,spring,weak
25.77,0.028458389764726883,0.002666666666666669,weak,14,True,spring,weak
26.12,-0.0944294111897999,-0.00783333333333333,weak,14,True,spring,weak
26.34,-0.01137828788650002,-0.0010000000000000009,weak,14,True,spring,weak
26.56,0.26336115881468497,0.013500000000000002,moderate,14,True,spring,weak
27.36,-0.0017569191210834412,-0.0001666666666666705,weak,15,True,spring,weak
26.47,-0.042900802237501555,-0.005833333333333342,weak,15,True,spring,weak
26.73,0.08391437835658114,0.0115,weak,15,True,spring,weak
26.63,-0.017854343614343973,-0.002333333333333328,weak,15,True,spring,weak
27.04,0.17899423282072366,0.019166666666666672,moderate,16,True,spring,weak
26.98,0.11254955123987782,0.015833333333333335,moderate,16,True,spring,weak
26.99,0.03963992321005908,0.0056666666666666645,weak,16,True,spring,weak
27.03,0.040578977320785234,0.006833333333333335,weak,16,True,spring,weak
26.69,0.12060048336426328,0.01900000000000001,moderate,17,True,spring,weak
26.67,0.17462060350796207,0.03183333333333334,moderate,17,True,spring,weak
26.66,0.1323125294249984,0.02466666666666666,moderate,17,True,spring,weak
26.61,0.09325000468578555,0.019166666666666658,weak,17,True,spring,weak
26.73,0.038736699231574176,0.007333333333333325,weak,18,False,spring,weak
26.94,-0.02914220134910831,-0.006000000000000005,weak,18,False,spring,weak
26.76,0.14374107352942908,0.03216666666666666,moderate,18,False,spring,weak
26.4,0.1340235277922599,0.034166666666666665,moderate,18,False,spring,weak
26.3,0.029089658764048187,0.006833333333333335,weak,19,False,spring,weak
26.2,0.04656432715256584,0.009500000000000005,weak,19,False,spring,weak
26.1,0.14484283988025806,0.023333333333333338,moderate,19,False,spring,weak
