datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-01 00:00:00,29.6714,6.6187296,8.307833
2021-05-01 00:15:00,29.1351,6.528595,8.87517
2021-05-01 00:30:00,28.5939,6.5813046,8.98317
2021-05-01 00:45:00,28.0354,6.6786137,8.920717
2021-05-01 01:00:00,27.4607,6.7220216,8.968456
2021-05-01 01:15:00,26.846,6.761263,9.144028
2021-05-01 01:30:00,26.1943,6.867929,9.5317745
2021-05-01 01:45:00,25.5088,6.965313,9.67913
2021-05-01 02:00:00,24.7929,7.040805,9.889612
2021-05-01 02:15:00,24.0616,7.068224,10.029373
2021-05-01 02:30:00,23.3508,7.0447593,10.094411
2021-05-01 02:45:00,22.671,6.9365315,9.989972
2021-05-01 03:00:00,22.042,6.804209,9.812157
2021-05-01 03:15:00,21.4607,6.7342806,9.65979
2021-05-01 03:30:00,20.9846,6.6515293,9.523828
2021-05-01 03:45:00,20.6172,6.508463,9.331814
2021-05-01 04:00:00,20.3628,6.3587465,9.118454
2021-05-01 04:15:00,20.2561,6.2470527,8.9452715
2021-05-01 04:30:00,20.2078,6.2244425,8.871967
2021-05-01 04:45:00,20.2271,6.305114,9.007889
2021-05-01 05:00:00,20.3239,6.456011,9.208427
2021-05-01 05:15:00,20.4896,6.6333613,9.452423
2021-05-01 05:30:00,20.6961,6.7947617,9.655858
2021-05-01 05:45:00,20.9446,6.8136287,9.609459
2021-05-01 06:00:00,21.2163,6.6928988,9.403241
2021-05-01 06:15:00,21.5223,6.6465235,9.156986
2021-05-01 06:30:00,21.7287,6.6231694,8.972341
2021-05-01 06:45:00,21.8222,6.5916047,8.813006
2021-05-01 07:00:00,21.7702,6.5990624,8.701615
2021-05-01 07:15:00,21.5737,6.5568843,8.630478
2021-05-01 07:30:00,21.2264,6.49471,8.606824
2021-05-01 07:45:00,20.7059,6.4028,8.60847
2021-05-01 08:00:00,20.0254,6.3543444,8.642402
2021-05-01 08:15:00,19.1833,6.3601046,8.568051
2021-05-01 08:30:00,18.2548,6.527662,8.370727
2021-05-01 08:45:00,17.2323,6.3908796,8.198506
2021-05-01 09:00:00,16.1379,6.5822005,7.535821
2021-05-01 09:15:00,14.9939,6.3212147,6.931989
2021-05-01 09:30:00,13.999,5.8738236,6.467169
2021-05-01 09:45:00,13.1391,5.1571746,5.5435987
2021-05-01 10:00:00,12.3958,4.34213,4.6414185
2021-05-01 10:15:00,11.7484,3.6224673,3.8875139
2021-05-01 10:30:00,11.2444,2.9552617,3.1950207
2021-05-01 10:45:00,10.879,2.417226,2.6430614
2021-05-01 11:00:00,10.6461,2.136951,2.333598
