experiment,description,RMSE,Correlation
G-M1-10m,GFS原始10m风速,33.52452071478867,0.6163703384239538
G-M2-10m,GFS校正后10m风速,33.52452071478867,0.6163703384239538
G-M1-70m,GFS原始70m风速,34.20934064612011,0.591429489079324
G-M2-70m,GFS校正后70m风速,34.20934064612011,0.591429489079324
G-M3-Fixed,GFS固定权重融合(基于SHAP总体比例),33.966359019189085,0.5997512507799528
G-M3-TimeAdaptive,GFS昼夜动态权重融合(基于SHAP昼夜分析),34.042244141809824,0.5989141348225734
E-M1-10m,EC原始10m风速,33.25382934445075,0.628236505518979
E-M2-10m,EC校正后10m风速,33.25382934445075,0.628236505518979
E-M1-70m,EC原始70m风速,33.29830535634434,0.6233393072694968
E-M2-70m,EC校正后70m风速,33.29830535634434,0.6233393072694968
E-M3-Fixed,EC固定权重融合(基于SHAP总体比例),33.15612284027022,0.6295216203978999
E-M3-TimeAdaptive,EC昼夜动态权重融合(基于SHAP昼夜分析),33.25048399578459,0.6280622146043103
Fusion-M1,联合校正后融合,32.88751327930039,0.6439413462468061
Fusion-M2,基于试验结果的动态权重融合(EC主导+SHAP昼夜权重),32.857719089343576,0.643206395892317
