feature,importance
ec_gfs_mean,0.8817629306264043
hour_sin,0.2390183011245007
ec_wind_speed_10m_ma6,0.17115023548014638
gfs_wind_speed_10m_lag2,0.1653329495650617
day_cos,0.12682801687572148
ec_gfs_max,0.11807528017515562
day_sin,0.11587801532577732
ec_wind_speed_10m_lag2,0.10680183132552515
day_of_year,0.09952239725076324
hour,0.09457478796990154
gfs_wind_speed_10m_ma6,0.07454214736646052
ec_gfs_min,0.059700568221122054
hour_cos,0.032593604025333754
ec_wind_speed_10m_ma3,0.027257427751389937
gfs_wind_speed_10m,0.025854102841343186
ec_gfs_diff,0.017155877248499055
month,0.012384014728139159
ec_wind_speed_10m,0.010243999425850785
ec_wind_speed_10m_lag1,0.007464984382701883
gfs_wind_speed_10m_ma3,0.006273349738859782
gfs_wind_speed_10m_lag1,0.003431451897195438
season,0.002960569921804807
