,ec_wind_speed_error_10m,gfs_wind_speed_error_10m,ec_wind_speed_error_30m,gfs_wind_speed_error_30m,ec_wind_speed_error_50m,gfs_wind_speed_error_50m,ec_wind_speed_error_70m,gfs_wind_speed_error_70m,ec_temperature_error_10m,gfs_temperature_error_10m,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m,ec_wind_speed_10m,ec_wind_speed_30m,ec_wind_speed_50m,ec_wind_speed_70m,ec_wind_direction_10m,ec_wind_direction_30m,ec_wind_direction_50m,ec_wind_direction_70m,ec_temperature_10m,gfs_wind_speed_10m,gfs_wind_speed_30m,gfs_wind_speed_50m,gfs_wind_speed_70m,gfs_wind_direction_10m,gfs_wind_direction_30m,gfs_wind_direction_50m,gfs_wind_direction_70m,gfs_temperature_10m,power
ec_wind_speed_error_10m,1.0,0.5991171376421093,0.7862034804443927,0.39904985607905535,0.7742050821628091,0.3995834799694898,0.7424203105304795,0.37714143652479415,-0.008350003135710974,0.0427981273741879,-0.45602879249026634,-0.29467229275232704,-0.3088485604769989,-0.3119375906176961,-0.021148528070078547,0.00626382744937541,0.05005369926011308,-0.13799280898395183,-0.07278662246248632,-0.087602351832429,0.12610366097680042,-0.1299676355461806,0.1208283655658374,0.39848924867533486,0.38587274829178336,0.3666736194057275,0.34599203929442696,-0.11706345092667067,-0.11562332196645668,-0.10731505831552884,-0.0964813989084563,-0.01654972520920847,0.08189783805879323,0.09176497125177584,0.07886612168622073,0.06859617280564381,-0.05144782694109311,-0.0510289187453481,-0.048906342470506,-0.046412000456267546,-0.012824589124886794,-0.26574413363253047
gfs_wind_speed_error_10m,0.5991171376421093,1.0,0.41265426473098,0.8200420178179844,0.44005906675108697,0.8092535128628069,0.4530149783375378,0.7917976324065986,-0.026868168209888063,-0.0656402005275115,-0.39381553659385915,-0.26745268115702386,-0.28751412637151247,-0.30078671167121124,0.06036903329207315,0.02181684737427604,0.12509258879413804,-0.06489192515806347,0.08555736868556067,0.03863851643297552,0.2822863942065079,-0.04942987473658801,0.28423520379024736,0.1290302690431494,0.11607126181392027,0.11865292756954819,0.11821135069648513,-0.2811057131213857,-0.2803887224958312,-0.2775777773661823,-0.27432674500940096,0.0649727646796427,0.46924965847869454,0.4620067113133222,0.44695421328879037,0.42951443014883817,-0.2272793492102599,-0.2273951522590947,-0.2271016359256815,-0.2274179054080827,0.05461212923429734,-0.22533733324643376
ec_wind_speed_error_30m,0.7862034804443927,0.41265426473098,1.0,0.5547793810410906,0.9578259895553909,0.5344776374885543,0.9229838577518386,0.5129598108135078,-0.06892235725842923,0.05189724921555747,-0.1942486080089572,-0.2772464013244168,-0.26029192098197185,-0.2406091686032168,-0.08612039126805508,0.004505857194344491,0.0593104172015984,-0.11393899262061215,0.003383150856169243,-0.07653923947405318,0.19956994919555932,-0.13614351265325444,0.17658687849238208,0.4931137697959693,0.5572886001418597,0.5590738163254703,0.5540449215858271,-0.15761659493735572,-0.15659450670567265,-0.1491081921253677,-0.13968919113617367,-0.09605053267453931,0.16468784229895295,0.22771706298273817,0.23785713053371274,0.24573889400004656,-0.06746241223449578,-0.06721162282670078,-0.06722217392938071,-0.06739417458619053,-0.08139238649390607,-0.06474191428133365
gfs_wind_speed_error_30m,0.39904985607905535,0.8200420178179844,0.5547793810410906,1.0,0.5572157352084013,0.9691160880181219,0.5661747329913429,0.9509098468357189,-0.06278026868442302,-0.05407657624166218,-0.16778874772419355,-0.28465877799504374,-0.27491110457107903,-0.26741624086410964,0.0032147350722714946,0.01922077467031944,0.13226425914257445,-0.04856163278591522,0.14808645903630005,0.05097453053833769,0.34743556967033834,-0.05293826233124221,0.33379393444237315,0.17359909741792323,0.21303520521187266,0.23129189204090347,0.2437959193838241,-0.3127502598075183,-0.3125438276628779,-0.31087947376582287,-0.309760809159157,-0.0023708121862383393,0.5367080245166198,0.5853348476525411,0.5930086342196179,0.5932154990183556,-0.23828235006483384,-0.23875202180909252,-0.2405597956688875,-0.2439975752942742,-0.005516817227294863,-0.06309698041083031
ec_wind_speed_error_50m,0.7742050821628091,0.44005906675108697,0.9578259895553909,0.5572157352084013,1.0,0.5922797677605396,0.9660102426487519,0.558562630239429,-0.10222171740749413,0.031376110477990216,-0.23314253102571877,-0.3099466301646607,-0.3324944816780369,-0.30391866435347237,-0.08466873467876794,-0.001542881993483201,0.09709947053585363,-0.12672375232322178,0.024412977753719308,-0.06452777738106787,0.27559976704567113,-0.14581014386771277,0.25138635007293525,0.4409374856329932,0.50431252138737,0.5247990398598583,0.534087388037302,-0.1858200822096093,-0.18524802002697757,-0.17957635351386284,-0.17212580030034266,-0.09790151450878964,0.14932685339935806,0.20697799428934188,0.2221780882052353,0.23330598719868298,-0.10226724578947685,-0.10205755258008621,-0.10205816455822934,-0.10288005309539981,-0.08225060587487384,-0.10698227295291923
gfs_wind_speed_error_50m,0.3995834799694898,0.8092535128628069,0.5344776374885543,0.9691160880181219,0.5922797677605396,1.0,0.5896084269965352,0.9744818058506746,-0.07295352015818464,-0.054131158559460955,-0.2111073002066443,-0.31896324169230583,-0.3428581775778751,-0.3248207416682462,-0.011879366861650139,0.010664214625869315,0.14965251937391147,-0.07277402822498959,0.13933988019612623,0.03644449076847265,0.39161016711438335,-0.07979170295031394,0.37224463520448986,0.12721751839137083,0.17051027282233813,0.19619553210443577,0.21450649521878098,-0.3165149231568452,-0.3164122865483265,-0.3155001977498897,-0.31553464798248,-0.01807475960988624,0.4861888815661266,0.5380229625377955,0.558282488008707,0.5681777329076603,-0.24637626171477647,-0.24693401647472601,-0.24945773724164208,-0.25424927962016625,-0.02066910249989261,-0.10385384546330044
ec_wind_speed_error_70m,0.7424203105304795,0.4530149783375378,0.9229838577518386,0.5661747329913429,0.9660102426487519,0.5896084269965352,1.0,0.6029597015549725,-0.1361110606763529,-0.01855845983951707,-0.18901383501931993,-0.26598932172801637,-0.28467265709639483,-0.289961594205515,-0.03173052576425988,0.012910389829484187,0.12278420511436486,-0.0711758513248165,0.11505546801094621,0.016273983126736363,0.31657070067863313,-0.07951130717422765,0.312999041313868,0.46072157625671684,0.520041367578827,0.5508062089711472,0.5681469088997162,-0.2447978243412736,-0.24452607681846356,-0.24094294643508443,-0.2352599316739577,-0.04955672064835213,0.19789053591013675,0.24931064375467624,0.2649895903569315,0.27548529106052455,-0.16637686366131896,-0.16647154422259292,-0.16708833188872363,-0.16851467547061144,-0.035317687069916885,-0.07124220350321224
gfs_wind_speed_error_70m,0.37714143652479415,0.7917976324065986,0.5129598108135078,0.9509098468357189,0.558562630239429,0.9744818058506746,0.6029597015549725,1.0,-0.085589076921842,-0.08336386538440582,-0.17528740973069015,-0.2808389630795183,-0.2983479392761183,-0.31057345166523737,0.021871078520230656,0.01806158232375451,0.15951414833637279,-0.030702534555205017,0.20049283802825,0.09213863722017941,0.4069626859783564,-0.03073302935327203,0.40365379248901007,0.14487728884246803,0.18709159229491187,0.2143468492084029,0.23369823923907646,-0.35253931940902966,-0.3525648331406312,-0.35233680763790526,-0.35283858991047923,0.013578949069877002,0.5047565916673634,0.5565842686673138,0.5829412724957641,0.5973728912600808,-0.28641766774113053,-0.28725687953029416,-0.2910281343538933,-0.29680645977869313,0.009208614594425473,-0.0734085763592557
ec_temperature_error_10m,-0.008350003135710974,-0.026868168209888063,-0.06892235725842923,-0.06278026868442302,-0.10222171740749413,-0.07295352015818464,-0.1361110606763529,-0.085589076921842,1.0,0.7537605975559347,-0.1271260243219632,-0.07402583161119367,-0.07557326564777302,-0.07959897104302589,-0.1987843465143444,-0.07821265458001112,-0.1571895032226906,-0.16662851337507767,-0.2504553829901619,-0.24220883032090795,-0.12098080518650778,-0.20979824341251563,-0.16273155503945663,-0.1335350271405177,-0.12302532243123598,-0.15402241241063652,-0.17576639714756484,0.07980614800157147,0.08048589560166203,0.08382856546238174,0.08403897483604617,-0.01982204977237875,-0.1346450833142237,-0.11219480250010173,-0.1254731619062117,-0.13308018911075256,0.08609470547297503,0.08680795013986028,0.08849178440623791,0.09042252012189622,-0.046284741152419116,-0.14299353288791572
gfs_temperature_error_10m,0.0427981273741879,-0.0656402005275115,0.05189724921555747,-0.05407657624166218,0.031376110477990216,-0.054131158559460955,-0.01855845983951707,-0.08336386538440582,0.7537605975559347,1.0,-0.14283760059154732,-0.09125465661406246,-0.0919255938309379,-0.07161394668089653,-0.37329413636215397,-0.13057959231457777,-0.12407317672119549,-0.22306793929351443,-0.2895327681644026,-0.3374239046843292,-0.08590249745005962,-0.3120957899960453,-0.15344291415344966,-0.11241420745065164,-0.04699358280272551,-0.06359029118792839,-0.07352207659722927,0.06609178362681582,0.06768253303037865,0.07230596554141362,0.07375222628200039,-0.23378194351238474,-0.19724448327528687,-0.12775210658501593,-0.13097191306212674,-0.12816025167357434,0.14899345353470111,0.1503579132225831,0.15366876036634458,0.15672455940824342,-0.18315194944733856,-0.13719419884650266
