,ec_wind_speed_error_10m,gfs_wind_speed_error_10m,ec_wind_speed_error_30m,gfs_wind_speed_error_30m,ec_wind_speed_error_50m,gfs_wind_speed_error_50m,ec_wind_speed_error_70m,gfs_wind_speed_error_70m,ec_temperature_error_10m,gfs_temperature_error_10m,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m,ec_wind_speed_10m,ec_wind_speed_30m,ec_wind_speed_50m,ec_wind_speed_70m,ec_wind_direction_10m,ec_wind_direction_30m,ec_wind_direction_50m,ec_wind_direction_70m,ec_temperature_10m,gfs_wind_speed_10m,gfs_wind_speed_30m,gfs_wind_speed_50m,gfs_wind_speed_70m,gfs_wind_direction_10m,gfs_wind_direction_30m,gfs_wind_direction_50m,gfs_wind_direction_70m,gfs_temperature_10m,power
ec_wind_speed_error_10m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056149137269991774,1.2014920737853893e-22,0.0,0.0,0.0,0.0,1.313441406901922e-06,0.1519437553036426,2.203187539758051e-30,9.950641310686957e-221,2.161092785107059e-62,1.2127424975681371e-89,2.1901044700844056e-184,7.939013420280028e-196,2.4334138401780086e-169,0.0,0.0,0.0,0.0,5.254488852540022e-159,3.8447776170659e-155,8.38923851867984e-134,2.0659739831526095e-108,0.000153355116956155,1.5018931202188143e-78,3.258671982439035e-98,5.830859642946907e-73,1.3317269560964132e-55,5.243512562485735e-32,1.6295785177388575e-31,4.4257425997709875e-29,2.3737467586471097e-26,0.0033526383159330963,0.0
gfs_wind_speed_error_10m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92140433293981e-10,4.693035736114327e-51,0.0,0.0,0.0,0.0,1.9192032871770746e-43,6.018501300136844e-07,1.8853676607628793e-181,6.176155256433283e-50,1.402998460761638e-85,9.499909659122785e-19,0.0,1.135466515726918e-29,0.0,5.103783344109248e-193,2.4442867030814486e-156,2.5032754481473523e-163,4.0291917525196883e-162,0.0,0.0,0.0,0.0,4.681846855302159e-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.426420239219292e-36,0.0
ec_wind_speed_error_30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.077362117756937e-56,1.5376596063634953e-32,0.0,0.0,0.0,0.0,1.091507353632912e-86,0.3027278471084688,5.434440017100414e-42,1.1023884883529949e-150,0.43904388735706557,8.156929537388758e-69,0.0,7.465562317042675e-215,0.0,0.0,0.0,0.0,0.0,3.648808081638347e-288,2.0211526286855385e-284,8.864549941629196e-258,3.4368415601813225e-226,1.8546202344700964e-107,0.0,0.0,0.0,0.0,7.800475543201714e-54,1.9017647405385685e-53,1.8319038030297612e-53,9.944273252464776e-54,1.3280372993932598e-77,1.0317146854920276e-49
gfs_wind_speed_error_30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.588543954973848e-47,3.453163106647624e-35,0.0,0.0,0.0,0.0,0.46216424727851546,1.099336298611932e-05,8.529456506512072e-203,1.0754646101511481e-28,3.0064266827749837e-254,1.886771771780237e-31,0.0,8.612975516474604e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876383484597303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20700777767347064,2.6503505481791724e-47
ec_wind_speed_error_50m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5971158592600377e-121,7.062219834298431e-13,0.0,0.0,0.0,0.0,7.630078239376723e-84,0.7241680711654759,8.715929235836425e-110,3.3762205231067006e-186,2.3416162911220473e-08,2.141742388967239e-49,0.0,1.788146094795272e-246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3899435212827386e-111,1.5446333317119547e-258,0.0,0.0,0.0,1.248141127204493e-121,3.881620974412582e-121,3.868802509573535e-121,4.4704804692345786e-123,3.2546385484339687e-79,5.554165263073759e-133
gfs_wind_speed_error_50m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137344659656649e-62,2.954557312430595e-35,0.0,0.0,0.0,0.0,0.006583923660389068,0.014718708671424701,1.1389332343928154e-259,2.2682163645991055e-62,4.6394377977701016e-225,7.52476212011228e-17,0.0,1.2075300126824376e-74,0.0,1.1994872412627828e-187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5578651941206366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2672294819836795e-06,2.160812582320271e-125
ec_wind_speed_error_70m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.449943789836446e-215,2.1847266253183983e-05,0.0,0.0,0.0,0.0,3.889580842943776e-13,0.0031466698218485406,7.674402938856154e-175,9.825040759280143e-60,1.2449204753786622e-153,0.0001972669255183437,0.0,3.927239717323512e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14873798157141e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.449626794336372e-16,7.656598622430276e-60
gfs_wind_speed_error_70m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2156095919877217e-85,2.4989589716780624e-81,0.0,0.0,0.0,0.0,5.643589053846308e-07,3.604857325593374e-05,3.5032367933776205e-295,2.1552610706854765e-12,0.0,5.296397095664708e-99,0.0,2.050132320948081e-12,0.0,2.52443134246228e-243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018965612354744682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518069450725725,1.9612046117367813e-63
ec_temperature_error_10m,0.056149137269991774,7.92140433293981e-10,4.077362117756937e-56,7.588543954973848e-47,1.5971158592600377e-121,1.137344659656649e-62,9.449943789836446e-215,1.2156095919877217e-85,0.0,0.0,2.2284971742091392e-187,1.7760063839231377e-64,3.943922796461132e-67,2.71737668893071e-74,0.0,8.762417125689932e-72,1.3474194544783834e-286,0.0,0.0,0.0,9.135058496249994e-170,0.0,2.7784661927914456e-307,1.0488364596266091e-206,1.5869734021050898e-175,4.102849349053999e-275,0.0,1.1362201217483795e-74,6.397756943874511e-76,3.2102168884153656e-82,1.2628657316379725e-82,5.781765602867074e-06,3.744273252762286e-210,3.8697113912385196e-146,1.4911687959129185e-182,2.6589351583508323e-205,1.2268230692817254e-86,4.7176274292695983e-88,1.9330595222342565e-91,2.0944960283131612e-95,3.242680610418827e-26,4.994388746481782e-237
gfs_temperature_error_10m,1.2014920737853893e-22,4.693035736114327e-51,1.5376596063634953e-32,3.453163106647624e-35,7.062219834298431e-13,2.954557312430595e-35,2.1847266253183983e-05,2.498958971677849e-81,0.0,0.0,1.6437422898982806e-236,3.849582948525266e-97,1.493675472473221e-98,1.8854435896447504e-60,0.0,1.1354588138237272e-197,1.6215013309686014e-178,0.0,0.0,0.0,2.93833124705811e-86,0.0,4.873042377920973e-273,1.0467774722943178e-146,5.6448855661506974e-27,5.094856797029619e-48,1.2629341748454407e-63,9.767219741521265e-52,3.5581675100000254e-54,1.3613496053851096e-61,5.1627698314603706e-64,0.0,0.0,3.185509312175316e-189,7.377504857708914e-199,1.9746736590740022e-190,2.2150091689324758e-257,3.935865759642785e-262,7.589288860330192e-274,6.771629473075351e-285,0.0,3.5084196873698384e-218
