Model,Height,Count,Mean,Std,Min,Q25,Median,Q75,Max,Skewness,Kurtosis,Weibull_Shape,Weibull_Scale,Weibull_R2
OBS,10m,52317,5.587740409427146,2.7317508213104795,0.0,3.61,5.22,7.17,21.25,0.7626478198545111,0.8781000090497004,2.206893458314175,6.356669793952744,0.9744141924359162
OBS,30m,52317,6.399672955253551,2.7194133487821226,0.0,4.42,6.08,7.96,23.27,0.7773433657274753,0.9450252867380962,2.4949702010715553,7.220048630403872,0.9704017311103599
OBS,50m,52317,6.603895292161248,3.057862188973159,0.0,4.28,6.27,8.51,24.12,0.7084577240548044,0.7448846021236997,2.2888765600877004,7.46405985711987,0.9784792563052256
OBS,70m,52317,6.750750043007053,3.170503142419613,0.0,4.42,6.42,8.73,25.37,0.5741260715692388,0.36399526095598134,2.262265348063927,7.6361476182588195,0.9883385674855546
EC,10m,52317,5.579045595643864,2.6063874839610843,0.030067341,3.7344058,5.2726774,7.138426,18.775356,0.6591059152310119,0.6280874488379711,2.2592874709155746,6.298808149547159,0.9836588829879063
EC,30m,52317,6.805053248006995,3.045275183356548,0.02443305,4.545718,6.8649926,8.811057,20.994177,0.2828111120557379,0.07325358527880566,2.3680705734519787,7.66566346953937,0.94826229720669
EC,50m,52317,7.104647121025479,3.3057233064466085,0.028071526,4.5838494,7.09075,9.346439,21.762537,0.28613487419995287,-0.12610132591292622,2.2686820838108632,8.00872762620528,0.957666286906459
EC,70m,52317,7.434890378671789,3.5980737102458558,0.025467662,4.6331353,7.355165,9.94434,22.531347,0.29192218832551825,-0.3052065780040252,2.1704508896762382,8.383460474941796,0.9579575611888583
GFS,10m,52317,5.652690545053883,2.7705680407957156,0.09205483,3.6725423,5.2339067,7.2691355,19.379202,0.8346155075915228,0.9994805710526373,2.1555390677339292,6.391309153428663,0.9766889979543469
GFS,30m,52317,6.824712159069519,3.1220959204341416,0.07857,4.6154957,6.7181315,8.660392,22.446218,0.5635570468658084,0.7522798918719324,2.305970126192169,7.697041777712151,0.9713613594204488
GFS,50m,52317,7.176488637464705,3.376750407651963,0.010272652,4.7028947,7.0834436,9.280426,23.710196,0.4800795891716882,0.4298579205216564,2.2385055399121203,8.094688022344275,0.9735911997531298
GFS,70m,52317,7.55445987409754,3.6555684562491924,0.020567311,4.7776484,7.482021,9.970625,24.974432,0.405080998809769,0.13981168447970438,2.1683329699414102,8.51877017544654,0.9656912151728863
